Oil	Length	Group	RNA_ID	ID	Sample	Clone
X1	Y	S	A	1_R	1-1_R	16 A5	Clone16
X2	Y	S	A	15_R	19-15_R	15 A4	Clone15
X3	Y	S	A	22_R	4-22_R	9 A7	Clone9
X4	Y	S	A	24_R	7-24_R	10 A2	Clone10
X5	Y	S	A	27_R	11-27_R	2 A6	Clone2
X6	Y	S	A	3_R	5-3_R	5 A1	Clone5
X7	Y	S	A	5_R	7-5_R	11 A3	Clone11
X8	Y	L	B	10_R	12-10_R	6 B5	Clone6
X9	Y	L	B	11_R	14-11_R	12 B6	Clone12
X10	Y	L	B	12_R	15-12_R	17 B7	Clone14
X11	Y	L	B	18_R	24-18_R	20 B?	Clone20
X12	Y	L	B	26_R	10-26_R	3 B4	Clone3
X13	Y	L	B	6_R	8-6_R	19 B2	Clone19
X14	Y	L	B	7_R	9-7_R	8 B?	Clone8
X15	N	L	C	14_R	18-14_R	8 C5	Clone8
X16	N	L	C	19_R	1-19_R	3 C1	Clone3
X17	N	L	C	2_R	4-2_R	6 C2	Clone6
X18	N	L	C	20_R	2-20_R	19 C6	Clone19
X19	N	L	C	21_R	3-21_R	12 C3	Clone12
X20	N	L	C	23_R	6-23_R	14 C4	Clone14
X21	N	L	C	8_R	10-8_R	20 C7	Clone20
X22	N	S	X	13_R	16-13_R	9 X2	Clone9
X23	N	S	X	16_R	20-16_R	2 X1	Clone2
X24	N	S	X	17_R	21-17_R	5 X3	Clone5
X25	N	S	X	25_R	9-25_R	11 X4	Clone11
X26	N	S	X	28_R	12-28_R	10 X6	Clone10
X27	N	S	X	4_R	6-4_R	16 X7	Clone16
X28	N	S	X	9_R	11-9_R	15 X6	Clone15
