Sample,SuccessfullyAssignedPercent,Oil,Group,Clone
"""10-26""",60.49756859,Y,B,Clone3 
"""10-8""",62.98526255,N,C,Clone20
"""1-1""",61.40475182,Y,A,Clone16
"""11-27""",60.16423242,Y,A,Clone2 
"""11-9""",59.63956589,N,X,Clone15
"""1-19""",59.16235247,N,C,Clone3 
"""12-10""",58.11790795,Y,B,Clone6 
"""12-28""",61.5822759,N,X,Clone10
"""14-11""",58.84007127,Y,B,Clone12
"""15-12""",61.00220346,Y,B,Clone14
"""16-13""",61.77311644,N,X,Clone9 
"""18-14""",60.02976858,N,C,Clone8 
"""19-15""",59.64232525,Y,A,Clone15
"""20-16""",62.83067228,N,X,Clone2 
"""21-17""",65.44474239,N,X,Clone5 
"""2-20""",59.38051294,N,C,Clone19
"""24-18""",61.15076509,Y,B,Clone20
"""3-21""",62.61516511,N,C,Clone12
"""4-2""",59.74245051,N,C,Clone6 
"""4-22""",63.40485303,Y,A,Clone9 
"""5-3""",63.44822476,Y,A,Clone5 
"""6-23""",58.21989806,N,C,Clone14
"""6-4""",60.03579459,N,X,Clone16
"""7-24""",63.44302667,Y,A,Clone10
"""7-5""",61.13187078,Y,A,Clone11
"""8-6""",59.2020611,Y,B,Clone19
"""9-25""",60.55711969,N,X,Clone11
"""9-7""",61.07363525,Y,B,Clone8 
