"Sample","TotalReads","OverallAlignmentRate","OverallTime","Oil","Group","Clone"
"""1-1""","28517010","76.61","00:19:26","Y","A","Clone16"
"""1-19""","50501733","74.9","00:34:32","N","C","Clone3 "
"""2-20""","55013113","76.92","00:36:31","N","C","Clone19"
"""3-21""","47849965","78.18","00:30:58","N","C","Clone12"
"""4-2""","31042058","77.54","00:20:50","N","C","Clone6 "
"""4-22""","44896814","79.22","00:29:21","Y","A","Clone9 "
"""5-3""","24042366","82.06","00:15:39","Y","A","Clone5 "
"""6-4""","23428877","77.4","00:15:50","N","X","Clone16"
"""6-23""","47693813","77.01","00:31:34","N","C","Clone14"
"""7-5""","28149546","77.93","00:18:50","Y","A","Clone11"
"""7-24""","50015624","78.86","00:32:33","Y","A","Clone10"
"""8-6""","20462174","77.38","00:13:51","Y","B","Clone19"
"""9-7""","24902300","77.77","00:16:50","Y","B","Clone8 "
"""9-25""","50820457","77.55","00:33:41","N","X","Clone11"
"""10-8""","19873567","81.29","00:12:44","N","C","Clone20"
"""10-26""","41810530","74.94","00:27:10","Y","B","Clone3 "
"""11-9""","29342122","77.24","00:19:18","N","X","Clone15"
"""11-27""","41086402","77.31","00:26:41","Y","A","Clone2 "
"""12-10""","29937515","76.83","00:19:54","Y","B","Clone6 "
"""12-28""","50943109","78.16","00:32:29","N","X","Clone10"
"""14-11""","24935607","76.66","00:16:29","Y","B","Clone12"
"""15-12""","27011430","77.73","00:17:39","Y","B","Clone14"
"""16-13""","22330867","77.47","00:14:50","N","X","Clone9 "
"""18-14""","26342887","76.76","00:17:17","N","C","Clone8 "
"""19-15""","30731639","77.25","00:20:20","Y","A","Clone15"
"""20-16""","26437625","77.96","00:17:12","N","X","Clone2 "
"""21-17""","28848272","82.4","00:18:04","N","X","Clone5 "
"""24-18""","27921402","80.56","00:17:51","Y","B","Clone20"
