"","gene","X","baseMean","log2FoldChange_raw","lfcSE","stat","pvalue","padj_raw","log2FoldChange_shrunk","padj_shrunk","diffexpressed","Label"
"1","evm.TU.utg10.1","evm.TU.utg10.1",62.0935304567222,-0.247651016420072,0.365568769136771,-0.677440299413042,0.498126636606902,0.987830285821144,-0.0035374583625786,0.987830285821144,"Non-Sig","NO"
"2","evm.TU.utg10.10","evm.TU.utg10.10",395.592257548462,-0.0268315982815869,0.174372124770966,-0.153875502273254,0.87770790038398,0.998102311351632,-0.000336854055067811,0.998102311351632,"Non-Sig","NO"
"3","evm.TU.utg10.11","evm.TU.utg10.11",15.685971667379,0.224515428583815,0.59221351418164,0.379112301910343,0.704604471396392,NA,0.00264328595305003,NA,"Non-Sig","NO"
"4","evm.TU.utg10.12","evm.TU.utg10.12",253.211056883078,0.208602567896541,0.283582867872153,0.735596509978823,0.461976287146995,0.985995842034959,0.00302260805851142,0.985995842034959,"Non-Sig","NO"
"5","evm.TU.utg10.13","evm.TU.utg10.13",73.2959079706405,-0.454923615432449,0.325045736972264,-1.39956801055129,0.161642718960002,0.883097210516583,-0.0110598326402147,0.883097210516583,"Non-Sig","NO"
"6","evm.TU.utg10.14","evm.TU.utg10.14",3230.81439980479,-0.143043910906088,0.158982642573865,-0.899745460197823,0.368255724782803,0.971755435173792,-0.0022996017726376,0.971755435173792,"Non-Sig","NO"
"7","evm.TU.utg10.15","evm.TU.utg10.15",4.14350043519377,1.78137909908451,1.06270751408581,1.6762647063966,0.0936863547860322,NA,0.019444706894265,NA,"Non-Sig","NO"
"8","evm.TU.utg10.16","evm.TU.utg10.16",36.9183465336181,0.372637086959899,0.3881157934252,0.960118328788688,0.336995664776073,0.965506392457079,0.00620743018067388,0.965506392457079,"Non-Sig","NO"
"9","evm.TU.utg10.17","evm.TU.utg10.17",2.92872885357896,0.819215060607891,1.25859598908527,0.650895972744426,0.51511364132003,NA,0.00506601277972534,NA,"Non-Sig","NO"
"10","evm.TU.utg10.18","evm.TU.utg10.18",2.54759795102182,1.3579899611925,1.47927118015786,0.918012856200972,0.358612135241347,NA,0.0069404577568667,NA,"Non-Sig","NO"
