"Experiment","ID","Description_QuickGO","GeneRatio","BgRatio","p.adjust","qvalue","geneID","log2FoldChange"
"Acute","GO:2000781","positive regulation of double-strand break repair",0.022,1e-04,0.001,6e-04,"evm.utg1463.13/evm.utg7289.25","0.5067/0.4978"
"Acute","GO:0043490","malate-aspartate shuttle",0.022,3e-04,0.0093,0.0052,"evm.utg27.73/evm.utg992.42","1.5963/0.98"
"Acute","GO:0048538","thymus development",0.022,3e-04,0.0093,0.0052,"evm.utg78.53/evm.utg1005.68","0.6911/0.9748"
"Acute","GO:0032956","regulation of actin cytoskeleton organization",0.022,4e-04,0.0164,0.009,"evm.utg801.104/evm.utg4709.1","0.5212/0.6479"
"Acute","GO:0006596","polyamine biosynthetic process",0.022,5e-04,0.018,0.0099,"evm.utg78.54/evm.utg3753.61","0.8344/0.6781"
"Acute","GO:0005313","L-glutamate transmembrane transporter activity",0.0163,2e-04,0.0306,0.0194,"evm.utg27.73/evm.utg992.42","1.5963/0.98"
"Acute","GO:1990837","sequence-specific double-stranded DNA binding",0.0325,0.0032,0.0312,0.0198,"evm.utg78.53/evm.utg1005.68/evm.utg5885.87/evm.utg97204.12","0.6911/0.9748/-1.1/0.5936"
"Acute","GO:0010114","response to red light",0.011,0,0.0325,0.0179,"evm.utg788.82","-1.1034"
"Acute","GO:0021978","telencephalon regionalization",0.011,0,0.0325,0.0179,"evm.utg777.43","-0.9096"
"Acute","GO:0035567","non-canonical Wnt signaling pathway",0.022,8e-04,0.0325,0.0179,"evm.utg801.104/evm.utg4709.1","0.5212/0.6479"
"Acute","GO:0048869","cellular developmental process",0.011,0,0.0325,0.0179,"evm.utg150.65","1.5793"
"Acute","GO:1903302","regulation of pyruvate kinase activity",0.011,0,0.0325,0.0179,"evm.utg788.82","-1.1034"
"Acute","GO:0015229","L-ascorbic acid transmembrane transporter activity",0.0163,4e-04,0.0376,0.0239,"evm.utg170.23/evm.utg170.24","0.851/0.8904"
"Acute","GO:0050982","detection of mechanical stimulus",0.022,0.0011,0.0403,0.0223,"evm.utg55.197/evm.utg498.104","-0.6381/-0.5437"
"Acute","GO:0006091","generation of precursor metabolites and energy",0.011,1e-04,0.0432,0.0239,"evm.utg1581.4","-0.6563"
"Acute","GO:0006941","striated muscle contraction",0.011,1e-04,0.0432,0.0239,"evm.utg729.116","0.6014"
"Acute","GO:0007476","imaginal disc-derived wing morphogenesis",0.011,1e-04,0.0432,0.0239,"evm.utg3409.15","-0.9914"
"Acute","GO:0010759","positive regulation of macrophage chemotaxis",0.011,1e-04,0.0432,0.0239,"evm.utg1663.12","-0.393"
"Acute","GO:0008083","growth factor activity",0.0244,0.0021,0.0484,0.0307,"evm.utg55.33/evm.utg1663.12/evm.utg3722.21","1.368/-0.393/-0.8715"
"Acute","GO:0060395","SMAD protein signal transduction",0.022,0.0015,0.0502,0.0277,"evm.utg1663.12/evm.utg3722.21","-0.393/-0.8715"
"Acute","GO:0009432","SOS response",0.011,1e-04,0.0571,0.0315,"evm.utg112.49","0.4792"
"Acute","GO:0010940","obsolete positive regulation of necrotic cell death",0.011,1e-04,0.0616,0.034,"evm.utg47.12","-0.4141"
"Acute","GO:0030878","thyroid gland development",0.011,1e-04,0.0616,0.034,"evm.utg777.43","-0.9096"
"Acute","GO:0046548","retinal rod cell development",0.011,1e-04,0.0616,0.034,"evm.utg78.53","0.6911"
"Acute","GO:0097352","autophagosome maturation",0.011,1e-04,0.0616,0.034,"evm.utg3409.15","-0.9914"
"Acute","GO:0006559","L-phenylalanine catabolic process",0.011,2e-04,0.0621,0.0343,"evm.utg26697.9","0.8784"
"Acute","GO:0008218","bioluminescence",0.033,0.0054,0.0621,0.0343,"evm.utg203.148/evm.utg512.20/evm.utg1581.4","1.5073/0.2373/-0.6563"
"Acute","GO:0010033","obsolete response to organic substance",0.011,2e-04,0.0621,0.0343,"evm.utg12476.1","-0.6665"
"Acute","GO:0018126","protein hydroxylation",0.011,2e-04,0.0621,0.0343,"evm.utg788.82","-1.1034"
"Acute","GO:0033387","putrescine biosynthetic process from arginine, via ornithine",0.011,2e-04,0.0621,0.0343,"evm.utg3753.61","0.6781"
"Acute","GO:0005992","trehalose biosynthetic process",0.011,2e-04,0.0751,0.0414,"evm.utg280.44","0.6595"
"Acute","GO:0032474","otolith morphogenesis",0.011,2e-04,0.0751,0.0414,"evm.utg1931.94","-0.4676"
"Acute","GO:0048536","spleen development",0.011,2e-04,0.0751,0.0414,"evm.utg5885.87","-1.1"
"Acute","GO:0070413","obsolete trehalose metabolism in response to stress",0.011,2e-04,0.0751,0.0414,"evm.utg280.44","0.6595"
"Acute","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",0.0488,0.0133,0.0777,0.0493,"evm.utg78.53/evm.utg777.43/evm.utg1005.68/evm.utg2108.34/evm.utg5885.87/evm.utg25862.7","0.6911/-0.9096/0.9748/0.5647/-1.1/-0.818"
"Acute","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",0.0081,2e-04,0.0777,0.0493,"evm.utg150.65","1.5793"
