"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","model","significant","direction"
"evm.TU.utg4.1",49.575694359928,-0.035432618865638,0.199048874405426,0.0134769094096662,0.466565551778962,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.3",12.1527163693347,0.00155251076824732,0.0432119884960828,0.525592888807576,0.978352350502684,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.4",130.438386736269,0.0020276187433598,0.036684206666238,0.305239529088789,0.942441548533254,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.5",1132.07207241495,-0.000784219168084613,0.0217952723877433,0.510272500279192,0.977581239094975,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.6",15.1800103791928,-0.0432790754936135,0.196939828746573,0.00990459223009707,0.433976884503744,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.7",286.485075729028,-0.000858688958665142,0.020209936276236,0.422929154052336,0.970769401843143,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.8",31.9142742287528,-0.00209637609864073,0.031920137171573,0.204490442934553,0.890396110509916,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.9",1034.32740223178,0.00191117524001165,0.0382335420074053,0.363369012476284,0.958979633185156,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.10",9.27565268129568,-0.0032885117784584,0.0567370816774937,0.284338950134173,0.931671062713275,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.11",240.391131380867,-0.00108514316529188,0.0169939819534828,0.223204815922625,0.902552995308582,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.12",5.01510047349326,0.0179149348963354,0.148862409536589,0.0313399583474102,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.13",396.278240698048,0.00928040251105316,0.0830523012396741,NA,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.14",493.02990950032,-8.20047546706421e-05,0.0107350662271186,0.895141453578366,0.995285798995474,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.15",314.02680677731,0.000448979361751558,0.0120874897487202,0.505196082209689,0.976179764584874,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.16",524.958850544869,0.00454745440146444,0.0426095687251528,0.0558773599259484,0.696445732724296,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.17",133.619827235395,-0.000191165209883426,0.0111831021224253,0.765375221135951,0.991384819462746,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.18",1070.11503922488,-0.000384938688961191,0.0111774555931444,0.545808604970893,0.980414790580934,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.19",1806.04475338795,-2.10055671334653e-05,0.0107495572705751,0.973124315111778,0.997978427542943,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Ser(GGA).1",14.0327514273518,0.000671955216456833,0.0248436293688856,0.636337419561648,0.985353337322998,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.20",212.579625506155,-0.000259308583213478,0.0136626734686446,0.735306191073513,0.990559800100821,"No-clone design: ~ Group",FALSE,"Not significant"
"utg4.equina_smart_817336.path2",66.5604805066316,0.000579371167667477,0.0148300277459486,0.467141305825391,0.97365710554381,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.21",1.56702087787794,-0.000625989429891438,0.0648304347632409,0.818357007624746,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.22",0.526153700727066,0.000994863786904297,0.076901863587905,0.670214596000402,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.23",70.4079402520083,-0.00206533751205626,0.0346309837236673,0.259432685138126,0.921734341834852,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.24",65.7103987320258,0.000831768039841865,0.0215028100775723,0.473862305630859,0.975215277400677,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.25",1.22808605980188,0.00160494292527043,0.0645637663787399,0.580224852113196,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.26",60.8706256971385,0.000665419554574805,0.0208464384147719,0.563554969667064,0.982421885276523,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.27",2027.88016124739,-0.000715275144391529,0.0161656959176022,0.402603468515659,0.96665671641886,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Pseudo(GTT).1",0.591124140355594,0.000685326027866823,0.0695955832110817,0.790843752233405,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.31",1113.31969693031,-0.000270529365718058,0.0125367966509068,0.700819378184092,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.28",1.00377013395711,-0.000317991876981187,0.0669342684915036,0.904100439866951,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.29",0.654505718358756,-0.00142200023731224,0.0720813978211224,0.59160218103899,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.30",1.66696656871498,-0.00116363592607319,0.0588460148623541,0.6846115002869,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.32",105.383421007349,-0.00196654073179423,0.0331302587606585,0.259419063088067,0.921734341834852,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.33",0.886341668132864,-0.00129180683957181,0.0696856874197251,0.632445049536978,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.34",757.503219467844,-0.000232467316814277,0.0106334766107247,0.705489526827278,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Pseudo(AGA).2",2.38233758423552,-0.00418000101941346,0.0767766648961401,0.241862352634304,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.35",187.753564762872,0.000700554891704078,0.0138962185837993,0.350349925686075,0.956562275628282,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.36",31.5347725163474,-0.00124568789968398,0.0251941643342114,0.347523221055868,0.956562275628282,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.37",1170.17791668587,0.000246371308694881,0.0110069196582998,0.696141681407306,0.989524958827978,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.38",58.7821361529915,-0.000201965907411442,0.0151870080748554,0.81491180741994,0.992251839807026,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.39",319.502530073939,0.001358544481022,0.0187466648502061,0.166355778031678,0.864686546961545,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.40",405.124988956455,-0.00108390231372827,0.014606395336315,0.183931004313877,0.878125822632774,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.SeC(TCA).1",0.996605501550886,0.00404294723608266,0.0845461493038484,0.222930531904946,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.41",4.88380645377301,0.00137451782344668,0.0466395416146241,0.598713419325605,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.42",52.856334266317,-0.000107744007005426,0.0179710880553183,0.917714762346826,0.996322228657529,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.43",579.679359016921,0.000295072591231291,0.016603390345937,0.753622522805491,0.991251360824174,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.44",432.254468664828,0.000225592024848485,0.0106415098187306,0.713985150617114,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.45",64003.1191074411,-1.12511977893884e-05,0.00958776739527969,0.984359676360912,0.998658637770577,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.46",244.706947128705,0.00030761894883194,0.0114213263959483,0.634798208685187,0.985156305394721,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.47",163235.809020428,1.70897736449194e-05,0.00944091380297681,0.976030977754675,0.998333757016384,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.48",1137.96318396236,-0.000375491463848078,0.0146903427363598,0.644195190711815,0.986478458986765,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.49",4387.07180654847,-0.000218493513198115,0.00916898142504762,0.700102631625558,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.50",832.091381941927,-0.000131601861904877,0.0106493721490461,0.831196447801201,0.99259120748997,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.51",199.929421489235,0.000805164184113095,0.0144628780510681,0.29988252133051,0.94200792014586,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.52",226.582819450434,8.76024505388353e-06,0.0129148013300976,0.990530065567265,0.999458890878105,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.53",4271.22552898259,0.000133373525094565,0.00993937117233938,0.820411298210014,0.992539415052642,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.54",264.388484108347,8.48063125115822e-05,0.0106519582003197,0.890897854359637,0.995285798995474,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.55",3.26700786521812,0.0134283728091093,0.128046367282984,0.047646132176517,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.56",2.62291990270895,0.00232840878466131,0.0606742442522788,0.447709640925573,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.SeC(TCA).2",0.767339889097244,0.00125688108721403,0.0709438112973523,0.635067569451366,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.57",3.45662251557071,0.0033650638635983,0.0602678999291222,0.295075545792421,NA,"No-clone design: ~ Group",FALSE,"Not significant"
