"region","context","experiment","group","sample_id","bin_mid","count"
"dispersed_repeat","CpG","exp1","control","13",2.5,9394
"dispersed_repeat","CpG","exp1","control","13",7.5,456
"dispersed_repeat","CpG","exp1","control","13",12.5,106
"dispersed_repeat","CpG","exp1","control","13",17.5,162
"dispersed_repeat","CpG","exp1","control","13",22.5,92
"dispersed_repeat","CpG","exp1","control","13",27.5,92
"dispersed_repeat","CpG","exp1","control","13",32.5,64
"dispersed_repeat","CpG","exp1","control","13",37.5,74
"dispersed_repeat","CpG","exp1","control","13",42.5,43
"dispersed_repeat","CpG","exp1","control","13",47.5,71
"dispersed_repeat","CpG","exp1","control","13",52.5,40
"dispersed_repeat","CpG","exp1","control","13",57.5,53
"dispersed_repeat","CpG","exp1","control","13",62.5,29
"dispersed_repeat","CpG","exp1","control","13",67.5,50
"dispersed_repeat","CpG","exp1","control","13",72.5,31
"dispersed_repeat","CpG","exp1","control","13",77.5,56
"dispersed_repeat","CpG","exp1","control","13",82.5,45
"dispersed_repeat","CpG","exp1","control","13",87.5,69
"dispersed_repeat","CpG","exp1","control","13",92.5,53
"dispersed_repeat","CpG","exp1","control","13",97.5,179
"dispersed_repeat","CpG","exp1","control","16",2.5,6217
"dispersed_repeat","CpG","exp1","control","16",7.5,307
"dispersed_repeat","CpG","exp1","control","16",12.5,81
"dispersed_repeat","CpG","exp1","control","16",17.5,126
"dispersed_repeat","CpG","exp1","control","16",22.5,67
"dispersed_repeat","CpG","exp1","control","16",27.5,58
"dispersed_repeat","CpG","exp1","control","16",32.5,49
"dispersed_repeat","CpG","exp1","control","16",37.5,58
"dispersed_repeat","CpG","exp1","control","16",42.5,34
"dispersed_repeat","CpG","exp1","control","16",47.5,47
"dispersed_repeat","CpG","exp1","control","16",52.5,23
"dispersed_repeat","CpG","exp1","control","16",57.5,30
"dispersed_repeat","CpG","exp1","control","16",62.5,25
"dispersed_repeat","CpG","exp1","control","16",67.5,35
"dispersed_repeat","CpG","exp1","control","16",72.5,16
"dispersed_repeat","CpG","exp1","control","16",77.5,41
"dispersed_repeat","CpG","exp1","control","16",82.5,30
"dispersed_repeat","CpG","exp1","control","16",87.5,27
"dispersed_repeat","CpG","exp1","control","16",92.5,19
"dispersed_repeat","CpG","exp1","control","16",97.5,117
"dispersed_repeat","CpG","exp1","control","9",2.5,9067
"dispersed_repeat","CpG","exp1","control","9",7.5,375
"dispersed_repeat","CpG","exp1","control","9",12.5,125
"dispersed_repeat","CpG","exp1","control","9",17.5,149
"dispersed_repeat","CpG","exp1","control","9",22.5,77
"dispersed_repeat","CpG","exp1","control","9",27.5,86
"dispersed_repeat","CpG","exp1","control","9",32.5,50
"dispersed_repeat","CpG","exp1","control","9",37.5,85
"dispersed_repeat","CpG","exp1","control","9",42.5,41
"dispersed_repeat","CpG","exp1","control","9",47.5,72
"dispersed_repeat","CpG","exp1","control","9",52.5,54
"dispersed_repeat","CpG","exp1","control","9",57.5,42
"dispersed_repeat","CpG","exp1","control","9",62.5,36
"dispersed_repeat","CpG","exp1","control","9",67.5,32
"dispersed_repeat","CpG","exp1","control","9",72.5,30
"dispersed_repeat","CpG","exp1","control","9",77.5,53
"dispersed_repeat","CpG","exp1","control","9",82.5,38
