"experiment","region","context","group","bin_mid","mean_count","min_count","max_count"
"exp1","dispersed_repeat","CpG","control",2.5,8226,6217,9394
"exp1","dispersed_repeat","CpG","control",7.5,379.333333333333,307,456
"exp1","dispersed_repeat","CpG","control",12.5,104,81,125
"exp1","dispersed_repeat","CpG","control",17.5,145.666666666667,126,162
"exp1","dispersed_repeat","CpG","control",22.5,78.6666666666667,67,92
"exp1","dispersed_repeat","CpG","control",27.5,78.6666666666667,58,92
"exp1","dispersed_repeat","CpG","control",32.5,54.3333333333333,49,64
"exp1","dispersed_repeat","CpG","control",37.5,72.3333333333333,58,85
"exp1","dispersed_repeat","CpG","control",42.5,39.3333333333333,34,43
"exp1","dispersed_repeat","CpG","control",47.5,63.3333333333333,47,72
"exp1","dispersed_repeat","CpG","control",52.5,39,23,54
"exp1","dispersed_repeat","CpG","control",57.5,41.6666666666667,30,53
"exp1","dispersed_repeat","CpG","control",62.5,30,25,36
"exp1","dispersed_repeat","CpG","control",67.5,39,32,50
"exp1","dispersed_repeat","CpG","control",72.5,25.6666666666667,16,31
"exp1","dispersed_repeat","CpG","control",77.5,50,41,56
"exp1","dispersed_repeat","CpG","control",82.5,37.6666666666667,30,45
"exp1","dispersed_repeat","CpG","control",87.5,53.3333333333333,27,69
"exp1","dispersed_repeat","CpG","control",92.5,40.6666666666667,19,53
"exp1","dispersed_repeat","CpG","control",97.5,169,117,211
"exp1","dispersed_repeat","CpG","acute",2.5,5330.66666666667,4111,7766
"exp1","dispersed_repeat","CpG","acute",7.5,240.333333333333,192,316
"exp1","dispersed_repeat","CpG","acute",12.5,71.6666666666667,49,97
"exp1","dispersed_repeat","CpG","acute",17.5,96,75,131
"exp1","dispersed_repeat","CpG","acute",22.5,50,41,66
"exp1","dispersed_repeat","CpG","acute",27.5,61.3333333333333,38,103
"exp1","dispersed_repeat","CpG","acute",32.5,33.6666666666667,28,39
"exp1","dispersed_repeat","CpG","acute",37.5,48.3333333333333,38,64
"exp1","dispersed_repeat","CpG","acute",42.5,29.6666666666667,17,37
"exp1","dispersed_repeat","CpG","acute",47.5,40.6666666666667,23,56
"exp1","dispersed_repeat","CpG","acute",52.5,23.3333333333333,18,33
"exp1","dispersed_repeat","CpG","acute",57.5,30,21,45
"exp1","dispersed_repeat","CpG","acute",62.5,15.3333333333333,13,19
"exp1","dispersed_repeat","CpG","acute",67.5,27,17,41
"exp1","dispersed_repeat","CpG","acute",72.5,20.6666666666667,16,26
"exp1","dispersed_repeat","CpG","acute",77.5,29.6666666666667,26,37
"exp1","dispersed_repeat","CpG","acute",82.5,22,9,33
"exp1","dispersed_repeat","CpG","acute",87.5,31,19,51
"exp1","dispersed_repeat","CpG","acute",92.5,27.6666666666667,16,42
"exp1","dispersed_repeat","CpG","acute",97.5,76.3333333333333,45,136
"exp1","dispersed_repeat","CHG","control",2.5,9967.33333333333,7479,11354
"exp1","dispersed_repeat","CHG","control",7.5,202.666666666667,139,267
"exp1","dispersed_repeat","CHG","control",12.5,10,9,11
"exp1","dispersed_repeat","CHG","control",17.5,13.6666666666667,9,19
"exp1","dispersed_repeat","CHG","control",22.5,3.33333333333333,2,6
"exp1","dispersed_repeat","CHG","control",27.5,5.33333333333333,4,7
"exp1","dispersed_repeat","CHG","control",32.5,0.666666666666667,0,2
"exp1","dispersed_repeat","CHG","control",37.5,2.33333333333333,1,5
"exp1","dispersed_repeat","CHG","control",42.5,0.333333333333333,0,1
"exp1","dispersed_repeat","CHG","control",47.5,0.666666666666667,0,2
"exp1","dispersed_repeat","CHG","control",52.5,0.333333333333333,0,1
"exp1","dispersed_repeat","CHG","control",57.5,0.333333333333333,0,1
"exp1","dispersed_repeat","CHG","control",62.5,0,0,0
"exp1","dispersed_repeat","CHG","control",67.5,0,0,0
"exp1","dispersed_repeat","CHG","control",72.5,0,0,0
"exp1","dispersed_repeat","CHG","control",77.5,0,0,0
"exp1","dispersed_repeat","CHG","control",82.5,0,0,0
"exp1","dispersed_repeat","CHG","control",87.5,0,0,0
"exp1","dispersed_repeat","CHG","control",92.5,0,0,0
"exp1","dispersed_repeat","CHG","control",97.5,0.333333333333333,0,1
"exp1","dispersed_repeat","CHG","acute",2.5,6422.66666666667,4947,9323
"exp1","dispersed_repeat","CHG","acute",7.5,124.333333333333,83,201
"exp1","dispersed_repeat","CHG","acute",12.5,8.33333333333333,2,15
"exp1","dispersed_repeat","CHG","acute",17.5,10.3333333333333,7,16
"exp1","dispersed_repeat","CHG","acute",22.5,3,2,4
"exp1","dispersed_repeat","CHG","acute",27.5,1.66666666666667,1,3
"exp1","dispersed_repeat","CHG","acute",32.5,0,0,0
