sample	sample_id	meth_CpG	unmeth_CpG	total_CpG	meth_CHG	unmeth_CHG	total_CHG	meth_CHH	unmeth_CHH	total_CHH	total_C_analysed
Sample_3_3_D	3_3	6034769	69014834	75049603	332120	84923952	85256072	1325527	371585776	372911303	533216978
Sample_6-6_D	6-6	4145500	58954880	63100380	254241	70027088	70281329	1014970	303852613	304867583	438249292
Sample_7-7_D	7-7	4825265	68521674	73346939	267763	81473452	81741215	1070041	352119975	353190016	508278170
Sample_8-8_D	8-8	6177427	73670029	79847456	332720	90283418	90616138	1335532	392695764	394031296	564494890
Sample_9-9_D	9-9	4661309	63513277	68174586	278276	75798783	76077059	1120564	327159160	328279724	472531369
Sample_10-10_D	10-10	3593226	49974110	53567336	201170	59469629	59670799	803275	256009718	256812993	370051128
Sample_13-13_D	13-13	4623157	63451943	68075100	316528	75688512	76005040	1281994	328103595	329385589	473465729
Sample_14-14_D	14-14	3743397	49902654	53646051	248107	60028251	60276358	1006615	262060196	263066811	376989220
Sample_15-15_D	15-15	4180609	58728723	62909332	273896	69860396	70134292	1096977	301776530	302873507	435917131
Sample_16-16_D	16-16	3950220	53302000	57252220	250597	63536597	63787194	1000989	275682879	276683868	397723282
Sample_17-17_D	17-17	5170193	60704429	65874622	293738	74322960	74616698	1174625	323938175	325112800	465604120
Sample_20-20_D	20-20	3370163	44354622	47724785	246491	53615040	53861531	1000473	235403649	236404122	337990438
Sample_21-21_D	21-21	3635329	47714921	51350250	253020	57665399	57918419	1030020	251970261	253000281	362268950
Sample_22-22_D	22-22	3622765	49363060	52985825	207035	59170561	59377596	833276	254886146	255719422	368082843
Sample_27-27_D	27-27	3552945	47234792	50787737	236905	56855537	57092442	959437	246597644	247557081	355437260
Sample_29-11_redo_D	29-11_redo	3862709	53616849	57479558	278908	63941006	64219914	1118250	276178209	277296459	398995931
Sample_32-18_redo_D	32-18_redo	4553204	51350320	55903524	319887	63429694	63749581	1301329	277126176	278427505	398080610
Sample_36-2_redo_D	36-2_redo	4721839	63747203	68469042	375802	76016030	76391832	1523380	328734558	330257938	475118812
