sample,sample_id,experiment,experiment_label,treatment_binary,group,context,n_sites_total,n_sites_used,n_meth_sites,n_unmeth_sites,total_meth_reads,total_un_reads,total_cov_reads,percent_meth_weighted,percent_sites_methylated
Sample_3-3_D,3,exp1,Acute,1,A,CpG,3391187,3362169,316354,3045815,1727874,19171900,20899774,8.267429111912884,9.4092236291513
Sample_3-3_D,3,exp1,Acute,1,A,CHG,3920181,3888121,2178,3885943,85621,24096441,24182062,0.3540682345450938,0.056016775198096974
Sample_3-3_D,3,exp1,Acute,1,A,CHH,17309092,17149503,7093,17142410,349894,106584926,106934820,0.3272030569649811,0.04135979917318887
Sample_9-9_D,9,exp1,Acute,0,X,CpG,2344839,2322526,167868,2154658,898773,13113230,14012003,6.414307790256682,7.227820054544061
Sample_9-9_D,9,exp1,Acute,0,X,CHG,2612213,2590286,1222,2589064,51245,15508034,15559279,0.3293533074379603,0.04717625775686546
Sample_9-9_D,9,exp1,Acute,0,X,CHH,11234901,11139305,3602,11135703,210246,66863507,67073753,0.313454951596342,0.03233594914583989
Sample_13-13_D,13,exp1,Acute,0,X,CpG,2377986,2355598,172669,2182929,914991,13307145,14222136,6.433569472264925,7.330155654742447
Sample_13-13_D,13,exp1,Acute,0,X,CHG,2662318,2640076,1262,2638814,59892,15808307,15868199,0.37743413729560615,0.047801654194803485
Sample_13-13_D,13,exp1,Acute,0,X,CHH,11552401,11454006,3655,11450351,248215,68794876,69043091,0.3595073691008417,0.03191023297874997
Sample_15-15_D,15,exp1,Acute,1,A,CpG,2067841,2048281,141530,1906751,744249,11548374,12292623,6.054436062994855,6.909696472310196
Sample_15-15_D,15,exp1,Acute,1,A,CHG,2293180,2274296,1115,2273181,47921,13530615,13578536,0.3529172806258348,0.04902616018319515
Sample_15-15_D,15,exp1,Acute,1,A,CHH,9864536,9781359,3149,9778210,194987,58357483,58552470,0.3330124245826009,0.032193890439968516
Sample_16-16_D,16,exp1,Acute,0,X,CpG,1661322,1646409,115670,1530739,606409,9198107,9804516,6.184996791274552,7.025593276032869
Sample_16-16_D,16,exp1,Acute,0,X,CHG,1838882,1821142,922,1820220,37697,10720515,10758212,0.3504020928384754,0.05062757324799494
Sample_16-16_D,16,exp1,Acute,0,X,CHH,8011179,7933280,2619,7930661,154959,46877221,47032180,0.32947441517701287,0.03301282697698808
Sample_17-17_D,17,exp1,Acute,0,X,CpG,2356550,2337132,211695,2125437,1112269,12986034,14098303,7.889382147624434,9.057896601475655
Sample_17-17_D,17,exp1,Acute,0,X,CHG,2713084,2687506,1416,2686090,56915,16108956,16165871,0.3520688739876744,0.052688254463431894
Sample_17-17_D,17,exp1,Acute,0,X,CHH,11910844,11802506,3695,11798811,234560,71028432,71262992,0.3291469996095589,0.03130691058322699
Sample_22-22_D,22,exp1,Acute,1,A,CpG,1097642,1087687,77004,1010683,393589,6006329,6399918,6.1499069206824215,7.079610218748592
Sample_22-22_D,22,exp1,Acute,1,A,CHG,1227959,1216114,389,1215725,21912,7076997,7098909,0.3086671487125698,0.03198713278524875
Sample_22-22_D,22,exp1,Acute,1,A,CHH,5277962,5230697,1510,5229187,91426,30665081,30756507,0.29725742263255056,0.028868045692572137
Sample_27-27_D,27,exp1,Acute,1,A,CpG,1124197,1114684,81739,1032945,419522,6136011,6555533,6.399510154246802,7.332930229553846
Sample_27-27_D,27,exp1,Acute,1,A,CHG,1261422,1250044,600,1249444,27422,7267020,7294442,0.3759300574327687,0.047998310459471824
Sample_27-27_D,27,exp1,Acute,1,A,CHH,5509081,5455047,1724,5453323,113679,31860823,31974502,0.3555301658803005,0.031603760700870225
Sample_6-6_D,6,exp2,Primed,0,B,CpG,2160502,2139709,146608,1993101,772822,12094256,12867078,6.006196589466544,6.851772834530303
Sample_6-6_D,6,exp2,Primed,0,B,CHG,2398114,2378071,1112,2376959,45331,14194009,14239340,0.31835042916314943,0.04676058872926839
Sample_6-6_D,6,exp2,Primed,0,B,CHH,10426863,10339472,3283,10336189,185682,61919868,62105550,0.29897811065194657,0.0317521049430764
Sample_7-7_D,7,exp2,Primed,0,B,CpG,3066650,3040887,214933,2825954,1152354,17525841,18678195,6.169514773777659,7.068102168873753
Sample_7-7_D,7,exp2,Primed,0,B,CHG,3422150,3391214,1529,3389685,60017,20613661,20673678,0.2903063499392803,0.04508709860244738
Sample_7-7_D,7,exp2,Primed,0,B,CHH,14767130,14639324,4422,14634902,246825,89210361,89457186,0.2759141115840599,0.030206312805154116
Sample_8-8_D,8,exp2,Primed,1,C,CpG,3506210,3477874,311086,3166788,1686489,19982601,21669090,7.7829248944002725,8.944717376190166
Sample_8-8_D,8,exp2,Primed,1,C,CHG,4027165,3987430,1846,3985584,82861,24701252,24784113,0.33433110961041856,0.04629548355707812
Sample_8-8_D,8,exp2,Primed,1,C,CHH,17540408,17380997,4890,17376107,337075,108077209,108414284,0.3109138275543101,0.02813417435144831
Sample_10-10_D,10,exp2,Primed,0,B,CpG,1349314,1337917,91350,1246567,469847,7426938,7896785,5.949851743462688,6.82777780684452
Sample_10-10_D,10,exp2,Primed,0,B,CHG,1491647,1477948,603,1477345,25517,8638750,8664267,0.2945084679407964,0.04079981163072043
Sample_10-10_D,10,exp2,Primed,0,B,CHH,6406972,6348063,1815,6346248,105402,37228988,37334390,0.2823187950841034,0.028591398667593564
