"experiment","group","context","n_samples","Mean ± SD","Median [IQR]","Range"
"exp1","control","CHG",4,"0.05 ± 0.00","0.05 [0.00]","0.05–0.05"
"exp1","control","CHH",4,"0.03 ± 0.00","0.03 [0.00]","0.03–0.03"
"exp1","control","CpG",4,"7.66 ± 0.94","7.28 [0.58]","7.03–9.06"
"exp1","acute","CHG",4,"0.05 ± 0.01","0.05 [0.01]","0.03–0.06"
"exp1","acute","CHH",4,"0.03 ± 0.01","0.03 [0.00]","0.03–0.04"
"exp1","acute","CpG",4,"7.68 ± 1.16","7.21 [0.81]","6.91–9.41"
"exp2","naïve","CHG",5,"0.05 ± 0.00","0.05 [0.00]","0.04–0.05"
"exp2","naïve","CHH",5,"0.03 ± 0.00","0.03 [0.00]","0.03–0.04"
"exp2","naïve","CpG",5,"7.45 ± 1.05","7.07 [0.35]","6.83–9.32"
"exp2","primed","CHG",5,"0.06 ± 0.01","0.06 [0.01]","0.05–0.06"
"exp2","primed","CHH",5,"0.04 ± 0.01","0.04 [0.01]","0.03–0.05"
"exp2","primed","CpG",5,"7.92 ± 0.66","7.97 [0.62]","7.27–8.94"
