ID,Description,Description_QuickGO,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,GO,contrast
GO:0000149,SNARE binding ,SNARE binding,55,-0.536978853,-1.886137592,0.00061744,0.020233024,0.018048238,6891,"tags=40%, list=16%, signal=33%",evm.utg1051.91/evm.utg2129.9/evm.utg27.149/evm.utg8.1/evm.utg2417.27/evm.utg1056.20/evm.utg910.154/evm.utg2099.54/evm.utg280.40/evm.utg4328.10/evm.utg418.76/evm.utg1507.19/evm.utg16283.16/evm.utg1251.12/evm.utg790.48/evm.utg2417.28/evm.utg1056.41/evm.utg34096.12/evm.utg1051.92/evm.utg2129.10/evm.utg1051.93/evm.utg637.11,molecular_functions,salinity_added
GO:0000166,nucleotide binding ,nucleotide binding,176,0.714757222,2.763551892,0.0001953,0.041598999,0.037209878,461,"tags=2%, list=1%, signal=2%",evm.utg7168.12/evm.utg7168.17/evm.utg599.1/evm.utg1931.51,molecular_functions,interactive
GO:0000166,nucleotide binding ,nucleotide binding,176,0.517944298,2.181411572,5.13E-06,0.000624542,0.000557103,405,"tags=3%, list=1%, signal=3%",evm.utg7168.11/evm.utg7168.18/evm.utg7168.14/evm.utg7168.12/evm.utg7168.17/evm.utg695.38,molecular_functions,salinity_added
GO:0000724,double-strand break repair via homologous recombination ,double-strand break repair via homologous recombination,40,-0.62417564,-1.95367703,0.000168198,0.049029821,0.04320042,1581,"tags=18%, list=4%, signal=17%",evm.utg15716.7/evm.utg699.101/evm.utg2969.3/evm.utg594.45/evm.utg594.46/evm.utg2969.2/evm.utg11411.7,biological_processes,diesel_added
GO:0000978,DNA-binding transcription factor activity ,RNA polymerase II cis-regulatory region sequence-specific DNA binding,369,0.338000958,1.565874523,0.002697592,0.047882265,0.039517363,7484,"tags=28%, list=18%, signal=23%",evm.utg34597.7/evm.utg1056.7/evm.utg2716.7/evm.utg1056.8/evm.utg3092.47/evm.utg418.68/evm.utg10077.8/evm.utg1571.10/evm.utg1565.73/evm.utg7217.3/evm.utg86.11/evm.utg15506.1/evm.utg577.53/evm.utg301.105/evm.utg3403.1/evm.utg564.28/evm.utg2483.1/evm.utg5885.86/evm.utg7652.32/evm.utg2129.13/evm.utg1846.63/evm.utg857.22/evm.utg116.190/evm.utg8.57/evm.utg78.71/evm.utg1507.28/evm.utg2099.44/evm.utg27.69/evm.utg2353.29/evm.utg470.10/evm.utg4.8/evm.utg797.39/evm.utg2298.32/evm.utg109.39/evm.utg1005.68/evm.utg2216.24/evm.utg738.20/evm.utg150.84/evm.utg734.9/evm.utg479.157/evm.utg2801.42/evm.utg101.113/evm.utg6959.27/evm.utg11096.5/evm.utg420.41/evm.utg777.45/evm.utg262.33/evm.utg579.32/evm.utg4082.33/evm.utg18294.6/evm.utg5950.50/evm.utg693.35/evm.utg2123.34/evm.utg5513.3/evm.utg116.191/evm.utg14772.14/evm.utg1565.32/evm.utg12986.52/evm.utg104.1/evm.utg798.18/evm.utg3839.101/evm.utg101.75/evm.utg78.53/evm.utg464.224/evm.utg777.1/evm.utg616.23/evm.utg7145.48/evm.utg170.15/evm.utg162.7/evm.utg1565.31/evm.utg2426.20/evm.utg14676.2/evm.utg4082.41/evm.utg579.77/evm.utg145.50/evm.utg1056.46/evm.utg881.8/evm.utg11096.1/evm.utg2111.10/evm.utg172.71/evm.utg18.52/evm.utg378.15/evm.utg597.128/evm.utg1201.23/evm.utg479.94/evm.utg1051.98/evm.utg225.47/evm.utg34383.4/evm.utg17539.3/evm.utg1919.71/evm.utg15156.17/evm.utg4082.56/evm.utg888.23/evm.utg8494.31/evm.utg1272.75/evm.utg2303.13/evm.utg20635.5/evm.utg7652.31/evm.utg27.68/evm.utg420.134/evm.utg1565.46/evm.utg1051.49/evm.utg3365.21/evm.utg172.70,molecular_functions,diesel_added
GO:0003684,damaged DNA binding ,damaged DNA binding,25,-0.638396322,-1.920165657,0.001010043,0.026892382,0.02398851,3694,"tags=40%, list=9%, signal=37%",evm.utg3797.13/evm.utg302.25/evm.utg4502.3/evm.utg622.145/evm.utg622.147/evm.utg1530.13/evm.utg2108.27/evm.utg9668.24/evm.utg700.10/evm.utg23233.3,molecular_functions,salinity_added
GO:0003700,DNA binding ,DNA-binding transcription factor activity,132,0.469396388,1.936770321,0.000777099,0.0359952,0.031218965,10246,"tags=42%, list=24%, signal=32%",evm.utg420.46/evm.utg34597.8/evm.utg420.44/evm.utg34597.10/evm.utg1694.54/evm.utg29.1/evm.utg777.4/evm.utg26697.3/evm.utg109.65/evm.utg2426.18/evm.utg1781.29/evm.utg324.153/evm.utg116.190/evm.utg750.43/evm.utg15156.22/evm.utg1005.68/evm.utg34597.9/evm.utg324.209/evm.utg10470.33/evm.utg1579.7/evm.utg15156.23/evm.utg736.39/evm.utg2129.13/evm.utg1588.6/evm.utg1507.6/evm.utg1995.8/evm.utg48.33/evm.utg4326.26/evm.utg777.89/evm.utg761.42/evm.utg78.53/evm.utg146.18/evm.utg1609.24/evm.utg34597.7/evm.utg48.32/evm.utg1056.28/evm.utg1345.85/evm.utg10588.17/evm.utg6183.19/evm.utg13.61/evm.utg381.35/evm.utg2123.34/evm.utg3642.15/evm.utg13.60/evm.utg6183.20/evm.utg1995.9/evm.utg320.141/evm.utg5652.41/evm.utg9762.1/evm.utg7652.31/evm.utg27.69/utg1579.evm.utg1345.85.mrna2/evm.utg48491.4/evm.utg3803.11/evm.utg10588.18,molecular_functions,salinity_only
GO:0003700,DNA binding ,DNA-binding transcription factor activity,132,0.54811384,2.233436295,5.86E-06,0.000624542,0.000557103,7588,"tags=42%, list=18%, signal=34%",evm.utg420.46/evm.utg34597.9/evm.utg34597.8/evm.utg34597.7/evm.utg420.44/evm.utg34597.10/evm.utg104.72/evm.utg777.4/evm.utg2426.18/evm.utg104.73/evm.utg109.65/evm.utg116.190/evm.utg750.43/evm.utg1507.6/evm.utg761.42/evm.utg9762.1/evm.utg2129.13/evm.utg1995.8/evm.utg324.209/evm.utg420.41/evm.utg29.1/evm.utg1005.68/evm.utg777.45/evm.utg26697.3/evm.utg3803.11/evm.utg3899.14/evm.utg15156.22/evm.utg3913.44/evm.utg27.69/evm.utg5652.41/evm.utg320.141/evm.utg3913.31/evm.utg15156.23/evm.utg18294.6/evm.utg4326.26/evm.utg10470.33/evm.utg8.57/evm.utg324.153/evm.utg470.10/evm.utg101.113/evm.utg146.18/evm.utg7652.31/evm.utg9285.24/evm.utg10588.30/evm.utg1056.28/evm.utg1781.29/evm.utg381.35/evm.utg3013.24/evm.utg5294.42/evm.utg5059.25/evm.utg420.134/evm.utg5390.49/evm.utg1588.6/evm.utg2123.34/evm.utg12875.1,molecular_functions,salinity_added
GO:0003700,DNA binding ,DNA-binding transcription factor activity,132,0.524417997,2.251306876,1.03E-05,0.001462296,0.001293556,8019,"tags=40%, list=19%, signal=33%",evm.utg420.46/evm.utg34597.8/evm.utg34597.10/evm.utg34597.7/evm.utg34597.9/evm.utg420.44/evm.utg116.190/evm.utg1005.68/evm.utg2129.13/evm.utg109.65/evm.utg2426.18/evm.utg320.141/evm.utg3803.11/evm.utg750.43/evm.utg104.72/evm.utg78.53/evm.utg27.69/evm.utg104.73/evm.utg1588.6/evm.utg9762.1/evm.utg1507.6/evm.utg1781.29/evm.utg761.42/evm.utg777.4/evm.utg8.57/evm.utg777.45/evm.utg2123.34/evm.utg29.1/evm.utg381.35/evm.utg324.209/evm.utg1995.8/evm.utg324.153/evm.utg3013.24/evm.utg5950.50/evm.utg1051.98/evm.utg420.41/evm.utg7652.31/evm.utg470.10/evm.utg12875.1/evm.utg18294.6/evm.utg616.23/evm.utg1694.54/evm.utg15156.22/evm.utg10470.33/evm.utg7652.32/evm.utg15156.23/evm.utg1056.28/evm.utg5652.41/evm.utg10470.32/evm.utg13.60/evm.utg3899.14/evm.utg146.18/evm.utg3913.44,molecular_functions,additive
GO:0003724,ATP binding ,RNA helicase activity,114,0.505065265,2.022206922,0.000844958,0.0359952,0.031218965,6877,"tags=38%, list=16%, signal=32%",evm.utg17212.2/evm.utg4901.15/evm.utg48.58/evm.utg48.57/evm.utg1031.83/evm.utg48.56/evm.utg17212.5/evm.utg109.17/evm.utg3174.12/evm.utg1285.85/evm.utg2323.1/evm.utg715.56/evm.utg637.28/evm.utg19612.4/evm.utg2108.52/evm.utg1277.7/evm.utg2967.34/evm.utg564.53/evm.utg413.45/evm.utg431.25/evm.utg26219.2/evm.utg1205.31/evm.utg207.56/evm.utg19612.3/evm.utg26219.3/evm.utg1571.14/evm.utg77.7/evm.utg32107.7/evm.utg637.27/evm.utg1272.60/evm.utg10588.3/evm.utg18.60/evm.utg1290.22/evm.utg45299.4/evm.utg35.18/evm.utg3284.30/evm.utg1022.42.44/evm.utg5454.3/evm.utg207.129/evm.utg4326.50/evm.utg1230.30/evm.utg715.74/evm.utg30804.2,molecular_functions,salinity_only
