"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO"
"GO:0044342","cell morphogenesis ",21,0.771980023375555,2.23808589340162,0.000159372326366563,0.0490298206737984,0.043200419768554,577,"tags=24%, list=1%, signal=23%","evm.utg14533.12/evm.utg14913.15/evm.utg59616.3/evm.utg14533.21/evm.utg59616.2","biological_processes"
"GO:0000724","double-strand break repair via homologous recombination ",40,-0.624175640303196,-1.95367703011002,0.000168198355656255,0.0490298206737984,0.043200419768554,1581,"tags=18%, list=4%, signal=17%","evm.utg15716.7/evm.utg699.101/evm.utg2969.3/evm.utg594.45/evm.utg594.46/evm.utg2969.2/evm.utg11411.7","biological_processes"
"GO:0009007","DNA binding ",18,-0.819526657025917,-2.18030208784531,7.58418619939271e-06,0.0032308633209413,0.0026664402006286,264,"tags=33%, list=1%, signal=33%","evm.utg1475.17/evm.utg5.9/evm.utg4652.22/evm.utg7286.8/evm.utg33828.4/evm.utg5059.5","molecular_functions"
"GO:0004867","coreceptor activity involved in canonical Wnt signaling pathway ",120,0.510766285900029,2.10445839781431,0.000222867471710868,0.0182616297172794,0.0150713721906877,6756,"tags=26%, list=16%, signal=22%","evm.utg14533.12/evm.utg14913.15/evm.utg14913.16/evm.utg59616.3/evm.utg14533.21/evm.utg14533.20/evm.utg52.106/evm.utg8609.28/evm.utg417.47/evm.utg59616.2/evm.utg8609.27/evm.utg59616.1/evm.utg7066.37/evm.utg152.8/evm.utg7977.5/evm.utg54553.2/evm.utg14533.19/evm.utg54553.1/evm.utg1972.76/utg2667.equina_smart_398419.mrna2/evm.utg1919.96/evm.utg777.11/evm.utg14913.17/evm.utg36040.1/evm.utg4290.17/evm.utg14533.18/evm.utg4607.4/evm.utg777.10/evm.utg2379.7/evm.utg1005.1/evm.utg7596.6","molecular_functions"
"GO:0019843","rRNA binding ",37,-0.676964275336129,-2.09809265458839,8.99490448992571e-05,0.0182616297172794,0.0150713721906877,5918,"tags=38%, list=14%, signal=33%","evm.utg5390.6/evm.utg15506.16/evm.utg600.2/evm.utg3790.43/evm.utg693.10/evm.utg3790.45/evm.utg2411.7/evm.utg23189.6/evm.utg3790.42/evm.utg23189.5/evm.utg762.3/evm.utg762.5/evm.utg22722.3/evm.utg762.4","molecular_functions"
"GO:0016746","acyltransferase activity ",134,0.494488969141018,2.07732921950999,0.000212771453328104,0.0182616297172794,0.0150713721906877,6596,"tags=37%, list=16%, signal=32%","evm.utg116.172/evm.utg4661.5/evm.utg888.24/evm.utg1507.13/evm.utg729.164/evm.utg378.135/evm.utg2757.49/evm.utg4576.12/evm.utg2255.7/evm.utg4576.15/evm.utg209.53/evm.utg405.77/evm.utg378.85/evm.utg729.20/utg370.equina_smart_620817.mrna1/evm.utg6959.18/evm.utg666.17/evm.utg7289.4/evm.utg351.17/evm.utg1507.12/evm.utg861.54/evm.utg135859.2/evm.utg162.9/evm.utg8.33/evm.utg7855.37/evm.utg55869.4/evm.utg1137.32/evm.utg1507.14/utg370.equina_smart_1090934.mrna2/evm.utg4604.16/evm.utg1507.18/utg18409.equina_smart_1565232.mrna3/evm.utg15629.9/evm.utg4576.13/evm.utg977.37/evm.utg2690.8/evm.utg7909.6/evm.utg2606.21/evm.utg77.156/evm.utg370.32/evm.utg101.208/evm.utg1507.16/evm.utg15197.2/evm.utg2849.31/evm.utg3522.47/evm.utg73.45/evm.utg3677.32/evm.utg18409.14/evm.utg2690.7/utg2353.equina_smart_1070368.mrna1","molecular_functions"
"GO:0003924","GTP binding ",306,0.391578110953347,1.79294057627243,0.000257206052356048,0.0182616297172794,0.0150713721906877,6251,"tags=29%, list=15%, signal=25%","evm.utg514.15/evm.utg116.291/evm.utg10541.3/evm.utg1272.62/evm.utg2994.55/evm.utg420.132/evm.utg56.4/evm.utg300.55/evm.utg14876.3/evm.utg405.37/evm.utg1102.20/evm.utg116.364/evm.utg12197.15/evm.utg4567.24/evm.utg418.60/evm.utg7.14/evm.utg498.29/evm.utg2129.200/evm.utg14.37/evm.utg1455.19/evm.utg4.20/evm.utg77.24/evm.utg16050.14/evm.utg280.52/evm.utg470.8/evm.utg590.16/evm.utg2350.7/evm.utg12975.1/evm.utg86.26/evm.utg16443.2/evm.utg2817.16/evm.utg4567.33/evm.utg1846.35/evm.utg1925.63/evm.utg1919.113/evm.utg8494.90/evm.utg4972.20/evm.utg1354.3/evm.utg356.108/evm.utg6035.10/evm.utg6958.21/evm.utg1663.37/evm.utg194.90/evm.utg52.66/evm.utg219.31/evm.utg192.3/evm.utg1031.19/evm.utg7840.14/evm.utg408.3/evm.utg7289.46/evm.utg12975.3/evm.utg4610.7/evm.utg1455.9/evm.utg2099.35/evm.utg5513.9/evm.utg924.67/evm.utg1091.38/evm.utg8672.10/evm.utg924.68/evm.utg6924.5/evm.utg1745.6/evm.utg1272.141/evm.utg286.25/evm.utg7821.1/evm.utg18036.3/evm.utg1819.17/evm.utg1565.104/evm.utg6894.6/evm.utg3509.8/evm.utg190.45/evm.utg5950.62/evm.utg1754.6/evm.utg15664.6/evm.utg734.49/evm.utg5950.52/evm.utg55.78/evm.utg1272.142/evm.utg924.74/evm.utg1031.20/evm.utg1363.21/evm.utg1623.10/evm.utg5815.4/evm.utg4567.23/evm.utg1177.10/evm.utg597.9/evm.utg1432.2/evm.utg12975.2/evm.utg1337.8/utg55.equina_smart_1459409.mrna2","molecular_functions"
"GO:0004842","ATP binding ",448,-0.396714901123876,-1.74556042079829,0.000165244406795056,0.0182616297172794,0.0150713721906877,10481,"tags=36%, list=25%, signal=28%","evm.utg1087.23/evm.utg344.50/evm.utg1345.53/evm.utg1253.93/evm.utg11219.3/evm.utg3339.12/evm.utg735.49/evm.utg219.24/evm.utg3022.1/evm.utg691.22/evm.utg3339.17/evm.utg5157.8/evm.utg144.60/evm.utg3292.21/evm.utg102448.6/evm.utg1846.65/evm.utg1919.19/utg262.equina_smart_1065002.mrna1/evm.utg12336.22/evm.utg2901.18/evm.utg622.152/evm.utg801.109/utg464.equina_smart_1065012.mrna2/evm.utg580.70/evm.utg225.23/utg17181.equina_smart_1065012.mrna7/evm.utg389.18/evm.utg3158.34/evm.utg21873.17/evm.utg344.51/utg2071.equina_smart_1065012.mrna6/evm.utg116.241/evm.utg9902.9/evm.utg910.156/evm.utg56.67/evm.utg12336.30/evm.utg1931.10/evm.utg750.9/evm.utg376.50/evm.utg910.80/evm.utg1708.35/evm.utg219.44/evm.utg408.5/evm.utg1056.116/evm.utg2371.66/evm.utg17511.19/utg370.equina_smart_1065012.mrna5/utg3092.equina_smart_1065012.mrna10/evm.utg464.137/evm.utg152.74/evm.utg3158.28/evm.utg3787.42/evm.utg2526.24/evm.utg1256.25/evm.utg8181.3/evm.utg594.9/evm.utg2929.8/evm.utg1056.107/evm.utg2932.43/evm.utg801.111/evm.utg107.20/evm.utg115.12/evm.utg3158.33/evm.utg8.84/evm.utg344.52/evm.utg6155.14/evm.utg389.100/evm.utg801.108/evm.utg144.59/evm.utg3339.14/evm.utg1024.9/evm.utg3787.26/evm.utg920.22/evm.utg2247.12/evm.utg622.157/utg622.equina_smart_923814.mrna1/evm.utg7.9/evm.utg1734.31/evm.utg152.3/evm.utg12336.21/evm.utg1236.10/evm.utg3019.59/evm.utg594.56/evm.utg4398.5/evm.utg2246.38/evm.utg4271.15/evm.utg888.10/evm.utg9623.25/evm.utg801.28/evm.utg415.81/evm.utg10041.4/evm.utg3834.9/evm.utg3827.17/evm.utg50879.6/evm.utg11814.13/evm.utg2123.42/evm.utg9141.1/evm.utg1972.95/evm.utg3155.10/evm.utg700.9/evm.utg467.16/evm.utg17212.2/evm.utg13.18/evm.utg1052.26/evm.utg1226.10/evm.utg16690.16/evm.utg13.19/evm.utg3697.8/evm.utg7.52/evm.utg2487.33/evm.utg3339.13/evm.utg9668.26/evm.utg55566.3/evm.utg5885.68/evm.utg12644.9/evm.utg477.9/evm.utg107.35/evm.utg7595.2/evm.utg15585.20/evm.utg1497.14/evm.utg2097.5/utg1052.equina_smart_1392920.mrna2/evm.utg1931.9/evm.utg1358.2/utg1721.equina_smart_1426908.mrna5/evm.utg7888.2/evm.utg861.32/evm.utg17181.16/evm.utg1897.4/evm.utg3339.4/evm.utg1721.22/evm.utg3339.3/evm.utg13.27/evm.utg40104.5/evm.utg20925.11/evm.utg1799.9/evm.utg10530.6/evm.utg695.2/evm.utg2672.9/evm.utg5960.19/evm.utg1925.43/evm.utg2994.29/evm.utg1799.8/evm.utg2672.8/evm.utg5390.68/evm.utg17181.15/evm.utg15585.19/evm.utg2779.19/evm.utg194.33/evm.utg8851.30/evm.utg622.41/evm.utg1143.15/evm.utg23510.1/evm.utg1253.33/evm.utg7595.3/evm.utg1381.34/evm.utg2327.21/evm.utg88612.7/evm.utg4652.22/evm.utg7286.8/evm.utg33828.4/evm.utg1748.31/evm.utg31363.13","molecular_functions"
"GO:0044183","protein folding chaperone ",25,0.666517273076935,2.03157599776708,0.000432681483668768,0.0208789675255288,0.0172314681332508,3208,"tags=40%, list=8%, signal=37%","evm.utg3155.45/evm.utg2818.25/evm.utg3155.40/evm.utg1056.108/evm.utg1056.109/evm.utg405.10/evm.utg14533.3/evm.utg1781.14/evm.utg3155.44/evm.utg5885.53","molecular_functions"
"GO:0003724","ATP binding ",114,-0.516345454893648,-1.95961081290307,0.000441104947722439,0.0208789675255288,0.0172314681332508,9389,"tags=46%, list=22%, signal=36%","evm.utg479.32/evm.utg45299.4/evm.utg910.189/evm.utg34.16/evm.utg1931.60/evm.utg699.97/evm.utg622.103/evm.utg1663.5/evm.utg1285.90/evm.utg1609.78/evm.utg2967.34/evm.utg750.13/evm.utg109.17/evm.utg4326.50/evm.utg2323.1/evm.utg761.5/evm.utg16036.45/evm.utg77.7/evm.utg8380.10/evm.utg564.66/evm.utg715.74/evm.utg9150.15/evm.utg26219.2/evm.utg18.59/evm.utg125.71/evm.utg3284.30/evm.utg18.60/evm.utg2108.52/evm.utg26219.3/evm.utg95.45/evm.utg1285.86/evm.utg1031.83/evm.utg109.118/evm.utg207.129/evm.utg910.12/evm.utg17212.2/evm.utg431.25/evm.utg207.56/evm.utg637.28/evm.utg8609.11/evm.utg1571.14/evm.utg116.128/evm.utg8380.9/evm.utg637.27/evm.utg4901.15/evm.utg1285.91/evm.utg648.16/evm.utg3174.12/evm.utg1052.25/evm.utg648.20/evm.utg1290.22/evm.utg10588.3","molecular_functions"
