"region","context","group","bin_mid","mean_count","min_count","max_count"
"dispersed_repeat","CpG","Control",2.5,4113,0,9394
"dispersed_repeat","CpG","Control",7.5,189.666666666667,0,456
"dispersed_repeat","CpG","Control",12.5,52,0,125
"dispersed_repeat","CpG","Control",17.5,72.8333333333333,0,162
"dispersed_repeat","CpG","Control",22.5,39.3333333333333,0,92
"dispersed_repeat","CpG","Control",27.5,39.3333333333333,0,92
"dispersed_repeat","CpG","Control",32.5,27.1666666666667,0,64
"dispersed_repeat","CpG","Control",37.5,36.1666666666667,0,85
"dispersed_repeat","CpG","Control",42.5,19.6666666666667,0,43
"dispersed_repeat","CpG","Control",47.5,31.6666666666667,0,72
"dispersed_repeat","CpG","Control",52.5,19.5,0,54
"dispersed_repeat","CpG","Control",57.5,20.8333333333333,0,53
"dispersed_repeat","CpG","Control",62.5,15,0,36
"dispersed_repeat","CpG","Control",67.5,19.5,0,50
"dispersed_repeat","CpG","Control",72.5,12.8333333333333,0,31
"dispersed_repeat","CpG","Control",77.5,25,0,56
"dispersed_repeat","CpG","Control",82.5,18.8333333333333,0,45
"dispersed_repeat","CpG","Control",87.5,26.6666666666667,0,69
"dispersed_repeat","CpG","Control",92.5,20.3333333333333,0,53
"dispersed_repeat","CpG","Control",97.5,84.5,0,211
"dispersed_repeat","CpG","Treatment",2.5,2665.33333333333,0,7766
"dispersed_repeat","CpG","Treatment",7.5,120.166666666667,0,316
"dispersed_repeat","CpG","Treatment",12.5,35.8333333333333,0,97
"dispersed_repeat","CpG","Treatment",17.5,48,0,131
"dispersed_repeat","CpG","Treatment",22.5,25,0,66
"dispersed_repeat","CpG","Treatment",27.5,30.6666666666667,0,103
"dispersed_repeat","CpG","Treatment",32.5,16.8333333333333,0,39
"dispersed_repeat","CpG","Treatment",37.5,24.1666666666667,0,64
"dispersed_repeat","CpG","Treatment",42.5,14.8333333333333,0,37
"dispersed_repeat","CpG","Treatment",47.5,20.3333333333333,0,56
"dispersed_repeat","CpG","Treatment",52.5,11.6666666666667,0,33
"dispersed_repeat","CpG","Treatment",57.5,15,0,45
"dispersed_repeat","CpG","Treatment",62.5,7.66666666666667,0,19
"dispersed_repeat","CpG","Treatment",67.5,13.5,0,41
"dispersed_repeat","CpG","Treatment",72.5,10.3333333333333,0,26
"dispersed_repeat","CpG","Treatment",77.5,14.8333333333333,0,37
"dispersed_repeat","CpG","Treatment",82.5,11,0,33
"dispersed_repeat","CpG","Treatment",87.5,15.5,0,51
"dispersed_repeat","CpG","Treatment",92.5,13.8333333333333,0,42
"dispersed_repeat","CpG","Treatment",97.5,38.1666666666667,0,136
"dispersed_repeat","CHG","Control",2.5,4983.66666666667,0,11354
"dispersed_repeat","CHG","Control",7.5,101.333333333333,0,267
"dispersed_repeat","CHG","Control",12.5,5,0,11
"dispersed_repeat","CHG","Control",17.5,6.83333333333333,0,19
"dispersed_repeat","CHG","Control",22.5,1.66666666666667,0,6
"dispersed_repeat","CHG","Control",27.5,2.66666666666667,0,7
"dispersed_repeat","CHG","Control",32.5,0.333333333333333,0,2
"dispersed_repeat","CHG","Control",37.5,1.16666666666667,0,5
"dispersed_repeat","CHG","Control",42.5,0.166666666666667,0,1
"dispersed_repeat","CHG","Control",47.5,0.333333333333333,0,2
"dispersed_repeat","CHG","Control",52.5,0.166666666666667,0,1
"dispersed_repeat","CHG","Control",57.5,0.166666666666667,0,1
"dispersed_repeat","CHG","Control",62.5,0,0,0
"dispersed_repeat","CHG","Control",67.5,0,0,0
"dispersed_repeat","CHG","Control",72.5,0,0,0
"dispersed_repeat","CHG","Control",77.5,0,0,0
"dispersed_repeat","CHG","Control",82.5,0,0,0
"dispersed_repeat","CHG","Control",87.5,0,0,0
"dispersed_repeat","CHG","Control",92.5,0,0,0
"dispersed_repeat","CHG","Control",97.5,0.166666666666667,0,1
"dispersed_repeat","CHG","Treatment",2.5,3211.33333333333,0,9323
"dispersed_repeat","CHG","Treatment",7.5,62.1666666666667,0,201
"dispersed_repeat","CHG","Treatment",12.5,4.16666666666667,0,15
