ID,Description,Description_QuickGO,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GO,contrast
GO:0000077,DNA damage checkpoint signaling ,DNA damage checkpoint signaling,0.019230769,0.000346476,0.017874162,0.04647282,0.0203201,evm.utg1230.6,1,biological_processes,interactive
GO:0000978,DNA-binding transcription factor activity ,RNA polymerase II cis-regulatory region sequence-specific DNA binding,0.019015212,0.013296254,0.000171519,0.040272689,0.038384173,evm.utg18.49/evm.utg27.69/evm.utg29.1/evm.utg48.9/evm.utg52.137/evm.utg78.71/evm.utg92.89/evm.utg101.113/evm.utg109.39/evm.utg116.190/evm.utg116.210/evm.utg163.36.38/evm.utg170.14/evm.utg170.15/evm.utg207.80/evm.utg225.47/evm.utg225.52/evm.utg225.54/evm.utg243.71/evm.utg259.12/evm.utg324.153/evm.utg351.3/evm.utg351.4/evm.utg377.28/evm.utg377.30/evm.utg401.67/evm.utg411.142/evm.utg420.46/evm.utg464.224/evm.utg479.157/evm.utg505.42/evm.utg522.22/evm.utg526.16/evm.utg526.18/evm.utg526.19/evm.utg564.28/evm.utg564.44/evm.utg577.53/evm.utg579.32/evm.utg693.65/evm.utg777.4/evm.utg777.43/evm.utg798.18/evm.utg801.96/evm.utg857.16/evm.utg858.13/evm.utg967.13/evm.utg989.14/evm.utg989.15/evm.utg1005.68/evm.utg1051.38/evm.utg1051.49/evm.utg1205.89/evm.utg1355.21/evm.utg1396.11/evm.utg1396.25/evm.utg1565.31/evm.utg1565.32/evm.utg1565.65/evm.utg1565.73/evm.utg1565.84/evm.utg1623.8/evm.utg1846.63/evm.utg1910.18/utg1910.equina_smart_534762.mrna1/evm.utg2108.30/evm.utg2108.36/evm.utg2129.13/evm.utg2216.22/evm.utg2303.39/evm.utg2716.7/evm.utg2801.42/evm.utg3092.47/evm.utg3260.1/evm.utg3283.23/evm.utg3403.1/evm.utg3474.31/evm.utg3839.101/evm.utg3839.103/evm.utg4157.53/evm.utg4907.68/evm.utg5652.41/evm.utg7145.48/evm.utg7217.31/evm.utg7595.8/evm.utg8494.50/evm.utg10077.8/evm.utg11096.5/evm.utg14703.12/evm.utg14772.14/evm.utg17539.3/evm.utg25862.7/evm.utg34597.7/evm.utg34597.10/evm.utg44416.1,95,molecular_functions,salinity_added
GO:0002244,cytosolic ribosome assembly ,hematopoietic progenitor cell differentiation,0.019230769,0.000242533,0.012545073,0.040771488,0.017827209,evm.utg2129.169,1,biological_processes,interactive
GO:0006425,glutaminyl-tRNA aminoacylation ,glutaminyl-tRNA aminoacylation,0.019230769,0.000103943,0.005395485,0.031146386,0.013618663,evm.utg6851.26,1,biological_processes,interactive
GO:0006597,spermine biosynthetic process ,spermine biosynthetic process,0.019230769,0.000242533,0.012545073,0.040771488,0.017827209,evm.utg126.133,1,biological_processes,interactive
GO:0006679,glucosylceramide biosynthetic process ,glucosylceramide biosynthetic process,0.019230769,0.000138591,0.007187627,0.031146386,0.013618663,evm.utg24533.25,1,biological_processes,interactive
GO:0006970,box H/ACA RNA metabolic process ,response to osmotic stress,0.019230769,0.000138591,0.007187627,0.031146386,0.013618663,evm.utg280.47,1,biological_processes,interactive
GO:0006979,response to oxidative stress ,response to oxidative stress,0.333333333,0.003395468,0.010152206,0.01522831,NA,evm.utg729.38,1,biological_processes,diesel_only
GO:0007023,post-chaperonin tubulin folding pathway ,post-chaperonin tubulin folding pathway,0.019230769,0.000138591,0.007187627,0.031146386,0.013618663,evm.utg10321.15,1,biological_processes,interactive
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules ,homophilic cell-cell adhesion,0.333333333,0.00717206,0.021362969,0.021362969,NA,evm.utg376.57,1,biological_processes,diesel_only
GO:0008080,N-acetyltransferase activity ,N-acetyltransferase activity,0.002201761,0.000521422,6.83E-06,0.004007915,0.003819971,evm.utg245.25/evm.utg300.18/evm.utg300.19/evm.utg300.20/evm.utg415.137/evm.utg1919.66/evm.utg2246.60/evm.utg8778.4/evm.utg25321.17/evm.utg25321.19/evm.utg25321.20,11,molecular_functions,salinity_added
GO:0008298,intracellular mRNA localization ,intracellular mRNA localization,0.019230769,0.000173238,0.008976603,0.034322304,0.015007323,evm.utg12655.32,1,biological_processes,interactive
GO:0010756,positive regulation of plasminogen activation ,positive regulation of plasminogen activation,0.019230769,0.000207886,0.010762416,0.03886428,0.016993288,evm.utg4898.16,1,biological_processes,interactive
GO:0015252,potassium channel activity ,proton channel activity,0.002145923,0.000434518,1.44E-05,0.007957798,0.007394698,evm.utg432.26/evm.utg432.27/evm.utg432.28/evm.utg432.29/evm.utg4082.49/evm.utg4290.26/evm.utg4290.29/evm.utg9401.4/evm.utg20090.4,9,molecular_functions,salinity_only
GO:0016071,intracellular mRNA localization ,mRNA metabolic process,0.019230769,3.46E-05,0.001801677,0.031146386,0.013618663,evm.utg12655.32,1,biological_processes,interactive
GO:0016829,lyase activity ,lyase activity,0.007405925,0.004026535,0.000130439,0.038283887,0.036488632,evm.utg13.33/evm.utg55.72/utg109.equina_smart_1397898.mrna1/evm.utg109.107/evm.utg129.38/evm.utg203.5/evm.utg216.6/evm.utg219.19/evm.utg293.36/evm.utg320.132/evm.utg320.133/evm.utg356.22/evm.utg411.56/evm.utg411.58/evm.utg479.140/evm.utg498.194/evm.utg693.34/evm.utg788.17/evm.utg910.120/evm.utg977.33/evm.utg1056.126/evm.utg1345.33.36/evm.utg1355.9/evm.utg1455.15/evm.utg1455.16/evm.utg1455.17/evm.utg2353.13/evm.utg2801.60/evm.utg3753.10/evm.utg7840.5/evm.utg8494.67/evm.utg12197.24/evm.utg15156.6/evm.utg20635.1/evm.utg20635.2/evm.utg23429.2/evm.utg23429.3,37,molecular_functions,salinity_added
GO:0030414,peptidase inhibitor activity ,peptidase inhibitor activity,0.007868383,0.003070595,1.91E-07,0.000211476,0.000196512,evm.utg8.10/evm.utg52.99/evm.utg55.212/evm.utg104.63/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg379.46/evm.utg413.23/evm.utg413.26/evm.utg544.11/evm.utg544.14/evm.utg544.16/evm.utg580.6/evm.utg580.26/evm.utg738.8/evm.utg912.49/evm.utg1609.5/evm.utg1800.5/evm.utg1819.3/evm.utg2108.7/evm.utg2858.29/evm.utg5073.2/evm.utg8615.4/evm.utg9740.7/evm.utg10358.5/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20736.15/evm.utg21078.2/evm.utg32458.10/evm.utg37512.1,33,molecular_functions,salinity_only
GO:0030414,peptidase inhibitor activity ,peptidase inhibitor activity,0.006805444,0.003070595,3.43E-06,0.004007915,0.003819971,evm.utg8.10/evm.utg52.99/evm.utg55.212/evm.utg104.63/evm.utg104.64/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg413.23/evm.utg413.26/evm.utg470.31/evm.utg532.10/evm.utg544.11/utg544.equina_smart_1559235utrorf.mrna1/evm.utg544.14/evm.utg544.16/utg544.equina_smart_1005728.mrna1/evm.utg580.6/evm.utg580.26/evm.utg912.49/evm.utg1290.2/evm.utg1290.3/evm.utg1609.5/evm.utg2108.7/evm.utg2417.38/evm.utg5073.2/evm.utg6958.30.31/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20618.10/evm.utg20736.15/evm.utg37512.1/evm.utg54553.6,34,molecular_functions,salinity_added
GO:0030414,peptidase inhibitor activity ,peptidase inhibitor activity,0.007202881,0.003070595,3.84E-07,0.000474072,0.000450535,evm.utg8.10/evm.utg52.99/evm.utg55.212/evm.utg104.63/evm.utg104.64/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg379.46/evm.utg413.23/evm.utg413.26/evm.utg544.11/utg544.equina_smart_1559235utrorf.mrna1/evm.utg544.14/evm.utg544.16/utg544.equina_smart_1005728.mrna1/evm.utg580.6/evm.utg580.26/evm.utg912.49/evm.utg1290.2/evm.utg1609.5/evm.utg2108.7/evm.utg2417.38/evm.utg2858.29/evm.utg4049.2/evm.utg5073.2/evm.utg8615.4/evm.utg9740.7/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20736.15/evm.utg21078.2/evm.utg24357.20/evm.utg32458.10/evm.utg37512.1,36,molecular_functions,combined
GO:0030717,chromosome condensation ,oocyte karyosome formation,0.333333333,3.46E-05,0.000103943,0.000311829,NA,evm.utg729.38,1,biological_processes,diesel_only
GO:0030717,chromosome condensation ,oocyte karyosome formation,0.019230769,3.46E-05,0.001801677,0.031146386,0.013618663,evm.utg729.38,1,biological_processes,interactive
GO:0031106,actomyosin contractile ring assembly ,septin ring organization,0.019230769,6.93E-05,0.00360017,0.031146386,0.013618663,evm.utg4172.37,1,biological_processes,interactive
GO:0031177,oxidoreductase activity ,phosphopantetheine binding,0.001401121,0.000260711,3.64E-05,0.014247808,0.013579682,evm.utg234.88/evm.utg364.22/evm.utg1243.2/evm.utg1754.18/evm.utg1754.22/evm.utg1754.23/evm.utg4709.6,7,molecular_functions,salinity_added
GO:0032392,DNA geometric change ,DNA geometric change,0.00660793,0.000692953,2.53E-05,0.008595942,0.007689107,evm.utg594.45/evm.utg594.46/evm.utg2969.2/evm.utg2969.3/evm.utg2969.4/evm.utg11411.7,6,biological_processes,diesel_added
GO:0032873,brain development ,negative regulation of stress-activated MAPK cascade,0.019230769,0.000103943,0.005395485,0.031146386,0.013618663,evm.utg6851.26,1,biological_processes,interactive
GO:0033572,amyloid-beta clearance by transcytosis ,transferrin transport,0.019230769,0.000277181,0.014324579,0.044337984,0.019386649,evm.utg203.11,1,biological_processes,interactive
GO:0034244,negative regulation of transcription elongation by RNA polymerase II ,negative regulation of transcription elongation by RNA polymerase II,0.019230769,0.000346476,0.017874162,0.04647282,0.0203201,evm.utg7066.9,1,biological_processes,interactive
GO:0034755,iron ion transmembrane transport ,iron ion transmembrane transport,0.038461538,0.000381124,0.000173294,0.011264108,0.004925197,evm.utg203.11/evm.utg4898.16,2,biological_processes,interactive
GO:0042803,protein homodimerization activity ,protein homodimerization activity,0.333333333,0.008053069,0.023965863,0.023965863,NA,evm.utg729.38,1,molecular_functions,diesel_only
GO:0043149,cell migration ,stress fiber assembly,0.019230769,0.000346476,0.017874162,0.04647282,0.0203201,evm.utg194.6,1,biological_processes,interactive
GO:0045444,fat cell differentiation ,fat cell differentiation,0.019230769,0.000173238,0.008976603,0.034322304,0.015007323,evm.utg217.27,1,biological_processes,interactive
GO:0046479,glycosphingolipid catabolic process ,glycosphingolipid catabolic process,0.019230769,0.000138591,0.007187627,0.031146386,0.013618663,evm.utg24533.25,1,biological_processes,interactive
GO:0060712,apoptotic process ,spongiotrophoblast layer development,0.019230769,0.000103943,0.005395485,0.031146386,0.013618663,evm.utg194.33,1,biological_processes,interactive
GO:0061136,positive regulation of endopeptidase activity ,regulation of proteasomal protein catabolic process,0.019230769,0.000311829,0.016100941,0.04647282,0.0203201,evm.utg1663.42,1,biological_processes,interactive
GO:0070207,cell surface receptor signaling pathway ,protein homotrimerization,0.019230769,0.000103943,0.005395485,0.031146386,0.013618663,evm.utg203.11,1,biological_processes,interactive
GO:0071539,cilium assembly ,protein localization to centrosome,0.00660793,0.000519715,3.74E-06,0.002540683,0.002272652,evm.utg338.46/evm.utg338.47/evm.utg762.24/evm.utg1846.92/evm.utg4172.3/evm.utg9769.13,6,biological_processes,diesel_added
GO:0110102,chloroplast rRNA processing ,ribulose bisphosphate carboxylase complex assembly,0.019230769,6.93E-05,0.00360017,0.031146386,0.013618663,evm.utg1290.22,1,biological_processes,interactive
GO:2000779,DNA damage checkpoint signaling ,regulation of double-strand break repair,0.019230769,0.000138591,0.007187627,0.031146386,0.013618663,evm.utg1230.6,1,biological_processes,interactive
GO:2001237,apoptotic process ,negative regulation of extrinsic apoptotic signaling pathway,0.019230769,0.000103943,0.005395485,0.031146386,0.013618663,evm.utg1663.42,1,biological_processes,interactive
