"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO","contrast"
"GO:0006412...1","GO:0006412","translation",197,-0.447796211066765,-1.82524324679033,2.48143061476485e-05,0.0106701516434888,0.00916823311349959,14335,"tags=66%, list=34%, signal=44%","evm.utg1962.9/evm.utg5885.98/evm.utg301.16/utg86.equina_smart_1445806.mrna2/evm.utg16027.9/evm.utg6072.8/evm.utg381.21/evm.utg2929.10/evm.utg1910.34/evm.utg55.156/evm.utg597.5/evm.utg924.59/evm.utg420.100/evm.utg15585.12/evm.utg577.29/evm.utg3790.42/evm.utg479.145/evm.utg56.53/evm.utg1507.3/evm.utg1396.4/evm.utg2814.18/evm.utg415.116/evm.utg4.45/evm.utg498.93/evm.utg910.151/evm.utg577.105/evm.utg1910.32/evm.utg1226.13/evm.utg544.4/evm.utg126.157/evm.utg791.9/evm.utg1931.13/evm.utg334.75/evm.utg411.52/evm.utg236.39/evm.utg536.17/evm.utg9313.24/evm.utg77.8/evm.utg868.49/evm.utg590.13/evm.utg1109.26/evm.utg2007.14/evm.utg699.4/evm.utg343339.2/evm.utg729.46/evm.utg7217.40/evm.utg597.212/evm.utg301.138/evm.utg798.17/evm.utg18633.16/evm.utg1588.14/evm.utg77.113/evm.utg2757.29/evm.utg4194.6/evm.utg378.108/evm.utg129.21/evm.utg1925.24/evm.utg532.13/evm.utg496.27/evm.utg1648.24/evm.utg92.66/evm.utg3799.21/evm.utg1931.75/evm.utg6949.10/evm.utg3553.8/evm.utg207.63/evm.utg1109.3/evm.utg320.85/evm.utg7145.43/evm.utg344.47/evm.utg1372.18/evm.utg107.57/evm.utg498.48/evm.utg18553.14/evm.utg498.143/evm.utg150.93/evm.utg498.129/evm.utg890.45/evm.utg498.88/evm.utg579.70/evm.utg483.56/evm.utg3092.46/evm.utg8494.117/evm.utg479.58/evm.utg1800.6/evm.utg505.41/evm.utg379.48/evm.utg234.64/evm.utg1517.5/evm.utg590.14/evm.utg219.71/evm.utg3677.28/evm.utg18294.33/evm.utg207.20/evm.utg37634.4/evm.utg577.30/evm.utg14287.6/evm.utg7145.61/evm.utg3878.28/evm.utg868.5/evm.utg4716.3/evm.utg55.88/evm.utg1226.19/evm.utg2129.121/evm.utg1565.85/evm.utg125.18/evm.utg378.133/evm.utg4464.16/utg2581.equina_smart_1098872.mrna2/evm.utg7217.55/evm.utg7522.33/evm.utg2108.6/evm.utg378.170/evm.utg17809.12/evm.utg62.20/evm.utg180.72/evm.utg18409.1/evm.utg693.66/evm.utg2298.39/evm.utg4187.32/evm.utg1507.31/evm.utg15585.14/evm.utg797.57/evm.utg5176.12/evm.utg243.70/evm.utg52.55/evm.utg797.58/evm.utg378.169/evm.utg14.81/evm.utg378.167/evm.utg378.168","biological_processes","salinity_only"
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",15,-0.782222678855192,-1.97277362720079,0.000177068482612105,0.0380697237616025,0.0327110723141309,5770,"tags=73%, list=14%, signal=63%","evm.utg7652.38/evm.utg356.13/evm.utg3878.12/evm.utg234.61/evm.utg14.77/evm.utg6183.29/evm.utg7652.39/evm.utg77.61/evm.utg77.64/evm.utg6183.30/evm.utg910.169","biological_processes","salinity_only"
"GO:0090729...3","GO:0090729","toxin activity",340,-0.480750195728558,-2.08072150333237,7.90059608941213e-10,2.65460028604247e-07,2.2121669050354e-07,6687,"tags=29%, list=16%, signal=25%","evm.utg6373.9/evm.utg4455.2/evm.utg590.7/evm.utg11415.27/utg2156.equina_smart_1400709.mrna2/evm.utg9285.28/evm.utg115.11/evm.utg190.77/evm.utg2083.47/utg1846.equina_smart_916736.mrna1/evm.utg1846.69/evm.utg1031.51/evm.utg376.34/evm.utg1910.12/utg2667.equina_smart_398419.mrna2/evm.utg4605.41/evm.utg699.90/utg2156.equina_smart_1442310.mrna1/utg144.equina_smart_1238220.mrna1/evm.utg1970.8/evm.utg579.59/evm.utg126.83/utg245.equina_smart_826176.mrna1/evm.utg470.62/evm.utg125.190/evm.utg7048.5/evm.utg1781.40/utg2156.equina_smart_428150.mrna1/evm.utg435.3/evm.utg150.55/evm.utg1302.15/utg9284.equina_smart_1466336.mrna1/utg2156.equina_smart_1726560.mrna2/evm.utg7048.7/evm.utg300.70/utg1846.equina_smart_1438253.mrna1/evm.utg293.23/evm.utg11123.1/evm.utg104.55/evm.utg2994.23/utg19074.equina_smart_1473917.mrna1/evm.utg4177.22/evm.utg1629.2/evm.utg1290.46/utg144.equina_smart_1389976.mrna1/evm.utg2932.7/evm.utg23510.8/evm.utg279.40/evm.utg104.57/utg55.equina_smart_1394036.mrna1/evm.utg1919.9/utg2156.equina_smart_270287.mrna1/evm.utg910.42/evm.utg262.71/utg9284.equina_smart_1466335.mrna1/evm.utg276.4/evm.utg467.21.22.23/evm.utg1846.68/utg6781.equina_smart_1461350.mrna1/utg6781.equina_smart_1389976.mrna2/evm.utg2757.78/utg52.equina_smart_1128767.mrna1/evm.utg101.176/evm.utg2115.17/evm.utg338.4/evm.utg1828.28/evm.utg1629.18/evm.utg1031.52/utg4062.equina_smart_1466336.mrna2/evm.utg1272.125/evm.utg1629.17/evm.utg4605.4/evm.utg420.49/evm.utg104.53/evm.utg2932.9/evm.utg910.22/evm.utg579.116/evm.utg1694.43/evm.utg977.7/evm.utg2247.30/evm.utg735.57/evm.utg1900.52/utg2156.equina_smart_934493.mrna1/evm.utg27988.8/evm.utg1278.52/evm.utg7066.3/evm.utg2757.6/evm.utg34597.12/evm.utg1623.26/evm.utg4177.21/evm.utg347.11/evm.utg5652.14/evm.utg3899.24/evm.utg1278.50/evm.utg567.16/evm.utg2007.2/evm.utg3790.30/evm.utg4796.27/evm.utg4177.23/evm.utg7066.5","molecular_functions","salinity_only"
"GO:0030414...4","GO:0030414","peptidase inhibitor activity",78,-0.673306331778649,-2.4143809700275,6.35327505227547e-08,5.55885582792372e-06,4.6323798566031e-06,3452,"tags=41%, list=8%, signal=38%","evm.utg1800.5/evm.utg1609.6/evm.utg1819.3/utg1609.evm.utg3137.1.mrna2/evm.utg104.64/evm.utg37512.1/evm.utg580.26/evm.utg616.127/evm.utg379.46/evm.utg32458.10/evm.utg8.10/evm.utg544.14/evm.utg8615.4/evm.utg334.78/evm.utg1609.5/evm.utg5073.2/evm.utg413.26/evm.utg580.6/evm.utg2858.29/evm.utg5689.7/evm.utg616.126/evm.utg9740.7/utg334.equina_smart_1340223.mrna2/utg19074.equina_smart_1694011.mrna2/evm.utg5689.8/evm.utg413.23/evm.utg19074.8/evm.utg544.11/evm.utg20736.15/evm.utg14703.2/evm.utg104.63/evm.utg52.99","molecular_functions","salinity_only"
"GO:0003735...5","GO:0003735","structural constituent of ribosome",212,-0.491421494747217,-2.02334476130178,6.617685509433e-08,5.55885582792372e-06,4.6323798566031e-06,14335,"tags=67%, list=34%, signal=44%","evm.utg1962.9/evm.utg5885.98/evm.utg301.16/utg86.equina_smart_1445806.mrna2/evm.utg16027.9/evm.utg6072.8/evm.utg381.21/evm.utg1565.17/evm.utg2929.10/evm.utg1910.34/evm.utg55.156/evm.utg597.5/evm.utg420.100/evm.utg15585.12/evm.utg577.29/evm.utg3790.42/evm.utg479.145/evm.utg56.53/evm.utg1507.3/evm.utg1396.4/evm.utg2814.18/evm.utg415.116/evm.utg4.45/evm.utg798.61/evm.utg498.93/evm.utg910.151/evm.utg577.105/evm.utg1910.32/evm.utg1226.13/evm.utg544.4/evm.utg126.157/evm.utg791.9/evm.utg1931.13/evm.utg334.75/evm.utg411.52/evm.utg236.39/evm.utg536.17/evm.utg4327.2/evm.utg9313.24/evm.utg77.8/evm.utg868.49/evm.utg590.13/evm.utg1109.26/evm.utg2007.14/evm.utg4886.30/evm.utg699.4/evm.utg343339.2/evm.utg1866.29/evm.utg729.46/evm.utg7217.40/evm.utg597.212/evm.utg301.138/evm.utg798.17/evm.utg1588.14/evm.utg77.113/evm.utg2108.11/evm.utg4610.29/evm.utg2757.29/evm.utg4194.6/evm.utg378.108/evm.utg236.43/evm.utg129.21/evm.utg1925.24/evm.utg532.13/evm.utg496.27/evm.utg1648.24/evm.utg92.66/evm.utg3799.21/evm.utg1931.75/evm.utg6949.10/evm.utg73.14/evm.utg3553.8/evm.utg207.63/evm.utg1109.3/evm.utg320.85/evm.utg7145.43/evm.utg6078.32/evm.utg344.47/evm.utg1372.18/evm.utg107.57/evm.utg498.48/evm.utg18553.14/evm.utg498.143/evm.utg150.93/evm.utg150.50/evm.utg498.129/evm.utg890.45/evm.utg579.70/evm.utg10358.1/evm.utg483.56/evm.utg3092.46/evm.utg8494.117/evm.utg479.58/evm.utg1800.6/evm.utg505.41/evm.utg379.48/evm.utg234.64/evm.utg1517.5/evm.utg590.14/evm.utg219.71/evm.utg3677.28/evm.utg18294.33/evm.utg207.20/evm.utg535.38/evm.utg37634.4/evm.utg577.30/evm.utg14287.6/evm.utg7145.61/evm.utg3878.28/evm.utg868.5/evm.utg4716.3/evm.utg55.88/evm.utg1226.19/evm.utg2129.121/evm.utg1565.85/evm.utg125.18/evm.utg378.133/evm.utg4464.16/utg2581.equina_smart_1098872.mrna2/evm.utg18.9/evm.utg7522.33/evm.utg2108.6/evm.utg378.170/evm.utg5652.50/evm.utg17809.12/evm.utg62.20/evm.utg180.72/evm.utg18409.1/evm.utg693.66/evm.utg17994.10/evm.utg2298.39/evm.utg4187.32/evm.utg1507.31/evm.utg15585.14/evm.utg797.57/evm.utg5176.12/evm.utg243.70/evm.utg797.58/evm.utg378.169/evm.utg14.81/evm.utg378.167/evm.utg378.168","molecular_functions","salinity_only"
"GO:0016491...6","GO:0016491","oxidoreductase activity",319,-0.44671182191562,-1.9198713630378,6.46314379454376e-08,5.55885582792372e-06,4.6323798566031e-06,5698,"tags=28%, list=14%, signal=24%","evm.utg21766.9/evm.utg709.8/evm.utg1031.57/evm.utg4271.25/evm.utg1708.29/evm.utg801.94/evm.utg1507.10/evm.utg1022.33/evm.utg788.37/evm.utg2426.24/evm.utg2123.9/evm.utg356.157/evm.utg194.23/evm.utg160.25/evm.utg4709.22/evm.utg27.96/evm.utg3499.5/evm.utg97204.6/evm.utg116.78/evm.utg78.33/evm.utg2115.18/evm.utg1031.56/evm.utg38114.16/evm.utg1972.1/evm.utg14876.8/evm.utg467.6/evm.utg5513.4/evm.utg1781.18/evm.utg172.138/evm.utg3550.6/evm.utg298.12/evm.utg6806.23/evm.utg2007.16/evm.utg4326.30/evm.utg3753.16/evm.utg1005.73/evm.utg470.94/evm.utg790.58/evm.utg7680.15/evm.utg4907.69/evm.utg194.22/utg7950.equina_smart_1791395.mrna2/evm.utg324.214/evm.utg298.11/evm.utg411.144/evm.utg413.52/evm.utg301.18/evm.utg844.8/evm.utg116.1/evm.utg239.19/evm.utg4155.26/evm.utg1355.25/evm.utg3550.12/evm.utg7931.8/evm.utg438.23/evm.utg348.6/evm.utg7931.6/evm.utg4.53/evm.utg2674.7/evm.utg1221.19/evm.utg532.16/evm.utg116.119/evm.utg5578.4/evm.utg7931.7/evm.utg101.99/evm.utg4709.19/evm.utg2417.41/evm.utg307.15/evm.utg729.130/evm.utg116.121/evm.utg324.97/evm.utg4155.27/evm.utg6958.34/evm.utg20618.1/evm.utg3019.11/evm.utg3201.13/evm.utg992.14/utg700.equina_smart_1421475.mrna1/evm.utg597.25/evm.utg1455.33/evm.utg3019.12/evm.utg9668.2/evm.utg3499.4/utg700.equina_smart_1421472.mrna1/evm.utg3499.10/evm.utg9668.1/evm.utg3499.7/evm.utg3499.9/evm.utg1455.34","molecular_functions","salinity_only"
"GO:0005201...7","GO:0005201","extracellular matrix structural constituent",120,-0.54953231665372,-2.09461771232897,5.28584968685182e-06,0.000323384283104615,0.000269486902587179,5635,"tags=26%, list=13%, signal=22%","evm.utg209609.2/evm.utg3443.47/evm.utg18537.3/evm.utg378.56/utg544.equina_smart_1559235utrorf.mrna1/evm.utg714.2/evm.utg1623.40/evm.utg130819.1/evm.utg378.57/evm.utg1052.34/evm.utg4907.54/evm.utg1497.2/utg154100.equina_smart_991908.mrna2/evm.utg5885.76/evm.utg1052.36/evm.utg1056.71/evm.utg9740.7/evm.utg5421.1/utg19074.equina_smart_1694011.mrna2/evm.utg1497.1/evm.utg145.64/evm.utg19074.8/evm.utg816.13/evm.utg714.23/evm.utg544.16/evm.utg616.15/evm.utg1056.72/evm.utg544.11/evm.utg4826.1/evm.utg55.212/evm.utg207.13","molecular_functions","salinity_only"
"GO:0004222","GO:0004222","metalloendopeptidase activity",362,-0.402394232714008,-1.74746323730533,5.77471934115384e-06,0.000323384283104615,0.000269486902587179,6152,"tags=24%, list=15%, signal=20%","evm.utg381.28/evm.utg411.6/evm.utg1686.16/evm.utg401.45/evm.utg2858.13/evm.utg2757.5/evm.utg1475.3/evm.utg8768.2/evm.utg23189.14/evm.utg320.42/evm.utg47.15/evm.utg1846.69/evm.utg625.41/evm.utg4605.41/evm.utg2487.29/evm.utg1278.76/evm.utg625.100/evm.utg1919.6/evm.utg5950.16/evm.utg1127.26/evm.utg625.46/evm.utg54.26/evm.utg320.36/evm.utg3211.8/evm.utg101.108/utg77.evm.utg5026.19.mrna2/evm.utg18633.20/evm.utg1972.44/evm.utg29.6/evm.utg300.70/evm.utg710.26/utg1846.equina_smart_1438253.mrna1/evm.utg293.23/evm.utg625.42/evm.utg579.114/evm.utg1629.3/evm.utg2757.3/evm.utg3677.8/evm.utg1290.46/evm.utg381.25/evm.utg4341.5/evm.utg411.34/evm.utg5975.20/evm.utg13730.2/evm.utg1345.59/evm.utg52.105/evm.utg2115.24/utg817.equina_smart_898487.mrna1/evm.utg912.43/evm.utg381.27/evm.utg3761.1/evm.utg99249.6/evm.utg1345.58/evm.utg279.38/evm.utg467.21.22.23/evm.utg625.44/evm.utg1910.98/evm.utg2814.19/evm.utg4907.38/evm.utg1897.101/evm.utg1846.68/utg912.equina_smart_1426690.mrna1/evm.utg7048.2/evm.utg625.43/evm.utg625.118/evm.utg912.9/evm.utg420.49/evm.utg320.34/evm.utg152.29/evm.utg977.7/evm.utg4207.24/evm.utg2487.20/evm.utg3753.34/evm.utg4351.4/evm.utg710.27/evm.utg381.30/evm.utg379.96/evm.utg145.77/evm.utg34597.12/evm.utg498.89/evm.utg977.8/evm.utg3790.30/evm.utg4796.27/evm.utg77.162/evm.utg2371.38/evm.utg2371.37","molecular_functions","salinity_only"
"GO:0000977...9","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",19,-0.800787850758757,-2.16148062851182,1.74485304984267e-05,0.000732838280933922,0.000610698567444935,6151,"tags=74%, list=15%, signal=63%","evm.utg710.11/evm.utg4271.23/evm.utg564.25/evm.utg11415.47/evm.utg2099.80/evm.utg1497.11/evm.utg109.42/evm.utg209.38/evm.utg4455.13/evm.utg4605.34/evm.utg62.142/evm.utg2417.4/evm.utg470.38/evm.utg7179.18","molecular_functions","salinity_only"
"GO:0004252...10","GO:0004252","serine-type endopeptidase activity",266,-0.42664585044593,-1.80390127645335,1.70743588956904e-05,0.000732838280933922,0.000610698567444935,9061,"tags=33%, list=22%, signal=26%","evm.utg145.21/evm.utg14412.1/evm.utg52.25/evm.utg2483.60/evm.utg15164.49/evm.utg11123.2/evm.utg42547.3/evm.utg1302.12/evm.utg12382.25/evm.utg3761.28/evm.utg616.128/evm.utg4856.11/evm.utg18537.7/evm.utg4157.6/evm.utg2779.10/evm.utg2083.34/evm.utg699.53/evm.utg1270.11/evm.utg5689.4/evm.utg86.55/evm.utg262.35/evm.utg1372.9/evm.utg2083.28/evm.utg2483.41/evm.utg699.52/evm.utg479.78/evm.utg293.38/evm.utg213.2/evm.utg338.40/evm.utg2155.5/evm.utg625.112/evm.utg52.48/evm.utg5689.12/evm.utg5689.2/evm.utg868.84/evm.utg78.73/evm.utg376.34/evm.utg8494.84/evm.utg1754.56/evm.utg868.83/evm.utg699.90/evm.utg2704.29/evm.utg868.85/evm.utg858.25/evm.utg600.6/evm.utg125.190/evm.utg192.82/evm.utg5370.2/evm.utg150.55/evm.utg234.133/evm.utg5370.3/evm.utg234.138/evm.utg1629.2/evm.utg1754.57/utg234.evm.utg234.133.mrna2/evm.utg729.124/evm.utg1285.84/evm.utg2932.7/evm.utg1565.90/evm.utg1754.60/evm.utg5033.10/evm.utg729.128/evm.utg2704.30/evm.utg1754.58/evm.utg2716.16/evm.utg616.127/evm.utg2159.33/evm.utg1629.15/evm.utg2115.17/evm.utg1629.18/evm.utg1629.17/evm.utg2716.17/evm.utg594.23/evm.utg4605.4/evm.utg2932.9/evm.utg579.116/evm.utg5689.7/evm.utg2716.9/evm.utg4271.42/evm.utg666.12/evm.utg116.256/evm.utg666.10/evm.utg616.126/evm.utg4613.98/evm.utg26572.6/evm.utg129.41/evm.utg13322.6/evm.utg5689.8","molecular_functions","salinity_only"
