"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0071705","nitrogen compound transport",0.5,0.0714285714285714,1,7,2.44948974278318,0.142857142857143,0.285714285714286,0.285714285714286,"evm.utg2353.42",1,"evm.utg2353.42","exp2__downstream_region__evm.utg2353.42__3818","downstream_region","CpG",-0.759013283,0.022132257,1,1,"Biological Processes","downstream_region","Primed Experiment","1/2","1/14"
"GO:0015074","DNA integration",0.5,0.214285714285714,0.333333333333333,2.33333333333333,1.02494148638108,0.395604395604396,0.395604395604396,0.395604395604396,"evm.utg3839.77",1,"evm.utg3839.77","exp2__downstream_region__evm.utg3839.77__3916","downstream_region","CpG",-2.051282051,0.022132257,1,1,"Biological Processes","downstream_region","Primed Experiment","1/2","3/14"
"GO:0035368","selenocysteine insertion sequence binding",0.333333333333333,0.0833333333333333,1,4,2.50454132981017,0.0543478260869565,0.271739130434782,0.271739130434782,"evm.utg2661.19",2,"evm.utg2661.19/evm.utg2661.20","exp2__downstream_region__evm.utg2661.19__18642","downstream_region","CHH",0.900321543,0.09433267,2,4,"Molecular Functions","downstream_region","Primed Experiment","2/6","2/24"
"GO:0035368","selenocysteine insertion sequence binding",0.333333333333333,0.0833333333333333,1,4,2.50454132981017,0.0543478260869565,0.271739130434782,0.271739130434782,"evm.utg2661.19",2,"evm.utg2661.19/evm.utg2661.20","exp2__downstream_region__evm.utg2661.19__18644","downstream_region","CHH",0.954328562,0.09433267,2,4,"Molecular Functions","downstream_region","Primed Experiment","2/6","2/24"
"GO:0035368","selenocysteine insertion sequence binding",0.333333333333333,0.0833333333333333,1,4,2.50454132981017,0.0543478260869565,0.271739130434782,0.271739130434782,"evm.utg2661.20",2,"evm.utg2661.19/evm.utg2661.20","exp2__downstream_region__evm.utg2661.20__18643","downstream_region","CHH",0.900321543,0.09433267,2,4,"Molecular Functions","downstream_region","Primed Experiment","2/6","2/24"
"GO:0035368","selenocysteine insertion sequence binding",0.333333333333333,0.0833333333333333,1,4,2.50454132981017,0.0543478260869565,0.271739130434782,0.271739130434782,"evm.utg2661.20",2,"evm.utg2661.19/evm.utg2661.20","exp2__downstream_region__evm.utg2661.20__18645","downstream_region","CHH",0.954328562,0.09433267,2,4,"Molecular Functions","downstream_region","Primed Experiment","2/6","2/24"
"GO:0022857","transmembrane transporter activity",0.166666666666667,0.0416666666666667,1,4,1.73205080756888,0.25,0.625,0.625,"evm.utg2353.42",1,"evm.utg2353.42","exp2__downstream_region__evm.utg2353.42__3818","downstream_region","CpG",-0.759013283,0.022132257,1,1,"Molecular Functions","downstream_region","Primed Experiment","1/6","1/24"
"GO:0003677","DNA binding",0.166666666666667,0.125,0.333333333333333,1.33333333333333,0.348845412314856,0.596837944664032,0.712027103331451,0.712027103331451,"evm.utg1746.24",1,"evm.utg1746.24","exp2__downstream_region__evm.utg1746.24__18493","downstream_region","CHH",-0.145687646,0.098544452,1,1,"Molecular Functions","downstream_region","Primed Experiment","1/6","3/24"
"GO:0003676","nucleic acid binding",0.166666666666667,0.166666666666667,0.25,1,0,0.712027103331451,0.712027103331451,0.712027103331451,"evm.utg3839.77",1,"evm.utg3839.77","exp2__downstream_region__evm.utg3839.77__3916","downstream_region","CpG",-2.051282051,0.022132257,1,1,"Molecular Functions","downstream_region","Primed Experiment","1/6","4/24"
"GO:0046872","metal ion binding",0.166666666666667,0.166666666666667,0.25,1,0,0.712027103331451,0.712027103331451,0.712027103331451,"evm.utg169038.1",1,"evm.utg169038.1","exp2__downstream_region__evm.utg169038.1__10088","downstream_region","CHG",-1.533219761,0.017699158,1,1,"Molecular Functions","downstream_region","Primed Experiment","1/6","4/24"
