"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0007154","cell communication",0.714285714285714,0.00454119850187266,0.0515463917525773,157.290132547864,27.932845863056,3.62802211895167e-11,1.45120884758067e-10,3.81897065152807e-11,"evm.utg268.25.1.5c22edff",5,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0007154","cell communication",0.714285714285714,0.00454119850187266,0.0515463917525773,157.290132547864,27.932845863056,3.62802211895167e-11,1.45120884758067e-10,3.81897065152807e-11,"evm.utg268.25",5,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0007154","cell communication",0.714285714285714,0.00454119850187266,0.0515463917525773,157.290132547864,27.932845863056,3.62802211895167e-11,1.45120884758067e-10,3.81897065152807e-11,"evm.utg268.25.2.5c22edff",5,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0007154","cell communication",0.714285714285714,0.00454119850187266,0.0515463917525773,157.290132547864,27.932845863056,3.62802211895167e-11,1.45120884758067e-10,3.81897065152807e-11,"evm.utg268.25.3.5c22edff",5,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0007154","cell communication",0.714285714285714,0.00454119850187266,0.0515463917525773,157.290132547864,27.932845863056,3.62802211895167e-11,1.45120884758067e-10,3.81897065152807e-11,"evm.utg268.25.3.5c22edff.1.5c2792b6",5,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0070593","dendrite self-avoidance",0.142857142857143,0.000936329588014981,0.05,152.571428571429,12.2784956872996,0.00653684042004166,0.0130736808400833,0.00344044232633771,"utg4321.evm.utg13237.7.mrna4",1,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0007411","axon guidance",0.142857142857143,0.00650749063670412,0.00719424460431655,21.9527235354573,4.48719546358698,0.0446788742303588,0.0565911269975697,0.0148924018414657,"utg4321.evm.utg13237.7.mrna4",1,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.142857142857143,0.00828651685393259,0.00564971751412429,17.2397094430993,3.92808776473333,0.0565911269975697,0.0565911269975697,0.0148924018414657,"utg4321.evm.utg13237.7.mrna4",1,"CHH","Biological Processes","exon","Primed Experiment"
"GO:0098632","cell-cell adhesion mediator activity",0.2,0.000657544540814729,0.0476190476190476,304.161904761905,17.3897063309497,0.00328360726419796,0.00985082179259389,0.00345642869915575,"utg4321.evm.utg13237.7.mrna4",1,"CHH","Molecular Functions","exon","Primed Experiment"
"GO:0046983","protein dimerization activity",0.2,0.0100197263362244,0.003125,19.960625,4.2655939339031,0.0491077052806387,0.0588426995088619,0.0206465612311796,"evm.utg1724.20",1,"CHH","Molecular Functions","exon","Primed Experiment"
"GO:0003964","RNA-directed DNA polymerase activity",0.2,0.01205498324827,0.0025974025974026,16.5906493506494,3.85117562093971,0.0588426995088619,0.0588426995088619,0.0206465612311796,"evm.utg1143.29",1,"CHH","Molecular Functions","exon","Primed Experiment"
