"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0006397","mRNA processing",0.5,0.0245398773006135,0.25,20.375,4.3594601465375,0.0486253124289934,0.0908884344467162,0.0637813575064675,"evm.utg2661.21",1,"evm.utg2661.21","exp1__exon__evm.utg2661.21__7936","exon","CHG",-0.856327307,0.055779643,1,1,"Biological Processes","exon","Acute Experiment","1/2","4/163"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.5,0.0306748466257669,0.2,16.3,3.86106805544983,0.0605922896311442,0.0908884344467162,0.0637813575064675,"evm.utg363.1",1,"evm.utg363.1","exp1__exon__evm.utg363.1__8018","exon","CHG",-1.141552511,0.055779643,1,1,"Biological Processes","exon","Acute Experiment","1/2","5/163"
"GO:0006468","protein phosphorylation",0.5,0.0797546012269939,0.0769230769230769,6.26923076923077,2.20055806673319,0.153601454214951,0.153601454214951,0.107790494185931,"evm.utg2661.21",1,"evm.utg2661.21","exp1__exon__evm.utg2661.21__7936","exon","CHG",-0.856327307,0.055779643,1,1,"Biological Processes","exon","Acute Experiment","1/2","13/163"
"GO:0005044","scavenger receptor activity",0.5,0.0177777777777778,0.5,28.125,7.34787016226195,0.00141151721869211,0.00846910331215265,0.00742903799311636,"evm.utg9625.2",2,"evm.utg9625.2/evm.utg363.1","exp1__exon__evm.utg9625.2__3503","exon","CpG",-2.108963093,0.084442031,2,3,"Molecular Functions","exon","Acute Experiment","2/4","4/225"
"GO:0005044","scavenger receptor activity",0.5,0.0177777777777778,0.5,28.125,7.34787016226195,0.00141151721869211,0.00846910331215265,0.00742903799311636,"evm.utg9625.2",2,"evm.utg9625.2/evm.utg363.1","exp1__exon__evm.utg9625.2__8203","exon","CHG",-1.901140684,0.055779643,2,3,"Molecular Functions","exon","Acute Experiment","2/4","4/225"
"GO:0005044","scavenger receptor activity",0.5,0.0177777777777778,0.5,28.125,7.34787016226195,0.00141151721869211,0.00846910331215265,0.00742903799311636,"evm.utg363.1",2,"evm.utg9625.2/evm.utg363.1","exp1__exon__evm.utg363.1__8018","exon","CHG",-1.141552511,0.055779643,2,3,"Molecular Functions","exon","Acute Experiment","2/4","4/225"
"GO:0004540","RNA nuclease activity",0.25,0.0177777777777778,0.25,14.0625,3.53849046984504,0.0696910715969011,0.209073214790703,0.18339755683395,"evm.utg2661.21",1,"evm.utg2661.21","exp1__exon__evm.utg2661.21__7936","exon","CHG",-0.856327307,0.055779643,1,1,"Molecular Functions","exon","Acute Experiment","1/4","4/225"
"GO:0004672","protein kinase activity",0.25,0.0311111111111111,0.142857142857143,8.03571428571428,2.53855651276471,0.11951884620046,0.239037692400921,0.209682186316597,"evm.utg2661.21",1,"evm.utg2661.21","exp1__exon__evm.utg2661.21__7936","exon","CHG",-0.856327307,0.055779643,1,1,"Molecular Functions","exon","Acute Experiment","1/4","7/225"
"GO:0005509","calcium ion binding",0.25,0.0488888888888889,0.0909090909090909,5.11363636363636,1.87790328770323,0.182809481486612,0.274214222229917,0.240538791429752,"evm.utg363.1",1,"evm.utg363.1","exp1__exon__evm.utg363.1__8018","exon","CHG",-1.141552511,0.055779643,1,1,"Molecular Functions","exon","Acute Experiment","1/4","11/225"
"GO:0008270","zinc ion binding",0.25,0.0755555555555556,0.0588235294117647,3.30882352941176,1.32905024824323,0.271270437638151,0.325524525165781,0.28554782909279,"evm.utg3906.20",1,"evm.utg3906.20","exp1__exon__evm.utg3906.20__3322","exon","CpG",-2.631578947,0.001579901,1,2,"Molecular Functions","exon","Acute Experiment","1/4","17/225"
"GO:0008270","zinc ion binding",0.25,0.0755555555555556,0.0588235294117647,3.30882352941176,1.32905024824323,0.271270437638151,0.325524525165781,0.28554782909279,"evm.utg3906.20",1,"evm.utg3906.20","exp1__exon__evm.utg3906.20__8028","exon","CHG",-2.355072464,0.055779643,1,2,"Molecular Functions","exon","Acute Experiment","1/4","17/225"
"GO:0005524","ATP binding",0.25,0.115555555555556,0.0384615384615385,2.16346153846154,0.846778913717965,0.390249464711348,0.390249464711348,0.34232409185206,"evm.utg2661.21",1,"evm.utg2661.21","exp1__exon__evm.utg2661.21__7936","exon","CHG",-0.856327307,0.055779643,1,1,"Molecular Functions","exon","Acute Experiment","1/4","26/225"
