"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0006281","DNA repair",0.222222222222222,0.064638783269962,0.117647058823529,3.43790849673203,2.76412931085679,0.0233422457915191,0.0760456273764255,0.0440264158495095,"evm.utg29536.5",4,"evm.utg29536.5/evm.utg4428.2/utg101.equina_smart_1609707.mrna1/evm.utg28737.6","exp1__gene__evm.utg29536.5__4072","gene","CpG",-3.658536585,0.030262681,4,4,"Biological Processes","gene","Acute Experiment","4/18","34/526"
"GO:0006281","DNA repair",0.222222222222222,0.064638783269962,0.117647058823529,3.43790849673203,2.76412931085679,0.0233422457915191,0.0760456273764255,0.0440264158495095,"evm.utg4428.2",4,"evm.utg29536.5/evm.utg4428.2/utg101.equina_smart_1609707.mrna1/evm.utg28737.6","exp1__gene__evm.utg4428.2__4327","gene","CpG",4.08340657,0.093112178,4,4,"Biological Processes","gene","Acute Experiment","4/18","34/526"
"GO:0006281","DNA repair",0.222222222222222,0.064638783269962,0.117647058823529,3.43790849673203,2.76412931085679,0.0233422457915191,0.0760456273764255,0.0440264158495095,"utg101.equina_smart_1609707.mrna1",4,"evm.utg29536.5/evm.utg4428.2/utg101.equina_smart_1609707.mrna1/evm.utg28737.6","exp1__gene__utg101.equina_smart_1609707.mrna1__8225","gene","CHG",0.355111086,0.094705362,4,4,"Biological Processes","gene","Acute Experiment","4/18","34/526"
"GO:0006281","DNA repair",0.222222222222222,0.064638783269962,0.117647058823529,3.43790849673203,2.76412931085679,0.0233422457915191,0.0760456273764255,0.0440264158495095,"evm.utg28737.6",4,"evm.utg29536.5/evm.utg4428.2/utg101.equina_smart_1609707.mrna1/evm.utg28737.6","exp1__gene__evm.utg28737.6__8770","gene","CHG",-1.290322581,0.020971094,4,4,"Biological Processes","gene","Acute Experiment","4/18","34/526"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.0555555555555556,0.00190114068441065,1,29.2222222222222,5.31245915016974,0.0342205323193915,0.0760456273764255,0.0440264158495095,"evm.utg162.19",1,"evm.utg162.19","exp1__gene__evm.utg162.19__3759","gene","CpG",-0.840727496,0.022309193,1,1,"Biological Processes","gene","Acute Experiment","1/18","1/526"
"GO:0006635","fatty acid beta-oxidation",0.0555555555555556,0.00190114068441065,1,29.2222222222222,5.31245915016974,0.0342205323193915,0.0760456273764255,0.0440264158495095,"evm.utg11814.7",1,"evm.utg11814.7","exp1__gene__evm.utg11814.7__8293","gene","CHG",-2.763800327,0.078881824,1,1,"Biological Processes","gene","Acute Experiment","1/18","1/526"
"GO:0010571","positive regulation of nuclear cell cycle DNA replication",0.0555555555555556,0.00190114068441065,1,29.2222222222222,5.31245915016974,0.0342205323193915,0.0760456273764255,0.0440264158495095,"evm.utg40512.5",1,"evm.utg40512.5","exp1__gene__evm.utg40512.5__8931","gene","CHG",-0.444444444,0.053161946,1,1,"Biological Processes","gene","Acute Experiment","1/18","1/526"
"GO:0030705","cytoskeleton-dependent intracellular transport",0.0555555555555556,0.00190114068441065,1,29.2222222222222,5.31245915016974,0.0342205323193915,0.0760456273764255,0.0440264158495095,"evm.utg4428.8",1,"evm.utg4428.8","exp1__gene__evm.utg4428.8__9008","gene","CHG",2.283105023,0.078881824,1,2,"Biological Processes","gene","Acute Experiment","1/18","1/526"
"GO:0030705","cytoskeleton-dependent intracellular transport",0.0555555555555556,0.00190114068441065,1,29.2222222222222,5.31245915016974,0.0342205323193915,0.0760456273764255,0.0440264158495095,"evm.utg4428.8",1,"evm.utg4428.8","exp1__gene__evm.utg4428.8__15555","gene","CHH",1.353345571,0.089022737,1,2,"Biological Processes","gene","Acute Experiment","1/18","1/526"
"GO:0043631","RNA polyadenylation",0.0555555555555556,0.00190114068441065,1,29.2222222222222,5.31245915016974,0.0342205323193915,0.0760456273764255,0.0440264158495095,"evm.utg6459.27",1,"evm.utg6459.27","exp1__gene__evm.utg6459.27__15885","gene","CHH",-1.271571299,0.000841832,1,1,"Biological Processes","gene","Acute Experiment","1/18","1/526"
