"experiment","ontology","region","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","n_unique_genes","n_dmr_features","contributing_genes","methDiff_values","semantic_cluster_description","significance"
"Acute Experiment","Biological process","exon","GO:0006397","mRNA processing","1/2","4/163",0.0486253124289934,0.0908884344467162,0.0637813575064675,1,1,1,"evm.utg2661.21","-0.856327307","RNA metabolic process","."
"Acute Experiment","Biological process","exon","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","1/2","5/163",0.0605922896311442,0.0908884344467162,0.0637813575064675,1,1,1,"evm.utg363.1","-1.141552511","cell adhesion","."
"Acute Experiment","Biological process","exon","GO:0006468","protein phosphorylation","1/2","13/163",0.153601454214951,0.153601454214951,0.107790494185931,1,1,1,"evm.utg2661.21","-0.856327307","protein phosphorylation","ns"
"Acute Experiment","Biological process","gene","GO:0006281","DNA repair","4/18","34/526",0.0233422457915191,0.0760456273764255,0.0440264158495095,4,4,4,"evm.utg28737.6; evm.utg29536.5; evm.utg4428.2; utg101.equina_smart_1609707.mrna1","-3.658536585; 4.08340657; 0.355111086; -1.290322581","RNA metabolic process","."
"Acute Experiment","Biological process","gene","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,1,"evm.utg162.19","-0.840727496","RNA metabolic process","."
"Acute Experiment","Biological process","gene","GO:0006635","fatty acid beta-oxidation","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,1,"evm.utg11814.7","-2.763800327","fatty acid beta-oxidation","."
"Acute Experiment","Biological process","gene","GO:0010571","positive regulation of nuclear cell cycle DNA replication","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,1,"evm.utg40512.5","-0.444444444","positive regulation of nuclear cell cycle DNA replication","."
"Acute Experiment","Biological process","gene","GO:0030705","cytoskeleton-dependent intracellular transport","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,2,"evm.utg4428.8","2.283105023; 1.353345571","transmembrane transport","."
"Acute Experiment","Biological process","gene","GO:0043631","RNA polyadenylation","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,1,"evm.utg6459.27","-1.271571299","RNA metabolic process","."
"Acute Experiment","Biological process","gene","GO:0045087","innate immune response","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,1,"evm.utg1571.14","-0.954979536","innate immune response","."
"Acute Experiment","Biological process","gene","GO:0070507","regulation of microtubule cytoskeleton organization","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,2,"evm.utg4428.8","2.283105023; 1.353345571","regulation of microtubule cytoskeleton organization","."
"Acute Experiment","Biological process","gene","GO:1901987","regulation of cell cycle phase transition","1/18","1/526",0.0342205323193915,0.0760456273764255,0.0440264158495095,1,1,1,"evm.utg40512.5","-0.444444444","regulation of cell cycle phase transition","."
"Acute Experiment","Biological process","gene","GO:0006397","mRNA processing","2/18","11/526",0.0506936957341879,0.101387391468376,0.0586979634816913,2,2,2,"evm.utg1032.34; evm.utg2661.21","-0.856327307; 0.759296997","RNA metabolic process","ns"
"Acute Experiment","Biological process","gene","GO:0046416","D-amino acid metabolic process","1/18","2/526",0.0673329712112986,0.112221618685498,0.0649704108179197,1,1,1,"evm.utg35662.1","-1.724137931","proteolysis","ns"
"Acute Experiment","Biological process","gene","GO:0051607","defense response to virus","1/18","2/526",0.0673329712112986,0.112221618685498,0.0649704108179197,1,1,1,"evm.utg1571.14","-0.954979536","innate immune response","ns"
"Acute Experiment","Biological process","gene","GO:0001822","kidney development","1/18","3/526",0.0993711515895362,0.152878694753133,0.0885087180149716,1,1,1,"evm.utg512.80","-2.519379845","kidney development","ns"
