Group,Sample_ID,Assigned,Unmapped,NoFeatures,Ambiguity,Total,Alignment %
Control,5,55193827,24686410,17082123,1010201,97972561,56.34
Control,8,65431631,22134929,16447439,1432587,105446586,62.05
Control,12,60293674,22190235,18282977,1157144,101924030,59.16
Control,16,54290983,22091143,18911956,1068262,96362344,56.34
Control,22,55396104,22109581,18798638,1091000,97395323,56.88
Control,27,66366954,26140175,16465952,1273736,110246817,60.2
Control,34,52102541,28468284,14488942,991711,96051478,54.24
Control,36,69495272,24173766,20324215,1484229,115477482,60.18
Diesel,1,65077723,33579123,15807057,1491978,115955881,56.12
Diesel,4,72027253,25240806,18463347,1731850,117463256,61.32
Diesel,6,48062886,19679845,11898125,946233,80587089,59.64
Diesel,9,55494371,17534491,15901249,1055309,89985420,61.67
Diesel,10,61726022,23528629,18267554,1302961,104825166,58.88
Diesel,11,51950957,22961541,15604029,894558,91411085,56.83
Diesel,17,62419059,23560360,18283274,1450273,105712966,59.05
Diesel,50,58813855,20417598,19312280,1089484,99633217,59.03
Salinity,14,48143465,19266568,19438612,1044187,87892832,54.78
Salinity,18,50892674,25142867,17912449,984401,94932391,53.61
Salinity,21,52433797,24935790,18664331,991580,97025498,54.04
Salinity,23,56080539,29212969,20843471,1149984,107286963,52.27
Salinity,24,54417591,19519997,16352031,1195319,91484938,59.48
Salinity,25,57886153,19833471,16739160,1311086,95769870,60.44
Salinity,26,58099912,23074419,20621259,1321543,103117133,56.34
Salinity,28,64459333,19002240,21078508,1520239,106060320,60.78
Diesel + Salinity,2,69039764,14428317,17363512,1899658,102731251,67.2
Diesel + Salinity,7,61447588,21838929,16992419,1507705,101786641,60.37
Diesel + Salinity,13,50755093,28193471,18441575,1020405,98410544,51.57
Diesel + Salinity,15,58416883,20097918,15095082,1377256,94987139,61.5
Diesel + Salinity,19,55140295,19595908,15066395,1272301,91074899,60.54
Diesel + Salinity,20,45800937,27964128,16209965,1094125,91069155,50.29
Diesel + Salinity,30,64215099,18510357,19778980,1580816,104085252,61.69
Diesel + Salinity,31,57640263,32160316,19033473,1156544,109990596,52.4
