Sample,0 times,>1 times
19873567,24.13,4.79
20462174,28.44,4.94
22330867,28.65,5.05
23428877,28.41,5.02
24042366,23.28,5.63
24902300,28.45,4.58
24935607,29.18,4.71
26342887,28.98,4.78
26437625,27.98,4.87
27011430,28.09,5.12
27921402,24.63,4.61
28149546,27.77,4.73
28517010,30.14,4.8
28848272,22.96,5.03
29342122,28.56,4.64
29937515,29.18,4.59
30731639,28.76,4.85
31042058,28.16,4.61
41086402,28.19,4.56
41810530,30.44,5.06
44896814,26.19,5.21
47693813,28.25,5.15
47849965,26.98,5.4
50015624,26.26,5.68
50501733,30.52,5.4
50820457,27.74,5.0
50943109,27.03,4.78
55013113,28.58,5.21
