Label	Sample	Group	Clone
1_R	16 A5	A	Clone16
1_redo_R	16 A5	A	Clone16
15_R	15 A4	A	Clone15
22_R	9 A7	A	Clone9 
22_redo_R	9 A7	A	Clone9 
24_R	10 A2	A	Clone10
24_redo_R	10 A2	A	Clone10
27_R	2 A6	A	Clone2 
3_R	5 A1	A	Clone5 
5_R	11 A3	A	Clone11
10_R	6 B5	B	Clone6 
11_redo_R	12 B6	B	Clone12
11_R	12 B6	B	Clone12
12_R	17 B7	B	Clone14
18_R	20 B?	B	Clone20
18_redo_R	20 B?	B	Clone20
26_R	3 B4	B	Clone3 
6_R	19 B2	B	Clone19
7_R	8 B?	B	Clone8 
14_R	8 C5	C	Clone8 
19_R	3 C1	C	Clone3 
2_R	6 C2	C	Clone6 
2_redo_R	6 C2	C	Clone6 
20_R	19 C6	C	Clone19
21_R	12 C3	C	Clone12
23_R	14 C4	C	Clone14
8_R	20 C7	C	Clone20
13_R	9 X2	X	Clone9 
13_redo_R	9 X2	X	Clone9 
16_R	2 X1	X	Clone2 
17_R	5 X3	X	Clone5 
17_redo_R	5 X3	X	Clone5 
25_R	11 X4	X	Clone11
28_R	10 X6	X	Clone10
4_R	16 X7	X	Clone16
9_R	15 X6	X	Clone15
