"ID","Description","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster","n_hits","best_p_adjust","sources"
"GO:0016070","RNA metabolic process","BP","BP_1","GO:0016070","RNA metabolic process",9,0.734125567682576,1,0.0454111065291808,"Primed Experiment_ORA"
"GO:0006310","DNA recombination","BP","BP_1","GO:0016070","RNA metabolic process",9,0.681609934841595,6,6.93256331818311e-05,"Acute_GSEA;Primed_GSEA"
"GO:0015074","DNA integration","BP","BP_1","GO:0016070","RNA metabolic process",9,0.668692195122565,6,4.90097012670422e-05,"Acute_GSEA;Primed_GSEA"
"GO:0043631","RNA polyadenylation","BP","BP_1","GO:0016070","RNA metabolic process",9,0.662687501246019,1,0.0252306453266077,"Acute Experiment_ORA"
"GO:0006281","DNA repair","BP","BP_1","GO:0016070","RNA metabolic process",9,0.631366091364411,4,0.00189400542491463,"Acute_GSEA;Primed_GSEA"
"GO:0008380","RNA splicing","BP","BP_1","GO:0016070","RNA metabolic process",9,0.628108811427088,2,0.0735621929194676,"Acute Experiment_ORA"
"GO:0006397","mRNA processing","BP","BP_1","GO:0016070","RNA metabolic process",9,0.611456692555683,5,0.0259535884933384,"Acute Experiment_ORA;Acute_GSEA"
"GO:0000724","double-strand break repair via homologous recombination","BP","BP_1","GO:0016070","RNA metabolic process",9,0.556967066600454,1,0.0748009197910827,"Primed Experiment_ORA"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","BP_1","GO:0016070","RNA metabolic process",9,0.483274077491479,1,0.0435268750726157,"Acute Experiment_ORA"
"GO:0006659","phosphatidylserine biosynthetic process","BP","BP_10","GO:0006659","phosphatidylserine biosynthetic process",1,1,1,0.00280819975920432,"Primed Experiment_ORA"
"GO:0055085","transmembrane transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.592575962758518,1,0.0809922230708489,"Primed Experiment_ORA"
"GO:0071705","nitrogen compound transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.583130205738377,2,0.00159116410680793,"Primed Experiment_ORA"
"GO:0030705","cytoskeleton-dependent intracellular transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.569133148034833,2,0.0435268750726157,"Acute Experiment_ORA"
"GO:0006812","monoatomic cation transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.532251635770685,1,0.0353330656720758,"Primed Experiment_ORA"
"GO:0006886","intracellular protein transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.49586896840202,1,0.222952063871081,"Primed Experiment_ORA"
"GO:0007155","cell adhesion","BP","BP_12","GO:0007155","cell adhesion",3,0.785413042091751,1,0.125841161342185,"Primed Experiment_ORA"
"GO:0007160","cell-matrix adhesion","BP","BP_12","GO:0007155","cell adhesion",3,0.699745413123679,1,0.108827501844145,"Acute Experiment_ORA"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP","BP_12","GO:0007155","cell adhesion",3,0.673855502106646,3,0.0259535884933384,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0007165","signal transduction","BP","BP_13","GO:0007165","signal transduction",2,0.678415728034602,3,0.00605821886248682,"Acute_GSEA;Primed_GSEA"
"GO:1901987","regulation of cell cycle phase transition","BP","BP_13","GO:0007165","signal transduction",2,0.678415728034602,1,0.0252306453266077,"Acute Experiment_ORA"
"GO:0007411","axon guidance","BP","BP_14","GO:0007411","axon guidance",1,1,1,0.0565911269975697,"Primed Experiment_ORA"
"GO:0010571","positive regulation of nuclear cell cycle DNA replication","BP","BP_15","GO:0010571","positive regulation of nuclear cell cycle DNA replication",1,1,1,0.0252306453266077,"Acute Experiment_ORA"
"GO:0016310","phosphorylation","BP","BP_16","GO:0016310","phosphorylation",1,1,2,0.014279984077705,"Primed_GSEA"
"GO:0030154","cell differentiation","BP","BP_17","GO:0070593","dendrite self-avoidance",2,0.748310163501551,2,0.118379138777271,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0070593","dendrite self-avoidance","BP","BP_17","GO:0070593","dendrite self-avoidance",2,0.748310163501551,1,0.0130736808400833,"Primed Experiment_ORA"
"GO:0030198","extracellular matrix organization","BP","BP_18","GO:0030198","extracellular matrix organization",1,1,1,0.0809922230708489,"Primed Experiment_ORA"
"GO:0030433","ubiquitin-dependent ERAD pathway","BP","BP_19","GO:1904294","positive regulation of ERAD pathway",2,0.765087682369792,1,0.108827501844145,"Acute Experiment_ORA"
