sample	Experiment	Treatment	sample_id	Read Pairs	Total Reads	Mean Length	Total Bases	Coverage	Alignment (%)
Sample_3-3_D	Acute	Acute	3	21091239	42182478	151	6369554178	15.57126142	0.479
Sample_15-15_D	Acute	Acute	15	18791168	37582336	151	5674932736	13.87316266	0.439
Sample_22-22_D	Acute	Acute	22	15346964	30693928	151	4634783128	11.33037222	0.462
Sample_27-27_D	Acute	Acute	27	15061645	30123290	151	4548616790	11.11972662	0.451
Sample_9-9_D	Acute	Control	9	19965412	39930824	151	6029554424	14.74008472	0.451
Sample_13-13_D	Acute	Control	13	19750454	39500908	151	5964637108	14.58138531	0.455
Sample_16-16_D	Acute	Control	16	17028387	34056774	151	5142572874	12.57173491	0.44
Sample_17-17_D	Acute	Control	17	18404639	36809278	151	5558200978	13.58779564	0.484
Sample_6-6_D	Primed	Naïve	6	18588646	37177292	151	5613771092	13.72364451	0.44
Sample_7-7_D	Primed	Naïve	7	21506980	43013960	151	6495107960	15.87819511	0.442
Sample_10-10_D	Primed	Naïve	10	15479742	30959484	151	4674882084	11.4283997	0.452
Sample_29-11_redo_D	Primed	Naïve	11	17373278	34746556	151	5246729956	12.82636139	0.437
Sample_32-18_redo_D	Primed	Naïve	18	15726180	31452360	151	4749306360	11.6103402	0.488
Sample_36-2_redo_D	Primed	Primed	2	21116291	42232582	151	6377119882	15.58975684	0.433
Sample_8-8_D	Primed	Primed	8	22030619	44061238	151	6653246938	16.26478785	0.488
Sample_14-14_D	Primed	Primed	14	15803823	31607646	151	4772754546	11.66766255	0.449
Sample_20-20_D	Primed	Primed	20	14301162	28602324	151	4318950924	10.55827646	0.453
Sample_21-21_D	Primed	Primed	21	15390183	30780366	151	4647835266	11.36227999	0.454
