"ID","Description","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster","n_hits","best_p_adjust","experiments","regions","sources"
"GO:0016070","RNA metabolic process","BP","BP_1","GO:0016070","RNA metabolic process",9,0.734125567682576,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006310","DNA recombination","BP","BP_1","GO:0016070","RNA metabolic process",9,0.681609934841595,1,0.495605431631685,"Acute Experiment","exon","Acute Experiment_ORA"
"GO:0015074","DNA integration","BP","BP_1","GO:0016070","RNA metabolic process",9,0.668692195122565,7,0.395604395604396,"Acute Experiment","dispersed_repeat; downstream_region; exon; gene; promoter","Acute Experiment_ORA"
"GO:0043631","RNA polyadenylation","BP","BP_1","GO:0016070","RNA metabolic process",9,0.662687501246019,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006281","DNA repair","BP","BP_1","GO:0016070","RNA metabolic process",9,0.631366091364411,3,0.0760456273764255,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0008380","RNA splicing","BP","BP_1","GO:0016070","RNA metabolic process",9,0.628108811427088,2,0.186239911370434,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0006397","mRNA processing","BP","BP_1","GO:0016070","RNA metabolic process",9,0.611456692555683,3,0.0908884344467162,"Acute Experiment","dispersed_repeat; exon; gene","Acute Experiment_ORA"
"GO:0000724","double-strand break repair via homologous recombination","BP","BP_1","GO:0016070","RNA metabolic process",9,0.556967066600454,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","BP_1","GO:0016070","RNA metabolic process",9,0.483274077491479,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006659","phosphatidylserine biosynthetic process","BP","BP_10","GO:0006659","phosphatidylserine biosynthetic process",1,1,1,0.592592592592593,"Acute Experiment","promoter","Acute Experiment_ORA"
"GO:0055085","transmembrane transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.592575962758518,1,0.265107212475634,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0071705","nitrogen compound transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.583130205738377,2,0.285714285714286,"Acute Experiment","downstream_region; promoter","Acute Experiment_ORA"
"GO:0030705","cytoskeleton-dependent intracellular transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.569133148034833,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006812","monoatomic cation transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.532251635770685,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0006886","intracellular protein transport","BP","BP_11","GO:0055085","transmembrane transport",5,0.49586896840202,1,0.265107212475634,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0007155","cell adhesion","BP","BP_12","GO:0007155","cell adhesion",3,0.785413042091751,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0007160","cell-matrix adhesion","BP","BP_12","GO:0007155","cell adhesion",3,0.699745413123679,1,0.184439473030077,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
