"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity",0.0416666666666667,6.26232896014028e-05,0.00150241774214477,0.0080128946247721,0.00474447708045716,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0004300","enoyl-CoA hydratase activity",0.0416666666666667,6.26232896014028e-05,0.00150241774214477,0.0080128946247721,0.00474447708045716,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0004721","phosphoprotein phosphatase activity",0.0416666666666667,0.000125246579202806,0.00300267214223848,0.0120106885689539,0.00711159191582799,"evm.utg6459.27",1,"CHH","Molecular Functions","gene","Acute Experiment"
"GO:0003884","D-amino-acid oxidase activity",0.0416666666666667,0.000438363027209819,0.0104715981666242,0.0299080921732197,0.0177087387867748,"evm.utg35662.1",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0043539","protein serine/threonine kinase activator activity",0.0416666666666667,0.000469674672010521,0.0112155345649574,0.0299080921732197,0.0177087387867748,"evm.utg40512.5",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0070403","NAD+ binding",0.0416666666666667,0.000845414409618937,0.0201010679819548,0.045945298244468,0.0272044529079087,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0071949","FAD binding",0.0416666666666667,0.0022544384256505,0.0527451797827546,0.0993784532573009,0.0588425052181387,"evm.utg35662.1",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0004540","RNA nuclease activity",0.0416666666666667,0.00272411309766102,0.0633930329816381,0.0993784532573009,0.0588425052181387,"evm.utg2661.21",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0004197","cysteine-type endopeptidase activity",0.0416666666666667,0.00278673638726242,0.0648040502923726,0.0993784532573009,0.0588425052181387,"evm.utg4856.49",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0016779","nucleotidyltransferase activity",0.0416666666666667,0.00294329461126593,0.0683226866143943,0.0993784532573009,0.0588425052181387,"evm.utg6459.27",1,"CHH","Molecular Functions","gene","Acute Experiment"
