"region_from_list","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster"
"promoter","GO:0005975","carbohydrate metabolic process",0.25,0.111111111111111,1,2.25,1.11803398874989,0.444444444444444,0.592592592592593,0.592592592592593,"evm.utg4428.1",1,"evm.utg4428.1","exp2__promoter__evm.utg4428.1__12895","promoter","CHG",-0.702106319,0.024283572,1,1,"Biological Processes","promoter","Acute Experiment","1/4","1/9","BP","BP_5","GO:0006508","proteolysis",3,0.625119628442948
"promoter","GO:0006659","phosphatidylserine biosynthetic process",0.25,0.111111111111111,1,2.25,1.11803398874989,0.444444444444444,0.592592592592593,0.592592592592593,"utg5417.equina_smart_1738001.mrna6",1,"utg5417.equina_smart_1738001.mrna6","exp2__promoter__utg5417.equina_smart_1738001.mrna6__22670","promoter","CHH",-1.622418879,0.018277068,1,1,"Biological Processes","promoter","Acute Experiment","1/4","1/9","BP","BP_10","GO:0006659","phosphatidylserine biosynthetic process",1,1
"promoter","GO:0071705","nitrogen compound transport",0.25,0.111111111111111,1,2.25,1.11803398874989,0.444444444444444,0.592592592592593,0.592592592592593,"evm.utg2353.44",1,"evm.utg2353.44","exp2__promoter__evm.utg2353.44__6497","promoter","CpG",-0.418799442,0.01450286,1,1,"Biological Processes","promoter","Acute Experiment","1/4","1/9","BP","BP_11","GO:0055085","transmembrane transport",5,0.583130205738377
"promoter","GO:0015074","DNA integration",0.25,0.222222222222222,0.5,1.125,0.169030850945703,0.722222222222222,0.722222222222222,0.722222222222222,"evm.utg1253.19",1,"evm.utg1253.19","exp2__promoter__evm.utg1253.19__22256","promoter","CHH",-2.653399668,6.3e-07,1,1,"Biological Processes","promoter","Acute Experiment","1/4","2/9","BP","BP_1","GO:0016070","RNA metabolic process",9,0.668692195122565
"promoter","GO:0043531","ADP binding",0.333333333333333,0.125,1,2.66666666666667,1.88982236504614,0.125,0.4375,0.4375,"evm.utg33757.21",2,"evm.utg33757.21/evm.utg33757.22","exp2__promoter__evm.utg33757.21__22519","promoter","CHH",-0.199203187,0.080824132,2,2,"Molecular Functions","promoter","Acute Experiment","2/6","2/16","MF","MF_1","GO:0000166","nucleotide binding",5,0.675150071736791
"promoter","GO:0043531","ADP binding",0.333333333333333,0.125,1,2.66666666666667,1.88982236504614,0.125,0.4375,0.4375,"evm.utg33757.22",2,"evm.utg33757.21/evm.utg33757.22","exp2__promoter__evm.utg33757.22__22520","promoter","CHH",-0.199203187,0.080824132,2,2,"Molecular Functions","promoter","Acute Experiment","2/6","2/16","MF","MF_1","GO:0000166","nucleotide binding",5,0.675150071736791
"promoter","GO:0004563","beta-N-acetylhexosaminidase activity",0.166666666666667,0.0625,1,2.66666666666667,1.29099444873581,0.375,0.4375,0.4375,"evm.utg4428.1",1,"evm.utg4428.1","exp2__promoter__evm.utg4428.1__12895","promoter","CHG",-0.702106319,0.024283572,1,1,"Molecular Functions","promoter","Acute Experiment","1/6","1/16","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",3,0.689138141977995
"promoter","GO:0022857","transmembrane transporter activity",0.166666666666667,0.0625,1,2.66666666666667,1.29099444873581,0.375,0.4375,0.4375,"evm.utg2353.44",1,"evm.utg2353.44","exp2__promoter__evm.utg2353.44__6497","promoter","CpG",-0.418799442,0.01450286,1,1,"Molecular Functions","promoter","Acute Experiment","1/6","1/16","MF","MF_29","GO:0015267","channel activity",2,0.828736072212931
"promoter","GO:0030247","polysaccharide binding",0.166666666666667,0.0625,1,2.66666666666667,1.29099444873581,0.375,0.4375,0.4375,"evm.utg4428.1",1,"evm.utg4428.1","exp2__promoter__evm.utg4428.1__12895","promoter","CHG",-0.702106319,0.024283572,1,1,"Molecular Functions","promoter","Acute Experiment","1/6","1/16","MF","MF_32","GO:0030247","polysaccharide binding",1,1
"promoter","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",0.166666666666667,0.0625,1,2.66666666666667,1.29099444873581,0.375,0.4375,0.4375,"evm.utg4428.1",1,"evm.utg4428.1","exp2__promoter__evm.utg4428.1__12895","promoter","CHG",-0.702106319,0.024283572,1,1,"Molecular Functions","promoter","Acute Experiment","1/6","1/16","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",3,0.707731977097945
