sample	sample_id	reads_R1	reads_R2	read_pairs	total_reads	mean_read_length_R1	mean_read_length_R2	mean_base_quality_R1	mean_base_quality_R2	raw_bases_total
Sample_3-3_D	3_3	21190190	21190190	21190190	42380380	151.0	151.0	35.9	35.6	6399437380
Sample_6-6_D	6_6	18678788	18678788	18678788	37357576	151.0	151.0	35.9	35.5	5640993976
Sample_7-7_D	7_7	21604918	21604918	21604918	43209836	151.0	151.0	35.9	35.6	6524685236
Sample_8-8_D	8_8	22126410	22126410	22126410	44252820	151.0	151.0	35.9	35.6	6682175820
Sample_9-9_D	9_9	20065161	20065161	20065161	40130322	151.0	151.0	35.8	35.6	6059678622
Sample_10-10_D	10_10	15551466	15551466	15551466	31102932	151.0	151.0	35.9	35.7	4696542732
Sample_13-13_D	13_13	19847027	19847027	19847027	39694054	151.0	151.0	35.8	35.6	5993802154
Sample_14-14_D	14_14	15886345	15886345	15886345	31772690	151.0	151.0	35.8	35.5	4797676190
Sample_15-15_D	15_15	18893234	18893234	18893234	37786468	151.0	151.0	35.8	35.6	5705756668
Sample_16-16_D	16_16	17109819	17109819	17109819	34219638	151.0	151.0	35.9	35.5	5167165338
Sample_17-17_D	17_17	18491291	18491291	18491291	36982582	151.0	151.0	35.8	35.6	5584369882
Sample_20-20_D	20_20	14365023	14365023	14365023	28730046	151.0	151.0	35.9	35.7	4338236946
Sample_21-21_D	21_21	15475417	15475417	15475417	30950834	151.0	151.0	35.8	35.6	4673575934
Sample_22-22_D	22_22	15410683	15410683	15410683	30821366	151.0	151.0	35.9	35.7	4654026266
Sample_27-27_D	27_27	15130598	15130598	15130598	30261196	151.0	151.0	35.9	35.6	4569440596
Sample_29-11_redo_D	29_11	17474544	17474544	17474544	34949088	151.0	151.0	35.9	35.3	5277312288
Sample_32-18_redo_D	32_18	15791606	15791606	15791606	31583212	151.0	151.0	35.9	35.7	4769065012
Sample_36-2_redo_D	36_2	21265745	21265745	21265745	42531490	151.0	151.0	35.9	35.2	6422254990
