"set_name","value"
"Acute Methylation","evm.utg2661.21"
"Acute Methylation","evm.utg363.1"
"Acute Methylation","evm.utg28737.6"
"Acute Methylation","evm.utg29536.5"
"Acute Methylation","evm.utg4428.2"
"Acute Methylation","utg101.equina_smart_1609707.mrna1"
"Acute Methylation","evm.utg162.19"
"Acute Methylation","evm.utg11814.7"
"Acute Methylation","evm.utg40512.5"
"Acute Methylation","evm.utg4428.8"
"Acute Methylation","evm.utg6459.27"
"Acute Methylation","evm.utg1571.14"
"Acute Methylation","evm.utg1032.34"
"Acute Methylation","evm.utg35662.1"
"Acute Methylation","evm.utg512.80"
"Acute Methylation","evm.utg116.142"
"Acute Methylation","evm.utg11814.6"
"Acute Methylation","evm.utg4856.49"
"Acute Methylation","evm.utg334.43"
"Acute Methylation","evm.utg4613.33"
"Acute Methylation","evm.utg10470.24"
"Acute Methylation","evm.utg5417.33"
"Acute Methylation","evm.utg2849.3"
"Acute Methylation","evm.utg2333.11"
"Acute Methylation","evm.utg816.25"
"Acute Methylation","evm.utg9625.4"
"Acute Methylation","evm.utg268.25.1.5c22edff"
"Acute Methylation","evm.utg24440.2"
"Acute Methylation","evm.utg989.44.45.2.5c2798c8"
"Acute Methylation","evm.utg1569.8"
"Acute Methylation","evm.utg1256.23"
"Acute Methylation","evm.utg7127.52.1.5c22f377.1.5c279739"
"Acute Methylation","evm.utg9625.2"
"Acute Methylation","evm.utg3906.20"
"Acute Methylation","evm.utg7127.52"
"Acute Methylation","utg7127.equina_smart_1282991.mrna2"
"Acute Methylation","evm.utg2327.13"
"Acute Methylation","utg101.equina_smart_1619046.mrna5"
"Acute Methylation","evm.utg17539.13"
"Acute Methylation","evm.utg4605.20"
"Acute Methylation","evm.utg542.38"
"Acute Methylation","evm.utg2661.20"
"Acute Methylation","evm.utg816.8"
"Acute Methylation","evm.utg59087.4"
"Acute Methylation","evm.utg1138.4"
"Acute Methylation","evm.utg3884.52"
"Acute Methylation","utg2379.equina_smart_1636200.mrna1"
"Acute Methylation","evm.utg479.60"
"Acute Methylation","evm.utg30804.6"
"Acute Methylation","evm.utg1395.61"
"Acute Methylation","evm.utg17372.1"
"Acute Methylation","evm.utg221.15"
"Acute Methylation","evm.utg432.4"
"Primed Methylation","evm.utg1032.43"
"Primed Methylation","evm.utg2353.42"
"Primed Methylation","evm.utg3839.77"
"Primed Methylation","evm.utg268.25"
"Primed Methylation","evm.utg268.25.1.5c22edff"
"Primed Methylation","evm.utg268.25.2.5c22edff"
