Sample ID (TRUE)	Sample ID (Rock Pool)	Condition (experiment)	Sample Number (Eppendorf Label)	Nucleic Acid(ng/uL)	A260/A280	A260/A230
5A	1	A	5	123.832	2.036	1.912
8A	1	A	8	123.04	2.04	1.862
12A	1	A	12	80.836	2.015	1.782
16A	2	A	16	58.957	2.045	1.925
22A	2	A	22	56.529	2.133	2.27
27A	3	A	27	52.492	1.944	0.98
32A	3	A	32	50.477	1.872	0.711
34A	3	A	34	49.127	1.944	1.033
36A	3	A	36	41.097	1.934	1.054
39A	4	A	39	32.171	2.039	1.459
40A	4	A	40	29.019	2.013	1.23
41A	4	A	41	28.59	2.049	1.531
43A	5	A	43	16.552	2.041	1.462
1B	5	B	1	257.084	2.04	1.75
4B	5	B	4	174.484	2.058	1.972
6B	6	B	6	123.601	1.841	1.292
9B	6	B	9	76.532	1.98	1.715
10B	6	B	10	72.108	2.024	1.895
11B	6	B	11	61.91	2.025	1.771
17B	7	B	17	53.323	2.05	1.948
48B	7	B	48	44.995	10.491	-6.127
50B	7	B	50	40.41	2.045	1.67
51B	7	B	51	38.653	2.101	2.005
52B	8	B	52	36.161	1.997	1.646
55B	8	B	55	19.896	2.038	1.941
57B	8	B	57	12.045	2.061	2.125
14C	8	C	14	196.024	2.025	1.842
18C	9	C	18	164.871	2.002	1.838
21C	9	C	21	112.713	1.839	1.991
23C	9	C	23	111.592	2.102	2.137
24C	9	C	24	89.101	2.044	2.05
25C	10	C	25	81.788	2.018	1.763
26C	10	C	26	58.557	2.043	1.915
28C	10	C	28	52.893	2.043	1.819
35C	10	C	35	45.791	1.999	1.547
37C	11	C	37	37.397	2.066	1.585
38C	11	C	38	30	2.016	1.375
44C	11	C	44	23.004	2.05	1.987
46C	12	C	46	21.011	2.039	1.885
47C	12	C	47	20.636	2.075	2.05
56C	12	C	56	20.422	1.982	1.726
2D	12	D	2	145.667	2.07	1.81
7D	13	D	7	142.145	1.995	1.72
13D	13	D	13	121.837	1.923	1.676
15D	14	D	15	81.104	2.006	1.723
19D	14	D	19	77.024	2.052	1.986
20D	14	D	20	72.787	1.982	1.898
29D	14	D	29	51.87	1.668	0.366
30D	15	D	30	47.299	1.988	1.282
31D	15	D	31	46.097	2.014	1.362
33D	15	D	33	42.996	2.042	1.295
45D	15	D	45	38.443	2.038	1.948
49D	16	D	49	33.8	2.015	1.427
53D	16	D	53	28.635	2.089	2.022
54D	16	D	54	16.126	2.058	2.08
