"Method","Contrast","Ontology","Original GO ID","Original GO term","Semantic cluster ID","Representative semantic GO ID","Representative semantic GO term","Adjusted p-value","GeneRatio","Count","setSize","FoldEnrichment","NES","Genes"
"GSEA","additive","biological_processes","GO:0006310","DNA recombination","BP_7","GO:0006310","DNA recombination",0.0303293474474006,NA,NA,462,NA,-1.55229732957485,"evm.utg1281.30/evm.utg579.4/evm.utg1079.4/evm.utg1204.39/evm.utg36986.1/evm.utg5390.63/evm.utg15716.7/evm.utg3550.17/evm.utg648.32/evm.utg54636.3/evm.utg2601.11/evm.utg456.34/evm.utg3380.37/evm.utg1177.17/evm.utg6504.9/evm.utg4613.73/evm.utg18686.22/evm.utg5068.7/evm.utg324.26/utg10358.equina_smart_99644.mrna2/evm.utg435.18/evm.utg3090.45/evm.utg1236.8/evm.utg483.50/evm.utg28737.14/evm.utg4610.42/evm.utg3090.2/evm.utg479.44/evm.utg77.87/evm.utg27529.3/evm.utg1253.77/evm.utg256.31/evm.utg501.24/evm.utg1101.44/evm.utg30399.7/evm.utg3164.1/evm.utg5414.44/evm.utg203.81/evm.utg22414.5/evm.utg372.50/evm.utg691.23/evm.utg438.10/evm.utg8726.14/evm.utg1767.1/evm.utg1056.146/evm.utg2327.24/evm.utg777.35/evm.utg125.180/evm.utg479.46/evm.utg4501.2/evm.utg505.52/utg10470.evm.utg7145.42.mrna2/evm.utg7145.42/evm.utg594.7/evm.utg78.109/evm.utg1819.48/evm.utg691.12/evm.utg1253.23/evm.utg320.29/evm.utg192.85/evm.utg14021.16/evm.utg1101.47/evm.utg8892.20/evm.utg225.113/evm.utg24075.5/evm.utg268.22/evm.utg8609.17/evm.utg888.71/evm.utg3164.55/evm.utg2601.10/evm.utg936.37/evm.utg173190.1/evm.utg31532.3/evm.utg15585.23/utg1579.equina_smart_1435500.mrna1/evm.utg27529.1/evm.utg5059.5/evm.utg15197.15/evm.utg505.1/evm.utg936.33/evm.utg936.35/evm.utg2083.13/evm.utg1221.6/evm.utg86.15/evm.utg13.42/evm.utg2526.3/evm.utg8851.52/evm.utg8792.21/evm.utg1239.10/utg16223.equina_smart_99644.mrna1/evm.utg7680.4/evm.utg6293.27/evm.utg33828.4/evm.utg479.45/evm.utg2299.2/evm.utg1654.9/evm.utg3669.10/evm.utg691.10/evm.utg882.12/evm.utg1452.5/evm.utg777.33/evm.utg1205.53/evm.utg438.11/evm.utg21873.16/evm.utg17602.3/evm.utg12230.12/evm.utg483.51/evm.utg4737.6/evm.utg4605.50/evm.utg1995.14/evm.utg77.114/evm.utg3090.41/evm.utg5414.29/utg4303.equina_smart_1454938.mrna1/utg4303.equina_smart_1435511.mrna1/utg14287.equina_smart_1752363utrorf.mrna1/evm.utg7286.7/evm.utg2159.2/evm.utg2274.11/utg1579.equina_smart_1454938.mrna2/evm.utg3870.10/evm.utg456.36/evm.utg78.108/evm.utg4652.22/evm.utg1579.3/evm.utg117.23/evm.utg1910.108/evm.utg700.33/evm.utg13793.33/evm.utg207.39/evm.utg31.89/evm.utg102448.4/evm.utg107084.2/evm.utg1022.10/evm.utg3197.14/evm.utg7840.36/evm.utg1221.2/evm.utg2115.4/evm.utg483.47/evm.utg6423.20/evm.utg225.46/evm.utg1910.110/evm.utg67002.1/evm.utg888.70/evm.utg888.73/evm.utg7840.72/evm.utg888.65/evm.utg24075.8/evm.utg4977.3/evm.utg1910.100/evm.utg67002.5/evm.utg505.22/evm.utg2073.4/evm.utg359.34/evm.utg7840.3/evm.utg3164.27"
"GSEA","additive","biological_processes","GO:1990414","replication-born double-strand break repair via sister chromatid exchange","BP_7","GO:0006310","DNA recombination",0.0487819947620271,NA,NA,57,NA,-1.77337827342467,"evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58"
"GSEA","diesel_added","biological_processes","GO:0006310","DNA recombination","BP_7","GO:0006310","DNA recombination",0.00766015016029494,NA,NA,462,NA,-1.94676401272852,"evm.utg6669.7/evm.utg24075.3/evm.utg1825.11/evm.utg25155.6/evm.utg3474.18/evm.utg2012.27/evm.utg27529.1/evm.utg3164.11/evm.utg691.23/evm.utg8851.47/evm.utg61244.8/utg1579.equina_smart_1454938.mrna2/utg20618.evm.utg116.337.mrna3/evm.utg107.5/evm.utg2801.13/evm.utg1825.14/evm.utg7840.3/evm.utg16130.8/evm.utg20813.27/evm.utg389.81/evm.utg92.170/evm.utg225.113/evm.utg27318.14/evm.utg4163.10/evm.utg483.50/evm.utg13320.3/evm.utg540.43/evm.utg2690.15/evm.utg5294.39/evm.utg1517.20/evm.utg2071.34/evm.utg4737.26/evm.utg24075.2/evm.utg3443.51/evm.utg338.55/evm.utg1465.25/evm.utg12230.1/evm.utg1648.47/utg594.evm.utg648.3.mrna11/evm.utg1579.3/evm.utg6829.5/evm.utg262.19/evm.utg7148.6/evm.utg1648.6/evm.utg464.38/evm.utg77.22/evm.utg594.7/evm.utg3158.55/evm.utg15197.16/evm.utg891.33/evm.utg27529.5/evm.utg530.23/evm.utg8851.52/evm.utg186.20/evm.utg55.138/evm.utg24075.4/evm.utg1982.18/evm.utg125.55/evm.utg3380.37/evm.utg3197.14/evm.utg505.52/evm.utg31.37/evm.utg2427.2/evm.utg2601.11/evm.utg101.34/evm.utg1221.6/evm.utg5417.8/evm.utg435.18/utg16223.equina_smart_99644.mrna1/evm.utg372.50/evm.utg29151.3/evm.utg125632.2/evm.utg214.78/evm.utg5068.7/evm.utg8851.94/evm.utg4613.46/evm.utg498.139/utg162.evm.utg648.3.mrna9/evm.utg2601.10/evm.utg77.114/evm.utg3487.2/evm.utg6401.5/utg62.evm.utg648.3.mrna8/utg4303.equina_smart_1435511.mrna1/utg14287.equina_smart_1752363utrorf.mrna1/evm.utg501.24/evm.utg3235.22/evm.utg173190.4/evm.utg219.4/utg8851.evm.utg648.3.mrna12/evm.utg494.22/evm.utg7840.68/evm.utg5390.63/evm.utg5414.44/evm.utg3164.1/utg411.evm.utg648.3.mrna7/evm.utg699.32/evm.utg379.92/utg4303.equina_smart_1454938.mrna1/evm.utg144.23/evm.utg5390.64/evm.utg3870.10/evm.utg896.39/evm.utg4610.42/evm.utg10069.5/evm.utg3284.6/evm.utg27529.3/evm.utg20813.6/evm.utg10868.12/evm.utg4163.9/evm.utg6821.3/evm.utg4605.50/evm.utg180.8/evm.utg2083.13/evm.utg13.42/evm.utg5246.22/evm.utg882.12/evm.utg4613.48/evm.utg936.37/utg40828.equina_smart_1497833.mrna1/evm.utg3090.2/evm.utg389.80/evm.utg24075.5/evm.utg173190.1/evm.utg359.34/evm.utg379.44/evm.utg1101.47/evm.utg1101.44/evm.utg225.46/evm.utg27.91/evm.utg415.31/evm.utg15197.15/evm.utg22414.5/evm.utg13474.6/evm.utg1825.15/evm.utg1079.4/evm.utg936.33/evm.utg8609.17/evm.utg464.21/evm.utg936.35/evm.utg27.92/evm.utg2526.5/evm.utg86.15/evm.utg3487.1/evm.utg3013.46/utg10282.equina_smart_1467605utrorf.mrna1/evm.utg2526.3/evm.utg888.73/evm.utg1910.110/evm.utg320.57/evm.utg888.71/evm.utg55.201/evm.utg1819.48/evm.utg7616.19/evm.utg2159.2/evm.utg16835.3/evm.utg637.29/evm.utg700.33/evm.utg1204.39/evm.utg7840.36/evm.utg1452.5/evm.utg8792.21/evm.utg268.22/evm.utg1995.14/evm.utg483.51/evm.utg6423.20/evm.utg102448.4/evm.utg1654.9/evm.utg505.22/evm.utg483.47/evm.utg15716.7/evm.utg36089.3/evm.utg31.89/evm.utg107084.2/evm.utg438.10/evm.utg3090.41/evm.utg78.108/evm.utg625.95/evm.utg1910.108/evm.utg2798.27/evm.utg1056.146/evm.utg456.36/evm.utg3164.27/evm.utg13793.33/evm.utg2073.4/evm.utg4652.22/evm.utg15585.23/evm.utg1022.10/evm.utg67002.1/evm.utg33828.4/evm.utg888.70/evm.utg5059.5/evm.utg438.11/evm.utg7286.7/evm.utg78.109/evm.utg24075.8/evm.utg888.65/evm.utg4977.3/evm.utg1910.100/evm.utg67002.5"
"ORA","diesel_added","biological_processes","GO:0007015","actin filament organization","BP_2","GO:0007015","actin filament organization",0.0210354211821406,0.0105740181268882,7,NA,6.1043520862252,NA,"evm.utg622.89/evm.utg801.66/evm.utg1972.74/evm.utg2757.30/evm.utg12382.26/evm.utg13994.14/evm.utg21228.2"
"ORA","interactive","biological_processes","GO:0000915","actomyosin contractile ring assembly","BP_2","GO:0007015","actin filament organization",0.0320280743690897,0.0212765957446809,1,NA,227.234042553192,NA,"evm.utg4172.37"
"ORA","interactive","biological_processes","GO:0031106","septin ring organization","BP_2","GO:0007015","actin filament organization",0.0320280743690897,0.0212765957446809,1,NA,227.234042553192,NA,"evm.utg4172.37"
"ORA","interactive","biological_processes","GO:0051298","centrosome duplication","BP_2","GO:0007015","actin filament organization",0.0372055305685901,0.0212765957446809,1,NA,75.7446808510638,NA,"evm.utg172.38"
"GSEA","additive","biological_processes","GO:0035118","embryonic pectoral fin morphogenesis","BP_18","GO:0035118","embryonic pectoral fin morphogenesis",0.0487819947620271,NA,NA,57,NA,-1.77337827342467,"evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58"
"GSEA","diesel_added","biological_processes","GO:0006730","one-carbon metabolic process","BP_10","GO:0006631","fatty acid metabolic process",0.041452452148186,NA,NA,24,NA,2.0947029823749,"evm.utg564.96/evm.utg505.31/evm.utg483.9/evm.utg7217.57/evm.utg483.10/evm.utg564.95/evm.utg209.14/evm.utg483.8/evm.utg5652.39/evm.utg5652.40"
"ORA","diesel_added","biological_processes","GO:0006631","fatty acid metabolic process","BP_10","GO:0006631","fatty acid metabolic process",0.000325669012433082,0.0105740181268882,7,NA,12.5478348439074,NA,"evm.utg52.56/evm.utg109.63/evm.utg924.60/evm.utg2929.12/evm.utg4856.10/evm.utg6477.1/evm.utg7289.49"
