"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO"
"GO:0061780","mitotic cohesin loading",60,-0.517330376565495,-1.79714578429772,0.000211600098470237,0.0303293474474006,0.0253177661678424,6382,"tags=52%, list=15%, signal=44%","evm.utg415.70/evm.utg5950.20/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58","biological_processes"
"GO:0006412","translation",197,-0.419417091449817,-1.76490347496639,0.000165267736636626,0.0303293474474006,0.0253177661678424,15821,"tags=71%, list=38%, signal=45%","evm.utg301.16/evm.utg479.58/evm.utg73.68/evm.utg62.20/evm.utg324.14/evm.utg219.71/evm.utg47.27/evm.utg483.56/evm.utg9313.24/evm.utg4.45/evm.utg6821.23/evm.utg8494.9/evm.utg3092.46/evm.utg3799.21/evm.utg1962.9/evm.utg411.52/evm.utg590.13/evm.utg1588.14/evm.utg868.5/evm.utg622.63/evm.utg301.37/evm.utg729.96/evm.utg125.18/evm.utg791.8/evm.utg56.53/evm.utg1372.18/evm.utg5176.12/evm.utg505.41/evm.utg1648.24/evm.utg3878.28/evm.utg18633.16/evm.utg1846.8/evm.utg7522.33/evm.utg415.116/evm.utg729.46/evm.utg343339.2/utg86.equina_smart_1445806.mrna2/evm.utg577.29/evm.utg693.66/utg2581.equina_smart_1098872.mrna2/evm.utg2967.31/evm.utg301.138/evm.utg4716.3/evm.utg236.39/evm.utg16027.9/evm.utg890.45/evm.utg532.13/evm.utg344.47/evm.utg107.57/evm.utg910.151/evm.utg699.4/evm.utg378.133/evm.utg1925.24/evm.utg77.8/evm.utg2814.18/evm.utg7217.55/evm.utg2929.10/evm.utg1109.26/evm.utg150.93/utg788.equina_smart_1260423.mrna1/evm.utg1800.6/evm.utg2129.121/evm.utg577.105/evm.utg381.21/evm.utg3235.7/evm.utg116.286/evm.utg14287.6/evm.utg2757.29/evm.utg1910.32/evm.utg17809.12/evm.utg129.21/evm.utg301.49/evm.utg3553.8/evm.utg12897.18/evm.utg496.27/evm.utg579.70/evm.utg498.48/evm.utg5885.98/evm.utg9216.5/evm.utg798.17/evm.utg48209.2/evm.utg3878.21/evm.utg924.59/evm.utg7217.40/evm.utg4464.16/evm.utg15585.12/evm.utg7145.61/evm.utg207.63/evm.utg498.129/evm.utg597.5/evm.utg2007.14/evm.utg1109.3/evm.utg1565.85/evm.utg1910.34/evm.utg420.100/evm.utg378.108/evm.utg868.49/evm.utg1226.13/evm.utg320.85/evm.utg498.143/evm.utg544.4/evm.utg234.64/evm.utg207.20/evm.utg55.156/evm.utg498.93/evm.utg55.88/evm.utg1931.13/evm.utg4194.6/evm.utg126.157/evm.utg92.66/evm.utg1056.36/evm.utg1517.5/evm.utg234.86/evm.utg1931.75/evm.utg597.212/evm.utg3677.28/evm.utg77.113/evm.utg378.170/evm.utg6072.8/evm.utg379.48/evm.utg577.30/evm.utg7145.43/evm.utg498.88/evm.utg1226.19/evm.utg577.73/evm.utg2108.6/evm.utg180.72/evm.utg797.57/evm.utg52.55/evm.utg18409.1/evm.utg15585.14/evm.utg14.81/evm.utg243.70/evm.utg3790.42/evm.utg797.58/evm.utg1507.31/evm.utg378.169/evm.utg4187.32/evm.utg378.167/evm.utg378.168","biological_processes"
"GO:0006310","DNA recombination",462,-0.338329430040844,-1.55229732957485,0.000139452748403263,0.0303293474474006,0.0253177661678424,10838,"tags=34%, list=26%, signal=25%","evm.utg1281.30/evm.utg579.4/evm.utg1079.4/evm.utg1204.39/evm.utg36986.1/evm.utg5390.63/evm.utg15716.7/evm.utg3550.17/evm.utg648.32/evm.utg54636.3/evm.utg2601.11/evm.utg456.34/evm.utg3380.37/evm.utg1177.17/evm.utg6504.9/evm.utg4613.73/evm.utg18686.22/evm.utg5068.7/evm.utg324.26/utg10358.equina_smart_99644.mrna2/evm.utg435.18/evm.utg3090.45/evm.utg1236.8/evm.utg483.50/evm.utg28737.14/evm.utg4610.42/evm.utg3090.2/evm.utg479.44/evm.utg77.87/evm.utg27529.3/evm.utg1253.77/evm.utg256.31/evm.utg501.24/evm.utg1101.44/evm.utg30399.7/evm.utg3164.1/evm.utg5414.44/evm.utg203.81/evm.utg22414.5/evm.utg372.50/evm.utg691.23/evm.utg438.10/evm.utg8726.14/evm.utg1767.1/evm.utg1056.146/evm.utg2327.24/evm.utg777.35/evm.utg125.180/evm.utg479.46/evm.utg4501.2/evm.utg505.52/utg10470.evm.utg7145.42.mrna2/evm.utg7145.42/evm.utg594.7/evm.utg78.109/evm.utg1819.48/evm.utg691.12/evm.utg1253.23/evm.utg320.29/evm.utg192.85/evm.utg14021.16/evm.utg1101.47/evm.utg8892.20/evm.utg225.113/evm.utg24075.5/evm.utg268.22/evm.utg8609.17/evm.utg888.71/evm.utg3164.55/evm.utg2601.10/evm.utg936.37/evm.utg173190.1/evm.utg31532.3/evm.utg15585.23/utg1579.equina_smart_1435500.mrna1/evm.utg27529.1/evm.utg5059.5/evm.utg15197.15/evm.utg505.1/evm.utg936.33/evm.utg936.35/evm.utg2083.13/evm.utg1221.6/evm.utg86.15/evm.utg13.42/evm.utg2526.3/evm.utg8851.52/evm.utg8792.21/evm.utg1239.10/utg16223.equina_smart_99644.mrna1/evm.utg7680.4/evm.utg6293.27/evm.utg33828.4/evm.utg479.45/evm.utg2299.2/evm.utg1654.9/evm.utg3669.10/evm.utg691.10/evm.utg882.12/evm.utg1452.5/evm.utg777.33/evm.utg1205.53/evm.utg438.11/evm.utg21873.16/evm.utg17602.3/evm.utg12230.12/evm.utg483.51/evm.utg4737.6/evm.utg4605.50/evm.utg1995.14/evm.utg77.114/evm.utg3090.41/evm.utg5414.29/utg4303.equina_smart_1454938.mrna1/utg4303.equina_smart_1435511.mrna1/utg14287.equina_smart_1752363utrorf.mrna1/evm.utg7286.7/evm.utg2159.2/evm.utg2274.11/utg1579.equina_smart_1454938.mrna2/evm.utg3870.10/evm.utg456.36/evm.utg78.108/evm.utg4652.22/evm.utg1579.3/evm.utg117.23/evm.utg1910.108/evm.utg700.33/evm.utg13793.33/evm.utg207.39/evm.utg31.89/evm.utg102448.4/evm.utg107084.2/evm.utg1022.10/evm.utg3197.14/evm.utg7840.36/evm.utg1221.2/evm.utg2115.4/evm.utg483.47/evm.utg6423.20/evm.utg225.46/evm.utg1910.110/evm.utg67002.1/evm.utg888.70/evm.utg888.73/evm.utg7840.72/evm.utg888.65/evm.utg24075.8/evm.utg4977.3/evm.utg1910.100/evm.utg67002.5/evm.utg505.22/evm.utg2073.4/evm.utg359.34/evm.utg7840.3/evm.utg3164.27","biological_processes"
"GO:0009311","oligosaccharide metabolic process",10,0.81583258497071,2.03322999964948,0.0012273056707435,0.0487819947620271,0.0407213224329283,1142,"tags=50%, list=3%, signal=49%","evm.utg1972.86/evm.utg1972.84/evm.utg1972.85/evm.utg1972.87/evm.utg1972.81","biological_processes"
"GO:0051260","protein homooligomerization",114,0.468434149699052,1.95571168817236,0.00120479766640968,0.0487819947620271,0.0407213224329283,8239,"tags=37%, list=20%, signal=30%","evm.utg10358.10/evm.utg14902.29/evm.utg280.17/evm.utg2108.2/evm.utg280.28/evm.utg9902.8/evm.utg3722.2/evm.utg3722.4/evm.utg8494.92/evm.utg695.1/evm.utg3722.3/evm.utg109.86/evm.utg4898.5/evm.utg2246.35/evm.utg18019.8/evm.utg12724.17/evm.utg2246.33/evm.utg977.31/evm.utg300.50/evm.utg280.29/evm.utg1049.14/evm.utg12724.16/evm.utg3884.38/evm.utg332.9/evm.utg1721.30/evm.utg300.52/evm.utg31304.13/evm.utg344.4/evm.utg10628.24/evm.utg27318.18/evm.utg1354.19/evm.utg332.2/evm.utg1205.59/evm.utg27318.20.21/evm.utg17511.15/evm.utg370.102/evm.utg109.58/evm.utg3884.37/evm.utg17511.16.18/evm.utg8778.1/evm.utg55.23/evm.utg101.29","biological_processes"
"GO:0034765","regulation of monoatomic ion transmembrane transport",110,0.453767537612516,1.89028258197175,0.0007146788867813,0.0487819947620271,0.0407213224329283,6604,"tags=34%, list=16%, signal=28%","evm.utg14902.29/evm.utg280.17/evm.utg53212.1/evm.utg816.25/evm.utg280.28/evm.utg9902.8/evm.utg3722.2/evm.utg53212.2/evm.utg3722.4/evm.utg6035.4/evm.utg8494.92/evm.utg695.1/evm.utg4605.73/evm.utg2487.9/evm.utg3722.3/evm.utg4898.5/evm.utg18019.8/evm.utg12724.17/evm.utg6035.5/evm.utg2246.33/evm.utg1910.19/evm.utg280.29/evm.utg1049.14/evm.utg12724.16/evm.utg3884.38/evm.utg332.9/evm.utg6035.3/evm.utg300.52/evm.utg344.4/evm.utg10628.24/evm.utg1354.19/evm.utg332.2/evm.utg1205.59/evm.utg2012.11/utg1919.equina_smart_1883335.mrna1/evm.utg4028.7/evm.utg17511.15","biological_processes"
"GO:0003007","heart morphogenesis",57,-0.517036969979213,-1.77337827342467,0.00136135799335889,0.0487819947620271,0.0407213224329283,6382,"tags=53%, list=15%, signal=45%","evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58","biological_processes"
"GO:0035118","embryonic pectoral fin morphogenesis",57,-0.517036969979213,-1.77337827342467,0.00136135799335889,0.0487819947620271,0.0407213224329283,6382,"tags=53%, list=15%, signal=45%","evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58","biological_processes"
"GO:0048565","digestive tract development",57,-0.517036969979213,-1.77337827342467,0.00136135799335889,0.0487819947620271,0.0407213224329283,6382,"tags=53%, list=15%, signal=45%","evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58","biological_processes"
"GO:0048703","embryonic viscerocranium morphogenesis",57,-0.517036969979213,-1.77337827342467,0.00136135799335889,0.0487819947620271,0.0407213224329283,6382,"tags=53%, list=15%, signal=45%","evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58","biological_processes"
