"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO"
"GO:0006310","DNA recombination",462,-0.444164642244585,-1.94676401272852,1.78143026983603e-05,0.00766015016029494,0.00705071348903525,11992,"tags=43%, list=28%, signal=31%","evm.utg6669.7/evm.utg24075.3/evm.utg1825.11/evm.utg25155.6/evm.utg3474.18/evm.utg2012.27/evm.utg27529.1/evm.utg3164.11/evm.utg691.23/evm.utg8851.47/evm.utg61244.8/utg1579.equina_smart_1454938.mrna2/utg20618.evm.utg116.337.mrna3/evm.utg107.5/evm.utg2801.13/evm.utg1825.14/evm.utg7840.3/evm.utg16130.8/evm.utg20813.27/evm.utg389.81/evm.utg92.170/evm.utg225.113/evm.utg27318.14/evm.utg4163.10/evm.utg483.50/evm.utg13320.3/evm.utg540.43/evm.utg2690.15/evm.utg5294.39/evm.utg1517.20/evm.utg2071.34/evm.utg4737.26/evm.utg24075.2/evm.utg3443.51/evm.utg338.55/evm.utg1465.25/evm.utg12230.1/evm.utg1648.47/utg594.evm.utg648.3.mrna11/evm.utg1579.3/evm.utg6829.5/evm.utg262.19/evm.utg7148.6/evm.utg1648.6/evm.utg464.38/evm.utg77.22/evm.utg594.7/evm.utg3158.55/evm.utg15197.16/evm.utg891.33/evm.utg27529.5/evm.utg530.23/evm.utg8851.52/evm.utg186.20/evm.utg55.138/evm.utg24075.4/evm.utg1982.18/evm.utg125.55/evm.utg3380.37/evm.utg3197.14/evm.utg505.52/evm.utg31.37/evm.utg2427.2/evm.utg2601.11/evm.utg101.34/evm.utg1221.6/evm.utg5417.8/evm.utg435.18/utg16223.equina_smart_99644.mrna1/evm.utg372.50/evm.utg29151.3/evm.utg125632.2/evm.utg214.78/evm.utg5068.7/evm.utg8851.94/evm.utg4613.46/evm.utg498.139/utg162.evm.utg648.3.mrna9/evm.utg2601.10/evm.utg77.114/evm.utg3487.2/evm.utg6401.5/utg62.evm.utg648.3.mrna8/utg4303.equina_smart_1435511.mrna1/utg14287.equina_smart_1752363utrorf.mrna1/evm.utg501.24/evm.utg3235.22/evm.utg173190.4/evm.utg219.4/utg8851.evm.utg648.3.mrna12/evm.utg494.22/evm.utg7840.68/evm.utg5390.63/evm.utg5414.44/evm.utg3164.1/utg411.evm.utg648.3.mrna7/evm.utg699.32/evm.utg379.92/utg4303.equina_smart_1454938.mrna1/evm.utg144.23/evm.utg5390.64/evm.utg3870.10/evm.utg896.39/evm.utg4610.42/evm.utg10069.5/evm.utg3284.6/evm.utg27529.3/evm.utg20813.6/evm.utg10868.12/evm.utg4163.9/evm.utg6821.3/evm.utg4605.50/evm.utg180.8/evm.utg2083.13/evm.utg13.42/evm.utg5246.22/evm.utg882.12/evm.utg4613.48/evm.utg936.37/utg40828.equina_smart_1497833.mrna1/evm.utg3090.2/evm.utg389.80/evm.utg24075.5/evm.utg173190.1/evm.utg359.34/evm.utg379.44/evm.utg1101.47/evm.utg1101.44/evm.utg225.46/evm.utg27.91/evm.utg415.31/evm.utg15197.15/evm.utg22414.5/evm.utg13474.6/evm.utg1825.15/evm.utg1079.4/evm.utg936.33/evm.utg8609.17/evm.utg464.21/evm.utg936.35/evm.utg27.92/evm.utg2526.5/evm.utg86.15/evm.utg3487.1/evm.utg3013.46/utg10282.equina_smart_1467605utrorf.mrna1/evm.utg2526.3/evm.utg888.73/evm.utg1910.110/evm.utg320.57/evm.utg888.71/evm.utg55.201/evm.utg1819.48/evm.utg7616.19/evm.utg2159.2/evm.utg16835.3/evm.utg637.29/evm.utg700.33/evm.utg1204.39/evm.utg7840.36/evm.utg1452.5/evm.utg8792.21/evm.utg268.22/evm.utg1995.14/evm.utg483.51/evm.utg6423.20/evm.utg102448.4/evm.utg1654.9/evm.utg505.22/evm.utg483.47/evm.utg15716.7/evm.utg36089.3/evm.utg31.89/evm.utg107084.2/evm.utg438.10/evm.utg3090.41/evm.utg78.108/evm.utg625.95/evm.utg1910.108/evm.utg2798.27/evm.utg1056.146/evm.utg456.36/evm.utg3164.27/evm.utg13793.33/evm.utg2073.4/evm.utg4652.22/evm.utg15585.23/evm.utg1022.10/evm.utg67002.1/evm.utg33828.4/evm.utg888.70/evm.utg5059.5/evm.utg438.11/evm.utg7286.7/evm.utg78.109/evm.utg24075.8/evm.utg888.65/evm.utg4977.3/evm.utg1910.100/evm.utg67002.5","biological_processes"
"GO:0006094","gluconeogenesis",14,0.799945550630166,2.14797150137371,6.64321978330537e-05,0.0142829225341065,0.0131465823080148,4064,"tags=57%, list=10%, signal=52%","evm.utg276.53/evm.utg438.31/evm.utg7950.38/evm.utg4187.43/evm.utg2201.12/evm.utg1781.24/evm.utg3024.3/evm.utg3024.4","biological_processes"
"GO:0006730","one-carbon metabolic process",24,0.685164213230346,2.0947029823749,0.000289203154522228,0.041452452148186,0.038154521438722,3401,"tags=42%, list=8%, signal=38%","evm.utg564.96/evm.utg505.31/evm.utg483.9/evm.utg7217.57/evm.utg483.10/evm.utg564.95/evm.utg209.14/evm.utg483.8/evm.utg5652.39/evm.utg5652.40","biological_processes"
"GO:0051015","actin filament binding",89,0.557999502898131,2.172346553973,3.02686796361429e-06,0.0010170276357744,0.000873012444242438,7979,"tags=47%, list=19%, signal=38%","evm.utg622.89/evm.utg801.66/evm.utg13994.14/evm.utg11411.8/evm.utg3117.2/evm.utg868.14/evm.utg2757.30/evm.utg21228.2/evm.utg1192.19/evm.utg1972.74/evm.utg590.3/evm.utg564.36/evm.utg1192.17/evm.utg7821.35/evm.utg4082.44/evm.utg162.48/evm.utg15585.4/evm.utg167.3/evm.utg1683.64/evm.utg209.1/evm.utg1009.28/evm.utg2849.24/evm.utg3884.50/evm.utg910.188/evm.utg301.86/evm.utg381.74/evm.utg7522.5/evm.utg9875.20/evm.utg302.19/evm.utg109.34/evm.utg12655.49/evm.utg1530.22/evm.utg3872.1/evm.utg798.76/evm.utg4303.3/evm.utg4610.10/evm.utg3041.34/evm.utg109.69/evm.utg5854.2/evm.utg801.68/evm.utg11341.3/evm.utg16223.31","molecular_functions"
"GO:0008157","protein phosphatase 1 binding",10,0.873437350852745,2.07101217802474,1.71648449000189e-05,0.00288369394320317,0.00247535131716062,2083,"tags=60%, list=5%, signal=57%","evm.utg18.25/evm.utg19396.5/evm.utg18.21/evm.utg18.20/evm.utg18.26/evm.utg217.28","molecular_functions"
"GO:0020037","heme binding",182,0.480055572568894,2.07505088483118,6.38805034344499e-05,0.00715461638465839,0.00614149401439975,6342,"tags=31%, list=15%, signal=27%","evm.utg4271.29/evm.utg910.98/evm.utg12986.46/evm.utg1931.67/evm.utg33682.14/evm.utg4271.28/evm.utg10156.22/evm.utg44408.4/evm.utg62.72/evm.utg47.12/evm.utg15013.9/evm.utg116.44/evm.utg10358.8/evm.utg24438.11/evm.utg6392.11/evm.utg572.7/evm.utg1972.129/evm.utg1194.3/evm.utg8792.16/evm.utg1032.16/evm.utg1204.18/evm.utg4856.19/evm.utg192.57/evm.utg255.25/evm.utg3876.24/evm.utg1708.32/evm.utg684.21/utg4271.evm.utg2986.11.mrna2/evm.utg378.146/evm.utg9657.7/evm.utg408.4/evm.utg101.173/evm.utg1925.57/evm.utg3876.26/evm.utg209.56/evm.utg125.5/evm.utg1988.22/evm.utg370.45/evm.utg401.9/evm.utg73.44/evm.utg1754.49/evm.utg2601.98/evm.utg26697.7/evm.utg40512.14/evm.utg1073.4/evm.utg572.10/evm.utg8.27/evm.utg101.172/evm.utg1846.87/evm.utg15164.48/evm.utg101.118/evm.utg4187.49/evm.utg101.171/evm.utg107.58/evm.utg699.113/evm.utg12655.39/evm.utg1272.165","molecular_functions"
"GO:0003924","GTPase activity",326,0.380081904984998,1.75191974083069,0.000220172846513989,0.018494519107175,0.0158756210381139,6901,"tags=31%, list=16%, signal=26%","evm.utg514.15/evm.utg116.291/evm.utg10541.3/evm.utg1272.62/evm.utg420.132/evm.utg56.4/evm.utg14876.3/evm.utg405.37/evm.utg1102.20/evm.utg116.364/evm.utg279.33/evm.utg12197.15/evm.utg4567.24/evm.utg418.60/evm.utg7.14/evm.utg498.29/evm.utg2129.200/evm.utg14.37/evm.utg1455.19/evm.utg4.20/evm.utg77.24/evm.utg16050.14/evm.utg470.8/evm.utg590.16/evm.utg2350.7/evm.utg12975.1/evm.utg86.26/evm.utg16443.2/evm.utg2817.16/evm.utg4567.33/evm.utg1846.35/evm.utg1925.63/evm.utg1919.113/evm.utg8494.90/evm.utg4972.20/evm.utg1354.3/evm.utg356.108/evm.utg6035.10/evm.utg6958.21/evm.utg4174.2/evm.utg1663.37/evm.utg194.90/evm.utg1799.1/evm.utg52.66/evm.utg219.31/evm.utg192.3/evm.utg1031.19/evm.utg7840.14/evm.utg7289.46/evm.utg4610.7/evm.utg1455.9/evm.utg2099.35/evm.utg5513.9/evm.utg924.67/evm.utg1091.38/evm.utg3201.11/evm.utg8672.10/evm.utg924.68/evm.utg320.63/evm.utg18.6/evm.utg6924.5/evm.utg1745.6/evm.utg910.62/evm.utg1272.141/evm.utg286.25/evm.utg7821.1/evm.utg18036.3/evm.utg1819.17/evm.utg1565.104/evm.utg6894.6/evm.utg3509.8/utg2969.equina_smart_124203.mrna2/evm.utg279.37/evm.utg190.45/evm.utg5950.62/evm.utg1754.6/evm.utg3201.27/evm.utg15664.6/evm.utg734.49/evm.utg5950.52/evm.utg1272.142/evm.utg924.74/evm.utg1031.20/evm.utg1363.21/evm.utg1623.10/evm.utg3201.28/evm.utg5815.4/evm.utg4567.23/evm.utg1177.10/evm.utg597.9/evm.utg1432.2/evm.utg12975.2/evm.utg1337.8/evm.utg279.32/evm.utg18.4/evm.utg378.53/evm.utg1363.53/evm.utg1087.5/evm.utg180.70/evm.utg2353.18","molecular_functions"
"GO:0004386","helicase activity",201,-0.494961102309039,-2.00474403670063,0.000284927047284364,0.0191470975775092,0.0164357917801928,6706,"tags=26%, list=16%, signal=22%","evm.utg16036.45/evm.utg3235.22/evm.utg597.236/evm.utg494.22/evm.utg126.139/evm.utg7821.23/evm.utg1127.62/evm.utg699.32/evm.utg3677.35/evm.utg78.18/evm.utg14533.14/evm.utg1127.63/evm.utg26219.2/evm.utg125.71/evm.utg10114.17/evm.utg10321.4/evm.utg26219.3/evm.utg936.39/evm.utg9285.33/evm.utg1272.102/evm.utg1337.10/evm.utg10385.10/evm.utg5454.2/evm.utg18409.2/evm.utg431.25/evm.utg5960.4/evm.utg788.40/evm.utg55.201/evm.utg5975.26/evm.utg1972.73/evm.utg435.52/utg109.equina_smart_295906.mrna1/evm.utg1463.26/evm.utg1127.64/evm.utg88612.6/evm.utg15716.7/evm.utg4593.14/evm.utg432.62/evm.utg52.125/evm.utg498.165/evm.utg736.11/evm.utg1565.86/evm.utg2969.4/utg579.evm.utg52.125.mrna3/evm.utg3222.9/evm.utg648.20/evm.utg2969.3/evm.utg109.49/evm.utg594.45/evm.utg594.46/evm.utg2969.2/evm.utg11411.7","molecular_functions"
"GO:0004867","serine-type endopeptidase inhibitor activity",98,0.552712383656764,2.17704422395408,0.000423606618622843,0.0211824806539409,0.0181829564510645,6756,"tags=29%, list=16%, signal=24%","evm.utg14533.12/evm.utg14913.15/evm.utg14913.16/evm.utg59616.3/evm.utg14533.21/evm.utg14533.20/evm.utg52.106/evm.utg417.47/evm.utg59616.2/evm.utg59616.1/evm.utg7066.37/evm.utg152.8/evm.utg7977.5/evm.utg54553.2/evm.utg14533.19/evm.utg54553.1/evm.utg1972.76/evm.utg1919.96/evm.utg777.11/evm.utg14913.17/evm.utg36040.1/evm.utg4290.17/evm.utg14533.18/evm.utg4607.4/evm.utg777.10/evm.utg2379.7/evm.utg1005.1/evm.utg7596.6","molecular_functions"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",129,0.488199385566952,2.01991500346443,0.000515228950576211,0.0211824806539409,0.0181829564510645,6342,"tags=29%, list=15%, signal=25%","evm.utg4271.29/evm.utg910.98/evm.utg12986.46/evm.utg61244.7/evm.utg1931.67/evm.utg33682.14/evm.utg4271.28/evm.utg10156.22/evm.utg15013.9/evm.utg116.44/evm.utg417.19/evm.utg6392.11/evm.utg572.7/evm.utg1972.129/evm.utg1194.3/evm.utg8792.16/evm.utg293.91/evm.utg255.25/evm.utg1708.32/evm.utg684.21/evm.utg9657.7/evm.utg101.173/evm.utg1925.57/evm.utg580.48/evm.utg209.56/evm.utg125.5/evm.utg401.9/evm.utg73.44/evm.utg40512.14/evm.utg1073.4/evm.utg572.10/evm.utg8.27/evm.utg101.172/evm.utg15164.48/evm.utg101.171/evm.utg1270.30/evm.utg699.113/evm.utg1272.165","molecular_functions"
