"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO"
"GO:0006915","apoptotic process ",112,0.602770355947917,2.37118480426049,5.90513664522477e-06,0.00344269466416604,0.00325093312152901,5264,"tags=33%, list=13%, signal=29%","evm.utg1204.7/evm.utg18622.2/evm.utg1204.5/evm.utg18622.3/evm.utg8609.21/utg9202.equina_smart_871162.mrna1/evm.utg616.5/evm.utg536.56/evm.utg1648.1/evm.utg616.2/evm.utg1648.52/evm.utg1109.15/evm.utg1648.3/evm.utg3797.23/evm.utg616.4/evm.utg2156.41/evm.utg55.133/evm.utg43378.11/evm.utg4155.22/evm.utg9668.9/evm.utg34639.9/evm.utg729.114/evm.utg101.112/evm.utg36717.9/evm.utg700.18/evm.utg10541.25/evm.utg4318.24/evm.utg3181.12/evm.utg536.24/evm.utg1221.15/evm.utg5033.23/evm.utg857.13/evm.utg616.3/evm.utg1432.15/evm.utg1972.77/evm.utg1648.2/evm.utg32426.11","biological_processes"
"GO:0007017","microtubule-based process ",58,0.632005592254536,2.21595783041184,2.61120765190877e-05,0.00761167030531406,0.00718769264183309,7692,"tags=53%, list=18%, signal=44%","utg31304.equina_smart_1477688.mrna1/evm.utg1575.28/utg693.equina_smart_1421073.mrna1/evm.utg693.2/evm.utg2969.16/evm.utg693.3/evm.utg1363.5/utg2969.equina_smart_124203.mrna2/evm.utg693.4/evm.utg1277.42/evm.utg262.10.11/evm.utg31304.1/evm.utg236.48/evm.utg31304.3/evm.utg31304.2/evm.utg693.6/evm.utg693.5/evm.utg378.53/evm.utg18.6/evm.utg18.4/evm.utg31304.4/evm.utg1363.3/evm.utg1363.6/evm.utg338.64/evm.utg3201.11/utg1363.equina_smart_1433367.mrna1/evm.utg788.92/evm.utg55.41/evm.utg684.7/evm.utg3201.10/evm.utg18.5","biological_processes"
"GO:0016525","cell surface receptor signaling pathway ",28,0.728489978967701,2.17126611714482,0.000213844624284042,0.0311678539893991,0.0294317732896194,1731,"tags=46%, list=4%, signal=45%","evm.utg567.19/evm.utg73.27/evm.utg1281.21/utg7595.equina_smart_1487100.mrna11/evm.utg912.27/evm.utg62.63/evm.utg542.55/evm.utg73.28/evm.utg2367.20/evm.utg4383.24/evm.utg101.165/evm.utg2601.58/evm.utg580.83","biological_processes"
"GO:0042026","protein refolding ",22,0.728672731874064,2.08249349614323,0.000176929363603191,0.0311678539893991,0.0294317732896194,7424,"tags=64%, list=18%, signal=52%","evm.utg14533.3/evm.utg405.9/evm.utg2818.25/evm.utg3155.40/evm.utg736.62/utg125.equina_smart_1399144.mrna1/evm.utg3155.45/evm.utg3155.44/evm.utg16223.12/evm.utg2932.1/utg125.equina_smart_942076.mrna2/evm.utg2932.3/evm.utg125.187/evm.utg31532.1","biological_processes"
"GO:0005525","GTP binding ",190,0.58153551714717,2.478133687903,1.36791323056071e-10,5.82731036218861e-08,5.19807027613069e-08,4498,"tags=17%, list=11%, signal=16%","evm.utg7168.11/evm.utg7168.18/evm.utg7168.14/evm.utg7168.12/evm.utg7168.17/evm.utg1786.18/evm.utg14876.3/evm.utg1575.28/evm.utg1786.17/evm.utg4157.38/evm.utg116.291/evm.utg2969.16/evm.utg55532.4/utg2969.equina_smart_124203.mrna2/evm.utg1786.19/evm.utg1277.42/evm.utg300.55/evm.utg1363.53/evm.utg364.46/evm.utg1551.1/evm.utg7938.3/evm.utg320.116/evm.utg1919.103/evm.utg5885.30/evm.utg378.53/evm.utg18.6/evm.utg714.18/evm.utg18.4/evm.utg280.52/evm.utg25155.5/evm.utg3284.40/evm.utg207.128/evm.utg10541.3","molecular_functions"
"GO:0030414","peptidase inhibitor activity ",82,-0.62654196473572,-2.34203457007361,2.32927560835254e-07,4.96135704579092e-05,4.42562365586983e-05,5073,"tags=43%, list=12%, signal=38%","evm.utg4049.2/evm.utg8615.4/evm.utg9740.7/evm.utg10358.5/evm.utg209609.2/evm.utg379.46/evm.utg1609.5/evm.utg544.14/evm.utg334.78/evm.utg580.26/evm.utg413.23/evm.utg54553.6/evm.utg32458.10/evm.utg8.10/utg19074.equina_smart_1694011.mrna2/evm.utg580.6/utg334.equina_smart_1340223.mrna2/evm.utg5073.2/evm.utg19074.8/utg544.equina_smart_1005728.mrna1/evm.utg413.26/evm.utg104.64/evm.utg2108.7/evm.utg544.16/evm.utg1290.3/evm.utg20736.15/evm.utg1290.2/evm.utg37512.1/evm.utg544.11/evm.utg55.212/utg544.equina_smart_1559235utrorf.mrna1/evm.utg2417.38/evm.utg14703.2/evm.utg104.63/evm.utg52.99","molecular_functions"
"GO:0003700","DNA binding ",132,0.548113840011219,2.23343629518342,5.86424004726511e-06,0.000624541565033735,0.000557102804490186,7588,"tags=42%, list=18%, signal=34%","evm.utg420.46/evm.utg34597.9/evm.utg34597.8/evm.utg34597.7/evm.utg420.44/evm.utg34597.10/evm.utg104.72/evm.utg777.4/evm.utg2426.18/evm.utg104.73/evm.utg109.65/evm.utg116.190/evm.utg750.43/evm.utg1507.6/evm.utg761.42/evm.utg9762.1/evm.utg2129.13/evm.utg1995.8/evm.utg324.209/evm.utg420.41/evm.utg29.1/evm.utg1005.68/evm.utg777.45/evm.utg26697.3/evm.utg3803.11/evm.utg3899.14/evm.utg15156.22/evm.utg3913.44/evm.utg27.69/evm.utg5652.41/evm.utg320.141/evm.utg3913.31/evm.utg15156.23/evm.utg18294.6/evm.utg4326.26/evm.utg10470.33/evm.utg8.57/evm.utg324.153/evm.utg470.10/evm.utg101.113/evm.utg146.18/evm.utg7652.31/evm.utg9285.24/evm.utg10588.30/evm.utg1056.28/evm.utg1781.29/evm.utg381.35/evm.utg3013.24/evm.utg5294.42/evm.utg5059.25/evm.utg420.134/evm.utg5390.49/evm.utg1588.6/evm.utg2123.34/evm.utg12875.1","molecular_functions"
"GO:0000166","nucleotide binding ",176,0.517944298236867,2.18141157224446,5.1334495617629e-06,0.000624541565033735,0.000557102804490186,405,"tags=3%, list=1%, signal=3%","evm.utg7168.11/evm.utg7168.18/evm.utg7168.14/evm.utg7168.12/evm.utg7168.17/evm.utg695.38","molecular_functions"
"GO:0042803","protein homodimerization activity ",212,0.43392894443408,1.8777034482332,9.53203959570771e-05,0.00547735834441784,0.00488590650441028,2914,"tags=10%, list=7%, signal=9%","evm.utg7168.18/evm.utg729.38/evm.utg420.132/evm.utg280.47/evm.utg101.9/evm.utg101.10/evm.utg24706.15/evm.utg4318.8/evm.utg1109.15/evm.utg483.24/evm.utg470.8/evm.utg790.56/evm.utg2156.41/evm.utg27651.2/evm.utg3509.8/evm.utg9668.9/evm.utg18294.30/evm.utg34639.9/evm.utg36717.9/evm.utg4194.110/evm.utg700.18","molecular_functions"
"GO:0008236","serine-type peptidase activity ",162,-0.432743210942967,-1.80256885806421,8.20358877143808e-05,0.00547735834441784,0.00488590650441028,11352,"tags=40%, list=27%, signal=29%","evm.utg4157.6/evm.utg150.14/evm.utg1825.64/evm.utg3761.28/evm.utg1910.59/utg1910.equina_smart_1438815.mrna1/evm.utg116.373/evm.utg431.15/evm.utg7001.18/evm.utg207.27/utg54.equina_smart_1393700.mrna1/evm.utg4326.3/evm.utg1721.17/evm.utg1828.26/evm.utg7127.5.6/evm.utg1565.90/evm.utg324.60/utg1910.equina_smart_44201.mrna1/evm.utg20007.6/evm.utg234.109/evm.utg382.50/evm.utg234.77/evm.utg1919.81/utg13.equina_smart_1393279.mrna2/evm.utg577.74/evm.utg2929.16/evm.utg9313.18/evm.utg382.45/evm.utg1372.13/evm.utg17511.23/evm.utg1754.56/evm.utg382.47/evm.utg7127.7/evm.utg109.108/evm.utg17511.11/evm.utg1754.60/evm.utg868.85/evm.utg234.79/evm.utg1372.9/evm.utg699.89/evm.utg3443.1/evm.utg699.45/evm.utg868.84/evm.utg1754.58/evm.utg234.36/utg1721.equina_smart_1437121.mrna1/evm.utg234.138/evm.utg666.10/evm.utg1372.11/evm.utg699.90/evm.utg868.83/evm.utg7412.24/evm.utg54.10/evm.utg1285.84/evm.utg54.9/evm.utg234.140/evm.utg20618.13/evm.utg116.4/evm.utg54.8/evm.utg5370.2/evm.utg4082.28/evm.utg129.41/evm.utg2704.30/evm.utg1052.21","molecular_functions"
