From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg4.3	Q5I3B2	swissprot	DIO2	thyroid hormone catabolic process [GO:0042404]; thyroid hormone metabolic process [GO:0042403]	thyroxine 5'-deiodinase activity [GO:0004800]; thyroxine 5-deiodinase activity [GO:0033798]; ubiquitin protein ligase binding [GO:0031625]
evm.utg4.4	O42412	swissprot	DIO3	thyroid hormone catabolic process [GO:0042404]; thyroid hormone metabolic process [GO:0042403]	thyroxine 5'-deiodinase activity [GO:0004800]; thyroxine 5-deiodinase activity [GO:0033798]
evm.utg4.7	Q07175	swissprot	GGCX GC	vitamin K metabolic process [GO:0042373]	gamma-glutamyl carboxylase activity [GO:0008488]; vitamin binding [GO:0019842]
evm.utg4.8	A0A6P8J6J5	trembl	LOC116307405	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
evm.utg4.9	O09018	swissprot	Nr2f2 Arp1 Tfcoup2	anterior/posterior pattern specification [GO:0009952]; blood vessel morphogenesis [GO:0048514]; female gonad development [GO:0008585]; fertilization [GO:0009566]; forebrain development [GO:0030900]; intracellular receptor signaling pathway [GO:0030522]; in utero embryonic development [GO:0001701]; lymphatic endothelial cell fate commitment [GO:0060838]; lymph vessel development [GO:0001945]; maternal placenta development [GO:0001893]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; nervous system development [GO:0007399]; neuron migration [GO:0001764]; placenta blood vessel development [GO:0060674]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of systemic arterial blood pressure [GO:0003084]; positive regulation of transcription by RNA polymerase II [GO:0045944]; radial pattern formation [GO:0009956]; regulation of transcription by RNA polymerase II [GO:0006357]; response to estradiol [GO:0032355]; skeletal muscle tissue development [GO:0007519]; trophoblast giant cell differentiation [GO:0060707]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; nuclear receptor activity [GO:0004879]; protein binding [GO:0005515]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
evm.utg4.12	Q6TDP4	swissprot	KLHL17 AF	actin cytoskeleton organization [GO:0030036]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]	protein binding [GO:0005515]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
evm.utg4.13	Q8CIG9	swissprot	Fbxl8 Fbl8	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	
evm.utg4.14	A0A6P8J1R7	trembl	LOC116307422	cilium assembly [GO:0060271]	microtubule binding [GO:0008017]
evm.utg4.15	A7YY46	swissprot	PNKD	methylglyoxal catabolic process [GO:0051596]; negative regulation of neurotransmitter secretion [GO:0046929]	hydroxyacylglutathione hydrolase activity [GO:0004416]; thiolester hydrolase activity [GO:0016790]
evm.utg4.15.1.5c22f047	A7YY46	swissprot	PNKD	methylglyoxal catabolic process [GO:0051596]; negative regulation of neurotransmitter secretion [GO:0046929]	hydroxyacylglutathione hydrolase activity [GO:0004416]; thiolester hydrolase activity [GO:0016790]
