"seqnames"	"start"	"end"	"width"	"strand"	"pvalue"	"qvalue"	"meth.diff"	"p_fdr"	"WHPX_id"	"source"	"type"	"score"	"phase"	"ID"	"Name"	"Parent"	"Derives_from"	"X3_prime_partial"	"X5_prime_partial"	"gene_id"	"Target"
"utg10"	57708	57708	1	"*"	0.0353891011777813	0.00587938254916043	5.88235294117647	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"8529"	"NA"	"983"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-6_family-13870 1 1006"
"utg10"	57744	57744	1	"*"	0.0365277082963998	0.00587938254916043	6	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"8529"	"NA"	"983"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-6_family-13870 1 1006"
"utg10"	57748	57748	1	"*"	0.0351610340058915	0.00587938254916043	6.12244897959184	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"8529"	"NA"	"983"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-6_family-13870 1 1006"
"utg10"	57801	57801	1	"*"	0.069699813999338	0.00587938254916043	6.66666666666667	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"8529"	"NA"	"983"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-6_family-13870 1 1006"
"utg10"	319437	319437	1	"*"	0.243933185000997	0.00587938254916043	5.55555555555556	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"7490"	"NA"	"1738"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-4_family-312 995 2408"
"utg10"	319437	319437	1	"*"	0.243933185000997	0.00587938254916043	5.55555555555556	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"11718"	"NA"	"1739"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-1_family-107 1 1676"
"utg10"	319510	319510	1	"*"	0.0757097104519501	0.00587938254916043	7.69230769230769	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"11718"	"NA"	"1739"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-1_family-107 1 1676"
"utg10"	466789	466789	1	"*"	0.165722224583388	0.00587938254916043	6.25	0.281904984903751	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"15412"	"NA"	"2029"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-6_family-1110 1 2236"
"utg1002"	23214	23214	1	"*"	0.214367389770636	0.00587938254916043	6.25	0.281904984903751	"WHPX01000002.1"	"EVM"	"gene"	"NA"	"NA"	"evm.TU.utg1002.3"	"EVM prediction utg1002.3"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1002"	23214	23214	1	"*"	0.214367389770636	0.00587938254916043	6.25	0.281904984903751	"WHPX01000002.1"	"EVM"	"mRNA"	"NA"	"NA"	"evm.utg1002.3"	"EVM prediction utg1002.3"	evm.TU.utg1002.3	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1002"	23214	23214	1	"*"	0.214367389770636	0.00587938254916043	6.25	0.281904984903751	"WHPX01000002.1"	"EVM"	"protein"	"NA"	"NA"	"evm.utg1002.3-Protein"	"evm.utg1002.3"	character(0)	"evm.utg1002.3"	"NA"	"NA"	"NA"	"NA"
"utg1002"	23214	23214	1	"*"	0.214367389770636	0.00587938254916043	6.25	0.281904984903751	"WHPX01000002.1"	"RepeatMasker"	"dispersed_repeat"	"18534"	"NA"	"2198"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-6_family-21193 1084 3354"
"utg1002"	94496	94496	1	"*"	0.210606073050122	0.00587938254916043	5.26315789473684	0.281904984903751	"WHPX01000002.1"	"NA"	"gene"	"NA"	"NA"	"evm.TU.utg1002.6"	"EVM prediction utg1002.6"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1002"	94496	94496	1	"*"	0.210606073050122	0.00587938254916043	5.26315789473684	0.281904984903751	"WHPX01000002.1"	"NA"	"mRNA"	"NA"	"NA"	"evm.utg1002.6"	"EVM prediction utg1002.6"	evm.TU.utg1002.6	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1002"	94496	94496	1	"*"	0.210606073050122	0.00587938254916043	5.26315789473684	0.281904984903751	"WHPX01000002.1"	"NA"	"protein"	"NA"	"NA"	"evm.utg1002.6-Protein"	"evm.utg1002.6"	character(0)	"evm.utg1002.6"	"NA"	"NA"	"NA"	"NA"
