Chr	Start	End	Strand	Length	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
evm.TU.utg4.1	utg4;utg4	16926;17516	17218;17685	+;+	463	14	153	42	20	125	0	88	51	65	62	18	6	39	8	10	25	46	90	127	22	54	24	14	9	81	41	16	9
evm.TU.utg4.3	utg4;utg4	25828;26691	26371;27424	+;+	1278	2	6	12	26	8	9	16	7	2	4	2	4	1	17	4	3	6	220	41	8	0	22	2	26	24	4	13	13
evm.TU.utg4.4	utg4;utg4	32709;33489	33247;33923	+;+	974	159	32	184	220	77	16	85	121	16	84	68	102	84	189	87	168	50	752	125	455	28	80	57	62	368	148	117	167
evm.TU.utg4.5	utg4;utg4	39811;40198	39900;40338	-;-	231	1027	833	2239	2209	1146	1684	891	673	605	599	716	2442	708	778	682	2801	861	961	1923	1099	502	392	1336	1740	1497	1573	485	883
evm.TU.utg4.6	utg4;utg4;utg4	53325;55752;58406	53647;55797;58435	+;+;+	399	11	16	29	21	44	4	17	22	19	11	3	32	15	17	4	41	17	36	8	30	6	11	6	14	12	17	9	5
tRNAscan-SE.tRNA.utg4.Ala(GGC).1	utg4	59053	59125	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg4.7	utg4;utg4;utg4;utg4;utg4;utg4;utg4	59280;60517;60941;62167;62480;63776;64741	59755;60595;61540;62298;62831;64030;65408	+;+;+;+;+;+;+	2562	232	264	411	380	528	299	255	480	371	287	267	776	358	304	204	1120	378	810	348	593	206	158	86	408	343	546	255	244
evm.TU.utg4.8	utg4;utg4;utg4	69262;69431;69694	69341;69581;70266	+;+;+	804	39	42	63	30	40	13	24	43	26	19	18	67	22	28	45	65	34	107	46	110	18	20	18	24	60	42	17	19
evm.TU.utg4.9	utg4;utg4;utg4;utg4;utg4	75456;77277;78107;94428;97132	75875;77918;78439;94839;97355	-;-;-;-;-	2031	748	454	2058	1229	824	109	844	726	435	655	312	1215	362	459	1379	1006	570	760	607	1211	248	476	2370	185	925	1126	437	688
evm.TU.utg4.10	utg4	98913	99950	+	1038	26	14	12	6	6	20	5	5	7	8	42	137	0	1	11	86	13	27	21	15	16	4	7	16	13	13	0	8
evm.TU.utg4.11	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	101013;105640;106528;106836;107662;108595;108979;109365;110314;110950;111158;111573;112100;113398	101053;105850;106566;106976;107791;108674;109100;109526;110442;111067;111233;111713;112206;113933	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2033	190	280	510	309	315	97	166	190	136	217	162	524	120	241	120	371	192	351	277	467	110	172	114	157	371	365	157	197
evm.TU.utg4.12	utg4	115230	116984	-	1755	2	3	8	2	2	3	0	5	2	1	0	4	4	0	2	6	0	2	0	2	4	4	8	9	4	2	6	14
evm.TU.utg4.13	utg4	120367	121645	-	1279	284	255	359	559	354	112	211	230	255	228	181	374	142	407	337	489	261	329	498	452	171	258	881	154	505	462	184	307
evm.TU.utg4.14	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	125151;126382;127519;128912;129423;129743;130871;131186;132037;132386;132557;132967;134784;135290	125776;126466;127623;129100;129492;129804;131079;131276;132198;132454;132605;133910;134852;135364	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2805	394	534	646	770	466	293	458	649	696	474	618	930	396	740	380	924	897	1306	506	821	362	322	268	252	709	786	414	432
evm.TU.utg4.15	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	138876;138876;139913;139913;140776;140776;141599;141599;141989;141989;144873;144873;145238;145238;145566;145566;145735;145735;146189;146189;148045	139054;139054;140028;140028;140862;140862;141685;141685;142037;142037;144900;144900;145330;145330;145624;145624;145847;145847;146304;146382;148175	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1136	349	245	395	397	318	127	261	236	170	235	212	903	162	182	242	685	199	509	307	533	130	278	171	174	573	411	242	292
evm.TU.utg4.16	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	148290;150122;150828;151644;152968;154632;156829;157216;158185;159977;161410;161729;162386;162868;164104;164825;165062;165426	148373;150221;150895;151732;153052;154715;156998;157339;158250;160074;161507;161811;162479;162997;164203;164911;165195;165886	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2155	457	303	704	692	697	191	291	819	665	477	1028	1467	304	532	710	1132	825	1336	558	1231	409	392	426	371	803	771	372	692
evm.TU.utg4.17	utg4;utg4	170146;171160	171026;171802	+;+	1524	122	143	194	159	202	67	94	186	130	147	200	221	108	146	154	277	168	230	173	306	101	113	68	106	178	233	68	140
evm.TU.utg4.18	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	175743;175743;176301;176301;180624;180624;180857;180857;182030;182030;182664;182664;182892;182892;185480;185480;185652;185652;185917;185917;187475;187475;188064;188064;188643;188643;189984;189984;190324;190324;191750;191750;192090;192090;192920;192920;193418;193418;194857;194857;195484;195484;196117;196117;196514;196514;197361;197361;198015;198015;198676;198676;198797;198797;201734;201734;202085;202085;202580;202580;205468;205468;206972;206972;207786;207786;208401;208401;209325;209325;209889;209889;210485;210485;210662;210662;210844;210844;211736;211736;212055;212055;212372;212372;213497;213497;213828;213828;213996;214530;214530;216349;216349	176208;176208;177203;177203;180725;180725;180885;180885;182086;182086;182704;182704;182967;182967;185548;185548;185718;185718;185969;185969;187528;187528;188113;188113;188691;188691;190096;190096;190408;190408;191810;191810;192143;192143;193005;193005;193506;193506;194950;194950;195552;195552;196156;196156;196554;196554;197397;197397;198076;198076;198726;198726;198856;198856;201840;201840;202154;202154;202670;202670;205545;205545;207106;207106;207891;207891;208485;208485;209408;209408;209918;209918;210526;210526;210742;210742;210955;210955;211863;211863;212171;212171;212487;212487;213547;213547;214052;213891;214052;214562;214562;216673;216599	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4974	949	1259	1447	1078	1796	310	814	944	746	683	605	1837	528	587	644	2958	749	1561	986	1822	507	946	709	893	1831	1317	566	877
evm.TU.utg4.19	utg4;utg4;utg4;utg4;utg4	221502;224953;225990;227830;228493	221794;225061;226076;227907;229590	+;+;+;+;+	1665	1750	1836	2888	2112	2013	507	1410	1332	1164	1584	929	2844	721	1440	1432	2618	1426	2221	2441	2577	694	1308	1837	917	2834	2337	915	1364
tRNAscan-SE.tRNA.utg4.Ser(GGA).1	utg4	227037	227108	+	72	10	15	29	12	14	2	10	14	6	9	11	21	4	12	5	11	9	13	8	18	8	6	14	0	25	26	6	15
evm.TU.utg4.20	utg4	234562	235185	-	624	175	239	379	223	266	106	177	181	91	137	134	532	68	133	206	321	173	312	249	304	91	168	230	134	323	247	94	142
utg4.equina_smart_817336.path2	utg4;utg4;utg4	235655;243918;246087	235769;243974;246127	+;+;+	213	48	50	108	90	102	17	39	71	71	59	21	173	18	36	22	141	61	150	67	128	24	58	43	38	135	73	51	62
