"seqnames"	"start"	"end"	"width"	"strand"	"pvalue"	"qvalue"	"meth.diff"	"p_fdr"	"WHPX_id"	"source"	"type"	"score"	"phase"	"ID"	"Name"	"Parent"	"Derives_from"	"X3_prime_partial"	"X5_prime_partial"	"gene_id"	"Target"
"utg10"	527499	527499	1	"*"	0.164999969521974	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000001.1"	"EVM"	"gene"	"NA"	"NA"	"evm.TU.utg10.48"	"EVM prediction utg10.48"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg10"	527499	527499	1	"*"	0.164999969521974	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000001.1"	"EVM"	"mRNA"	"NA"	"NA"	"evm.utg10.48"	"EVM prediction utg10.48"	evm.TU.utg10.48	"NA"	"NA"	"NA"	"NA"	"NA"
"utg10"	527499	527499	1	"*"	0.164999969521974	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000001.1"	"EVM"	"protein"	"NA"	"NA"	"evm.utg10.48-Protein"	"evm.utg10.48"	character(0)	"evm.utg10.48"	"NA"	"NA"	"NA"	"NA"
"utg10"	527499	527499	1	"*"	0.164999969521974	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000001.1"	"RepeatMasker"	"dispersed_repeat"	"366"	"NA"	"2157"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"rnd-4_family-358 1 169"
"utg101"	798743	798743	1	"*"	0.201921954070095	0.00700023285115375	5.55555555555556	0.278682737937678	"WHPX01000009.1"	"custom"	"promoter"	"NA"	"NA"	"promoter_of_evm.TU.utg101.115"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	798760	798760	1	"*"	0.186363564764434	0.00700023285115375	5.88235294117647	0.278682737937678	"WHPX01000009.1"	"custom"	"promoter"	"NA"	"NA"	"promoter_of_evm.TU.utg101.115"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	798810	798810	1	"*"	0.224490277978158	0.00700023285115375	5.88235294117647	0.278682737937678	"WHPX01000009.1"	"custom"	"promoter"	"NA"	"NA"	"promoter_of_evm.TU.utg101.115"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1078428	1078428	1	"*"	0.190566975972634	0.00700023285115375	-6.25	0.278682737937678	"WHPX01000009.1"	"custom"	"promoter"	"NA"	"NA"	"promoter_of_evm.TU.utg101.154"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1078438	1078438	1	"*"	0.200022790337539	0.00700023285115375	-5.88235294117647	0.278682737937678	"WHPX01000009.1"	"custom"	"promoter"	"NA"	"NA"	"promoter_of_evm.TU.utg101.154"	"NA"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1094405	1094405	1	"*"	0.215724945499892	0.00700023285115375	-5.88235294117647	0.278682737937678	"WHPX01000009.1"	"NA"	"gene"	"NA"	"NA"	"evm.TU.utg101.155"	"EVM prediction utg101.155"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1094405	1094405	1	"*"	0.215724945499892	0.00700023285115375	-5.88235294117647	0.278682737937678	"WHPX01000009.1"	"NA"	"mRNA"	"NA"	"NA"	"evm.utg101.155"	"EVM prediction utg101.155"	evm.TU.utg101.155	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1094405	1094405	1	"*"	0.215724945499892	0.00700023285115375	-5.88235294117647	0.278682737937678	"WHPX01000009.1"	"NA"	"protein"	"NA"	"NA"	"evm.utg101.155-Protein"	"evm.utg101.155"	character(0)	"evm.utg101.155"	"NA"	"NA"	"NA"	"NA"
"utg101"	1094405	1094405	1	"*"	0.215724945499892	0.00700023285115375	-5.88235294117647	0.278682737937678	"WHPX01000009.1"	"NA"	"exon"	"NA"	"NA"	"evm.utg101.155.exon1"	"NA"	evm.utg101.155	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1094405	1094405	1	"*"	0.215724945499892	0.00700023285115375	-5.88235294117647	0.278682737937678	"WHPX01000009.1"	"NA"	"CDS"	"NA"	"0"	"cds.evm.utg101.155"	"NA"	c("evm.utg101.155", "evm.utg101.155-Protein")	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1133114	1133114	1	"*"	0.25441662124537	0.00700023285115375	-5.55555555555556	0.281780839630827	"WHPX01000009.1"	"NA"	"gene"	"NA"	"NA"	"evm.TU.utg101.160"	"EVM prediction utg101.160"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1133114	1133114	1	"*"	0.25441662124537	0.00700023285115375	-5.55555555555556	0.281780839630827	"WHPX01000009.1"	"NA"	"mRNA"	"NA"	"NA"	"evm.utg101.160"	"EVM prediction utg101.160"	evm.TU.utg101.160	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1133114	1133114	1	"*"	0.25441662124537	0.00700023285115375	-5.55555555555556	0.281780839630827	"WHPX01000009.1"	"NA"	"protein"	"NA"	"NA"	"evm.utg101.160-Protein"	"evm.utg101.160"	character(0)	"evm.utg101.160"	"NA"	"NA"	"NA"	"NA"
"utg101"	1133114	1133114	1	"*"	0.25441662124537	0.00700023285115375	-5.55555555555556	0.281780839630827	"WHPX01000009.1"	"NA"	"exon"	"NA"	"NA"	"evm.utg101.160.exon6"	"NA"	evm.utg101.160	"NA"	"NA"	"NA"	"NA"	"NA"
"utg101"	1133114	1133114	1	"*"	0.25441662124537	0.00700023285115375	-5.55555555555556	0.281780839630827	"WHPX01000009.1"	"NA"	"CDS"	"NA"	"2"	"cds.evm.utg101.160"	"NA"	c("evm.utg101.160", "evm.utg101.160-Protein")	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1022"	620113	620113	1	"*"	0.234505261556313	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000014.1"	"EVM"	"gene"	"NA"	"NA"	"evm.TU.utg1022.71"	"EVM prediction utg1022.71"	character(0)	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1022"	620113	620113	1	"*"	0.234505261556313	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000014.1"	"EVM"	"mRNA"	"NA"	"NA"	"evm.utg1022.71"	"EVM prediction utg1022.71"	evm.TU.utg1022.71	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1022"	620113	620113	1	"*"	0.234505261556313	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000014.1"	"EVM"	"protein"	"NA"	"NA"	"evm.utg1022.71-Protein"	"evm.utg1022.71"	character(0)	"evm.utg1022.71"	"NA"	"NA"	"NA"	"NA"
"utg1022"	620113	620113	1	"*"	0.234505261556313	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000014.1"	"gmap_gene_find"	"mRNA"	"NA"	"NA"	"utg1022.equina_smart_1428023.mrna1"	"gmap_gene_find_equina_smart_1428023.path1"	evm.TU.utg1022.71	"NA"	"NA"	"NA"	"NA"	"NA"
"utg1022"	620113	620113	1	"*"	0.234505261556313	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000014.1"	"EVM"	"protein"	"NA"	"NA"	"utg1022.equina_smart_1428023.mrna1-Protein"	"utg1022.equina_smart_1428023.mrna1"	character(0)	"utg1022.equina_smart_1428023.mrna1"	"NA"	"NA"	"NA"	"NA"
"utg1022"	620113	620113	1	"*"	0.234505261556313	0.00700023285115375	5.26315789473684	0.278682737937678	"WHPX01000014.1"	"gmap_gene_find"	"exon"	"NA"	"NA"	"utg1022.equina_smart_1428023.mrna1.exon1"	"gmap_gene_find_equina_smart_1428023.path1"	utg1022.equina_smart_1428023.mrna1	"NA"	"NA"	"NA"	"NA"	"NA"
